,State House Disctrict,TotSenVotes,DemSenVotes,RepSenVotes,TotGovVotes,DemGovVotes,RepGovVotes,TotLegVotes,DemLegVotes,RepLegVotes,%DemSen,%RepSen,DemSenMarg,DemSenMargRounded,DemSenWinner,%DemGov,%RepGov,DemGovMarg,DemGovMargRounded,DemGovWinner,%DemLeg,%RepLeg,DemLegMarg,DemLegMargRounded,DemLegWinner,ContestedLeg,Target Category,DemSenGovCompare
95,138,48920.0,25805.0,22711.0,48832.0,22756.0,25237.0,48417.0,24175.0,24222.0,52.74938675388389,46.42477514309076,6.324611610793127,6.32,True,46.60058977719528,51.68127457404981,-5.080684796854527,-5.08,False,49.93080942644112,50.027882768449096,-0.0970733420079739,-0.1,False,True,Dem Target,11.4
101,139,47358.0,36811.0,10264.0,47424.0,34327.0,12432.0,40046.0,37159.0,0.0,77.72921153764939,21.673212551205708,56.05599898644368,56.06,True,72.38318151147098,26.214574898785425,46.16860661268555,46.17,True,92.79079059082056,0.0,92.79079059082056,92.79,True,False,Dem Sweep,9.89
30,14,48711.0,23546.0,24670.0,48476.0,19856.0,27496.0,47723.0,20817.0,26906.0,48.3381577056517,50.645644720904926,-2.3074870152532228,-2.31,False,40.96047528673983,56.720851555408856,-15.760376268669027,-15.76,False,43.62047649980094,56.37952350019907,-12.759047000398134,-12.76,False,True,Rep Sweep,13.45
100,140,23671.0,18356.0,5192.0,23727.0,17317.0,6203.0,19188.0,19188.0,0.0,77.54636475011618,21.93401208229479,55.6123526678214,55.61,True,72.98436380494795,26.14321237408859,46.841151430859355,46.84,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,8.769999999999996
99,141,31412.0,27264.0,3978.0,31549.0,26092.0,5130.0,27946.0,27946.0,0.0,86.79485546924742,12.663950082770917,74.13090538647651,74.13,True,82.70309677010364,16.260420298583156,66.44267647152049,66.44,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,7.689999999999998
105,142,39901.0,31250.0,8425.0,39939.0,29206.0,10257.0,32087.0,32087.0,0.0,78.31883912683892,21.114759028595774,57.20408009824315,57.2,True,73.12651793985829,25.68166453842109,47.4448534014372,47.44,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,9.760000000000005
88,143,28835.0,21177.0,7494.0,28844.0,19794.0,8787.0,22504.0,22504.0,0.0,73.44199757239465,25.98924917634819,47.452748396046466,47.45,True,68.62432394952155,30.46387463597282,38.16044931354873,38.16,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,9.290000000000006
89,144,23505.0,14430.0,8913.0,23530.0,13448.0,9827.0,23455.0,14349.0,9106.0,61.391193363114226,37.91959157626037,23.471601786853853,23.47,True,57.152571185720355,41.76370590735232,15.388865278368037,15.39,True,61.17672138136858,38.82327861863143,22.353442762737153,22.35,True,True,Dem Sweep,8.079999999999998
87,145,33220.0,23571.0,9393.0,33167.0,21688.0,10984.0,26859.0,24269.0,0.0,70.95424443106563,28.275135460565927,42.679108970499705,42.68,True,65.3902975849489,33.11725510296379,32.27304248198511,32.27,True,90.35704977847277,0.0,90.35704977847277,90.36,True,False,Dem Sweep,10.409999999999997
92,146,43793.0,35650.0,7841.0,43749.0,33147.0,9957.0,38387.0,35656.0,0.0,81.40570410796246,17.904687963829836,63.50101614413263,63.5,True,75.76630322978811,22.759377357196737,53.00692587259137,53.01,True,92.88561231666971,0.0,92.88561231666971,92.89,True,False,Dem Sweep,10.490000000000002
