,count,precinct,DemVotes,RepVotes,LibVotes
134,134,314,2200,1875,56
135,135,315,2036,993,21
136,136,316,1519,1590,37
137,137,317,1323,788,27
138,138,318,441,213,7
139,139,319,806,1007,14
140,140,320,683,859,13
141,141,321,378,191,2
142,142,323,1174,232,15
143,143,324,2229,2303,53
144,144,325,63,27,1
145,145,326,1104,456,15
146,146,327,1465,788,33
147,147,328,2017,717,44
148,148,329,2479,845,47
149,149,330,1204,1042,30
150,150,331,1365,598,26
151,151,332,2025,206,21
152,152,333,1369,707,31
153,153,334,1246,901,16
154,154,335,1146,546,26
155,155,336,1065,544,30
156,156,337,2076,932,44
157,157,338,2400,1418,34
158,158,339,1012,320,13
159,159,340,2320,387,34
160,160,341,199,76,3
161,161,342,3255,463,41
162,162,343,1211,473,19
163,163,344,1098,247,17
164,164,345,0,0,0
165,165,346,1490,2361,34
166,166,347,1310,721,23
167,167,349,2624,1069,47
168,168,350,2355,639,42
169,169,351,945,230,14
170,170,352,2063,424,26
171,171,354,2267,1083,37
172,172,356,1169,250,23
173,173,357,303,179,6
174,174,358,2705,659,29
175,175,359,1994,1724,39
176,176,360,2273,788,38
177,177,361,568,393,9
178,178,362,1641,553,18
179,179,363,818,380,14
180,180,364,1735,1045,22
181,181,365,1114,668,13
182,182,366,2576,1033,36
183,183,367,3183,1525,50
184,184,368,135,167,3
185,185,369,1412,1766,30
186,186,370,408,566,20
187,187,371,790,1216,26
188,188,372,561,693,19
189,189,373,1317,2435,38
190,190,374,2317,2086,50
191,191,375,303,378,10
192,192,401,1161,367,13
193,193,402,1474,378,18
194,194,403,502,269,9
195,195,404,2188,387,27
196,196,405,468,107,5
197,197,406,1410,832,18
198,198,407,1428,219,15
199,199,408,1865,512,25
200,200,409,1368,152,22
201,201,410,1934,261,34
202,202,411,1171,253,18
203,203,412,70,12,0
204,204,413,943,148,10
205,205,414,2056,584,33
206,206,415,712,164,18
207,207,416,270,62,6
208,208,417,1166,237,14
209,209,418,1,4,0
210,210,419,267,90,3
211,211,420,1751,170,22
212,212,421,1853,216,16
213,213,422,1524,143,10
214,214,423,1818,202,13
215,215,424,1659,200,21
216,216,425,404,83,6
217,217,426,1766,147,12
218,218,427,1544,117,17
219,219,428,888,295,12
220,220,429,4920,425,41
221,221,430,905,64,12
222,222,431,3507,284,32
223,223,432,1,0,0
224,224,433,2022,165,14
225,225,434,1,0,0
226,226,435,3187,799,43
227,227,436,223,9,1
228,228,437,1620,158,18
229,229,438,906,85,2
230,230,439,2354,152,19
231,231,440,768,113,12
232,232,441,2343,334,31
233,233,442,948,102,9
234,234,443,1674,232,22
235,235,444,105,6,2
236,236,446,666,88,9
237,237,447,2222,358,30
238,238,448,1339,203,15
239,239,450,2144,326,28
240,240,451,1840,315,23
241,241,452,1022,126,6
242,242,454,1166,284,15
243,243,458,2130,463,25
244,244,460,2092,324,21
245,245,461,3267,386,39
246,246,463,1992,389,28
