CNTYVTD,FloresR_18G_U.S. Rep 17,KennedyD_18G_U.S. Rep 17,ChurchmanL_18G_U.S. Rep 17
"3090056",136,228,3
"3090057",291,275,5
"3090058",783,568,16
"3090059",1675,471,29
"3090060",1838,838,44
"3090061",1377,579,27
"3090062",1901,988,44
"3090063",2085,567,22
"3090064",377,136,7
"3090065",501,99,6
"3090066",631,117,12
"3090067",1286,273,16
"3090068",537,111,7
"3090069",831,118,11
"3090070",207,20,2
"3090071",302,92,2
"3090072",440,118,8
"3090073",494,86,6
"3090074",382,64,2
"3090075",1587,344,18
"3090076",970,216,25
"3090077",732,132,11
"3090078",1536,473,20
"3090079",472,222,9
"3090080",1246,132,11
"3090081",1999,347,23
"3090082",1376,297,14
"3090083",269,61,9
"3090084",934,306,14
"3090085",180,202,9
"3090086",346,551,17
"3090087",279,348,5
"3090088",101,85,4
"3090089",6,18,1
"3090090",128,97,5
"3090091",946,311,17
"3310101",1021,265,18
"3310105",489,109,9
"3310203",197,40,1
"3310207",175,96,0
"3310210",261,66,5
"3310212",607,277,7
"3310316",317,77,4
"3310317",547,98,2
"3310318",885,342,15
"3310419",613,270,12
"3310420",847,266,23
"3950001",389,331,4
"3950002",482,263,7
"3950003",323,40,3
"3950004",274,31,4
"3950005",657,194,11
"3950006",718,150,5
"3950007",24,21,0
"3950008",163,18,0
"3950011",482,134,14
"3950013",122,13,1
"3950016",82,12,1
"3950018",48,5,0
"3950019",317,32,4
"3950022",97,444,2
"3950023",167,150,1
"4530102",118,559,11
"4530107",158,90,7
"4530109",374,1077,43
"4530110",1286,2902,113
"4530111",686,2120,65
"4530112",182,706,28
"4530113",945,3151,109
"4530137",2775,3911,150
"4530145",448,1158,33
"4530148",755,1857,70
"4530160",396,816,35
"4530161",383,700,30
"4530163",139,74,9
"4530205",333,1363,53
"4530207",938,2410,86
"4530215",395,1104,38
"4530216",288,985,34
"4530219",582,1263,44
"4530225",644,1934,73
"4530226",278,1047,27
"4530229",358,968,50
"4530254",600,1571,68
"4530259",534,1495,76
"4530263",522,1599,67
"4530267",306,747,31
"4530305",5,5,0
"4530328",770,1910,68
"4530345",0,0,0
