CNTYVTD,GrangerR_18G_U.S. Rep 12,AdiaD_18G_U.S. Rep 12,LeddyL_18G_U.S. Rep 12
"4394137",589,342,28
"4394138",173,168,7
"4394141",785,558,20
"4394144",561,279,18
"4394159",438,306,20
"4394163",514,337,14
"4394178",1177,653,32
"4394179",292,334,8
"4394182",1285,761,32
"4394202",375,377,15
"4394203",378,515,16
"4394204",1001,661,30
"4394218",316,266,9
"4394222",268,257,8
"4394230",1376,886,45
"4394232",1015,1048,48
"4394234",1294,662,45
"4394239",49,23,1
"4394242",269,85,4
"4394243",439,353,17
"4394250",883,661,26
"4394252",326,288,16
"4394253",137,124,8
"4394259",553,154,14
"4394261",777,727,45
"4394272",202,100,6
"4394276",730,462,20
"4394284",124,26,4
"4394285",108,156,6
"4394290",715,504,24
"4394328",381,280,16
"4394338",1062,766,35
"4394340",932,267,20
"4394342",967,560,32
"4394343",895,361,26
"4394344",648,309,20
"4394350",419,498,23
"4394362",2,1,0
"4394369",1389,683,48
"4394371",1263,239,18
"4394373",117,36,1
"4394374",715,520,23
"4394375",1150,434,31
"4394395",248,58,6
"4394397",117,80,4
"4394399",101,26,6
"4394400",83,62,4
"4394410",727,661,30
"4394429",479,336,24
"4394452",1270,1094,40
"4394454",809,423,23
"4394456",496,230,13
"4394458",3,1,0
"4394475",14,30,0
"4394480",412,151,6
"4394487",0,0,0
"4394492",216,283,20
"4394493",387,288,12
"4394494",1,0,0
"4394496",100,190,6
"4394497",371,686,20
"4394498",303,132,3
"4394499",946,871,37
"4394508",1143,850,48
"4394512",0,0,0
"4394528",1238,794,38
"4394531",1022,493,31
"4394532",613,150,9
"4394534",1225,689,40
"4394540",870,690,37
"4394551",1214,683,33
"4394565",13,8,1
"4394568",20,8,1
"4394572",5,16,1
"4394573",0,0,0
"4394591",856,671,25
"4394595",20,15,0
"4394596",13,42,0
"4394599",1609,1222,30
"4394604",2,2,0
"4394615",0,0,0
"4394620",7,17,0
"4394629",0,0,0
"4394630",0,0,0
"4394634",421,431,21
"4394638",715,478,25
"4394640",147,277,8
"4394649",1138,492,35
"4394650",796,587,42
"4394683",0,0,0
"4394686",0,0,0
"4394687",18,53,5
"4394690",9,1,0
"4394691",4,9,0
"4394694",1136,707,33
"4394702",501,327,26
"4394703",633,651,32
"4970002",1344,296,26
"4970005",840,122,22
"4970006",846,183,29
"4970007A",351,81,8
"4970007B",351,82,5
"4970024",1505,325,43
"4970025",57,14,2
"4970027",1723,271,33
