CNTYVTD,HurdR_18G_U.S. Rep 23,JonesD_18G_U.S. Rep 23,CorvalanL_18G_U.S. Rep 23
"323001A",57,202,13
"323001B",332,689,19
"323001C",372,1136,38
"323002A",29,235,7
"323002BA",23,79,3
"323002BB",43,153,3
"323002BC",179,615,23
"323002C",130,455,23
"323002D",20,30,0
"323003A",440,844,34
"323003B",413,997,50
"323003C",122,110,3
"323004A",86,270,22
"323004B",395,785,29
"323004C",109,307,12
"323004D",131,509,19
"325001A",775,115,8
"325001B",833,138,10
"325001C",1149,427,22
"325001D",1088,286,21
"325002A",750,371,20
"325002B",1484,327,17
"325002C",1559,498,24
"325003A",454,127,7
"325003B",252,51,4
"325003C",773,347,33
"325003D",306,575,18
"325004A",671,177,12
"325004B",1210,461,36
"325004C",377,307,23
"3710001",595,331,11
"3710002",442,381,8
"3710003",128,18,1
"3710004",314,63,6
"3710005",45,4,0
"3710006",27,20,1
"3710007",338,314,9
"3710009",99,27,4
"3710010",156,153,12
"3770001",74,119,3
"3770002",49,124,5
"3770003",4,9,0
"3770004",43,225,7
"3770005",34,132,1
"3770006",10,4,0
"3770007",217,583,10
"3830001",66,36,2
"3830002",248,43,3
"3830003A",177,40,0
"3830003B",22,0,0
"3830004",161,31,0
"3890001",34,66,3
"3890002",111,171,6
"3890003",151,184,5
"3890004",24,7,0
"3890005",71,117,3
"3890006",21,28,2
"3890007",173,146,8
"3890008",48,69,2
"3890010",116,177,5
"3890011",67,178,6
"3890012",194,168,9
"4130001",212,71,6
"4130002",187,46,10
"4130003",45,39,3
"4130004",286,38,5
"4350101",154,74,2
"4350201",279,30,1
"4350301",372,68,2
"4350401",149,68,1
"4430001",57,54,4
"4430002A",4,5,0
"4430002B",48,66,3
"4430003",77,21,4
"4430004A",10,1,0
"4430004B",79,23,3
"4610001",186,30,4
"4610002",108,13,4
"4610003",127,48,3
"4610004",246,58,6
"4610005",48,5,0
"4610006",98,23,0
"4630001",426,386,18
"4630002",452,245,9
"4630003",395,42,11
"4630004",291,46,3
"4630005",656,218,24
"4630006",129,27,4
"4630007",287,72,6
"4630008",345,456,20
"4630009",97,445,15
"4630010",47,169,6
"4630011",184,61,6
"4630012",665,438,23
"4630013",347,706,39
"4630014",67,16,1
"4650010A",6,9,1
"4650010B",343,492,16
"4650011",199,474,20
"4650012",38,76,8
"4650013",270,136,8
"4650020",98,14,0
"4650021",200,394,22
"4650022",301,478,20
"4650023",119,37,2
"4650024",180,308,27
"4650030",332,300,13
"4650031",1572,946,48
"4650032",134,29,1
"4650033",728,213,13
"4650040",708,1248,40
"4650041A",33,51,5
"4650041B",208,334,27
"4650042",18,0,1
"4650043",31,5,1
"4750002",734,180,12
"475001E",242,270,9
"475001W",41,80,0
"475003N",503,106,6
"475003S",131,17,2
"475004E",252,135,11
"475004M",86,26,2
"475004W",47,15,0
"4950101",310,72,2
"4950201",88,24,3
"4950202",302,50,2
"4950301",313,72,2
"4950401",97,104,7
"5070001",69,167,1
"5070002",127,655,15
"5070003",74,625,12
"5070004",179,354,13
"507001A",52,272,4
"507004A",56,197,9
