CNTYVTD,ConawayR_18G_U.S. Rep 11,LeederD_18G_U.S. Rep 11,SmithL_18G_U.S. Rep 11
"3070101",665,84,6
"3070102",77,12,1
"3070201A",236,89,4
"3070201B",1,1,0
"3070202",98,14,0
"3070301",511,68,10
"3070302",145,7,2
"3070401",280,47,0
"3070402",190,20,2
"3070403",90,11,1
"3170001",286,54,4
"3170002",210,65,6
"3170003",311,30,6
"3170004",266,42,3
"317003A",128,9,1
"317004A",108,1,0
"3190101",384,95,1
"3190210",280,81,6
"3190302",490,99,2
"3190405",425,89,4
"3270001",110,39,2
"3270002",153,26,0
"3270003",181,27,1
"3270004",115,21,2
"3270005",38,3,0
"3270006",57,7,1
"3290101A",318,40,1
"3290101B",10,1,0
"3290102",1185,354,24
"3290103",998,264,37
"3290104",188,111,8
"3290105",485,208,12
"3290106",1095,383,28
"3290107",1293,232,39
"3290108",144,33,10
"3290109",169,116,7
"3290110",1671,186,25
"3290201",1011,162,29
"3290202",2503,237,49
"3290203",314,56,6
"3290204",1494,190,30
"3290205",601,87,30
"3290206",994,126,31
"3290207",1362,247,40
"3290208",276,113,15
"3290210",665,153,21
"3290211",1097,253,32
"3290212",652,208,19
"3290302",933,251,30
"3290303",55,40,6
"3290304",175,210,2
"3290305",117,252,14
"3290306",240,405,12
"3290307",418,169,21
"3290308",610,890,30
"3290309",61,31,0
"3290310",122,58,5
"3290401",467,52,7
"3290402",164,25,9
"3290403",1687,258,56
"3290404",1313,236,30
"3290405",1204,236,33
"3290406",902,135,13
"3290407",1175,286,24
"3290408",1135,116,31
"3290409",842,161,26
"3290410",692,75,9
"3290411",2218,190,46
"329108A",166,31,0
"329109A",0,0,0
"329307A",83,38,1
"329309A",12,1,0
"329402A",402,70,6
"3330001",475,61,3
"3330002",246,26,1
"3330003",178,23,2
"3330006",141,19,1
"3330008",310,42,4
"3330009",309,49,4
"3330011",102,6,1
"3350001",447,65,2
"3350002",127,3,0
"3350003",394,81,5
"3350004",270,43,1
"3350025",177,48,4
"3350046",199,23,7
"3630001",300,65,5
"3630002",11,0,0
"3630003",475,72,0
"3630004",207,24,2
"3630005",194,50,2
"3630006",455,115,7
"3630007",260,34,4
"3630008",855,96,6
"3630009",229,27,0
"3630011",145,22,0
"3630012",199,38,5
"3630013",310,81,5
"3630014",81,18,0
"3630015",392,58,0
"3630016",219,24,2
"3630017",188,73,1
"3630018",79,14,2
"3630020",108,9,0
"3630021",354,97,3
"3630022",490,73,10
"3630023",509,155,6
"3630024",70,10,0
"3630025",55,10,3
"3630026",32,12,1
"3630027",686,187,14
"3630028",257,99,5
"3630029",286,133,8
"3630030",170,79,2
"3990001",586,82,5
"3990002",48,10,0
"3990003",579,61,1
"3990004A",128,24,3
"3990004B",7,0,0
"3990005",96,4,0
"3990006",78,6,0
"3990007",378,55,2
"3990008",368,30,3
"3990009",380,41,4
"3990010",237,11,4
"4110001",466,63,0
"411002A",323,31,1
"411002B",154,14,1
"411003A",238,44,3
"411003B",166,29,0
"411004A",414,35,1
"411004B",62,4,0
"4291-11",502,58,5
"4292-11",632,72,2
"4293-11",222,46,2
"4294-11",275,43,4
"4295-11",187,9,1
"4310001A",96,6,1
"4310001B",28,4,0
"4310002A",69,6,0
"4310002B",6,0,0
"4310002C",11,1,0
"4310002D",3,0,0
"4310003",139,5,0
"4310004",102,8,2
"4510106",258,148,2
"4510107",266,115,8
"4510108",423,45,9
"4510112",540,56,6
"4510114",105,183,5
"4510124",153,298,1
"4510137",571,443,15
"4510144",357,252,9
"4510146",652,444,14
"4510213",1616,154,22
"4510215",1217,247,17
"4510225",58,3,1
"4510228",1027,341,22
"4510230",2113,610,47
"4510241",2524,527,45
"4510304",1138,365,20
"4510305",17,9,0
"4510306",560,193,13
"4510308",82,48,0
"4510319",1573,422,29
"4510327",717,380,10
"4510348",297,77,7
"4510351",216,49,2
"4510358",2044,293,25
"4510401",53,27,1
"4510402",1099,512,24
"4510420",247,41,5
"4510421",1592,388,20
"4510422",760,98,13
"4510423",591,57,8
"4510424",882,299,23
"4510434",293,196,12
"4510435",362,135,11
"4510436",1545,598,47
