CNTYVTD,GohmertR_18G_U.S. Rep 1,McKellarD_18G_U.S. Rep 1,CallawayL_18G_U.S. Rep 1
"4030003",153,71,5
"4030004",137,8,1
"4030005",486,45,1
"4030006",778,121,4
"4030007",45,49,0
"4030008",146,16,1
"4050001",430,216,8
"4050002",107,85,2
"4050003",96,35,0
"4050004",155,56,1
"4050005",168,25,2
"4050006",149,25,2
"4050007",161,35,0
"4050008",338,25,2
"4050009",446,54,3
"4050010",192,19,1
"4050011",5,151,1
"4190002",391,41,0
"4190003",167,11,0
"4190004",337,53,2
"4190005",917,87,6
"4190006",261,53,4
"4190007",303,116,3
"4190008",371,181,4
"419001N",593,107,6
"419001S",712,167,6
"419001W",205,32,5
"419009N",474,111,4
"419009S",412,78,4
"41901SE",269,347,7
"41901SW",586,83,5
"4230001",58,96,2
"4230002",59,228,3
"4230003",1035,378,48
"4230004",376,333,3
"4230005",2077,316,35
"4230006",376,86,8
"4230007",804,234,15
"4230008",591,177,8
"4230009",44,95,0
"4230010",703,783,12
"4230011",106,628,9
"4230012",167,675,9
"4230013",27,669,1
"4230014",561,315,15
"4230015",2601,355,42
"4230016",64,502,6
"4230017",477,51,3
"4230018",40,574,2
"4230019",2303,389,41
"4230020",116,151,6
"4230021",719,220,14
"4230022",136,109,4
"4230023",904,376,29
"4230025",971,282,36
"4230026",1231,228,14
"4230027",612,331,15
"4230028",1779,326,37
"4230029",812,212,21
"4230030",2169,366,40
"4230031",1876,331,32
"4230032",1182,327,22
"4230034",166,496,4
"4230035",511,761,23
"4230036",256,972,16
"4230037",950,191,19
"4230038",823,400,34
"4230039",121,130,7
"4230040",2581,447,45
"4230041",1813,313,35
"4230042",1964,401,44
"4230043",383,187,29
"4230044",1179,736,35
"4230045",707,80,4
"4230046",406,167,5
"4230047",142,60,2
"4230048",123,82,6
"4230049",41,70,2
"4230050",1111,351,44
"4230052",1025,187,13
"4230054",1335,510,39
"4230055",1668,847,45
"4230056",1494,498,52
"4230058",1512,411,38
"4230059",1598,459,39
"4230060",91,146,2
"4230061",600,479,33
"4230063",7,29,0
"4230064",48,37,0
"4230065",35,36,1
"4230066",173,148,2
"4230070",178,107,10
"4230071",1976,474,40
"4230072",73,42,0
"4230073",160,142,5
"4230074",161,32,7
"4230075",1679,247,20
"4230076",67,174,2
"4230077",119,90,8
"4230078",73,17,4
"4230079",1598,409,43
"4230080",9,3,0
"4230081",42,84,1
"4230082",9,11,0
"4590009",792,180,14
"4590010",1108,126,20
"4590011",270,75,7
"4590017",839,286,15
"4590018",189,86,4
"4590019",4,1,0
"49902-1",212,18,6
"49903-1",573,94,6
"49903-2",1723,289,13
"49903-3",1425,349,21
"49904-1",408,51,2
"49904-2",1185,185,16
