CNTYVTD,BillupsR_18G_U.S. Rep 33,VeaseyD_18G_U.S. Rep 33,ReevesL_18G_U.S. Rep 33
"1134602",458,572,15
"1134603",7,15,0
"1134604",615,803,27
"1134605",531,671,33
"1134606",584,819,31
"1134607",255,520,16
"1134609",185,637,16
"1134610",596,629,17
"1134611",348,461,26
"1134613A",74,235,6
"1134613B",0,0,0
"1134615",34,77,2
"1134616",187,351,15
"1134617",50,52,3
"1134618",103,148,9
"1134620",398,458,36
"1134646",104,113,8
"1134649",7,39,0
"1134650",0,0,0
"1134651",4,16,1
"1134652",111,260,8
"1134653",8,15,0
"1134654",189,326,11
"1134658",16,23,0
"1134659",35,92,5
"1134660",9,14,1
"1134661",94,292,10
"1134662",35,82,0
"4391005",17,334,3
"4391008",2,110,2
"4391010",24,116,3
"4391011",31,320,2
"4391013",126,1000,13
"4391019",59,236,4
"4391025",254,656,13
"4391059",17,193,0
"4391062",7,13,0
"4391066",110,259,9
"4391074",18,261,5
"4391075",53,288,6
"4391078",11,344,4
"4391079",16,430,1
"4391080",23,463,5
"4391082",103,180,5
"4391083",54,319,4
"4391084",0,0,0
"4391085",117,216,6
"4391088",79,434,5
"4391089",15,559,4
"4391090",22,508,6
"4391098",48,602,6
"4391099",83,245,9
"4391104",99,1166,14
"4391106",16,894,4
"4391109",101,347,14
"4391127",29,703,2
"4391132",30,612,3
"4391149",195,877,12
"4391151",246,392,12
"4391153",45,818,4
"4391154",33,171,1
"4391188",10,264,4
"4391198",61,118,4
"4391211",33,874,8
"4391227",620,1627,28
"4391237",99,254,5
"4391273",303,685,34
"4391277A",422,440,22
"4391277B",0,0,0
"4391278",157,879,21
"4391291",34,981,7
"4391293",72,550,7
"4391295",120,297,6
"4391297",55,1172,10
"4391301",119,876,8
"4391346",19,394,4
"4391351",0,0,0
"4391404",7,11,0
"4391408",24,64,5
"4391412",0,0,0
"4391415",106,472,14
"4391420",0,0,0
"4391430",1,4,0
"4391434",3,0,0
"4391437",238,230,7
"4391439",5,48,1
"4391445",17,33,4
"4391455",0,0,0
"4391460",234,959,12
"4391473",13,29,2
"4391476",12,32,1
"4391477",45,376,3
"4391479",18,65,3
"4391481",27,144,3
"4391482",28,262,4
"4391490",81,205,4
"4391491",1,0,0
"4391518",86,300,3
"4391543",0,0,0
"4391544",0,2,0
"4391550",0,20,0
"4391555",1,0,0
"4391564",0,0,0
"4391576",4,73,0
"4391577",61,417,2
"4391578",158,562,13
"4391586",0,1,0
"4391589",44,66,3
"4391597",32,212,2
"4391610",0,0,0
"4391611",4,4,0
"4391619",2,9,0
"4391622",15,14,0
"4391628",0,0,0
"4391631",53,82,3
"4391652",0,79,1
"4391679",0,0,0
"4392027",197,376,13
"4392134",129,211,5
"4392143",164,222,13
"4392145",225,564,22
"4392148",255,719,17
"4392169",132,383,10
"4392180",154,585,11
"4392210",113,218,8
"4392225",108,519,11
"4392235",485,793,25
"4392263",298,585,13
"4392309",223,417,20
"4392393",78,126,3
"4392403",2,7,0
"4392411",37,142,3
"4392413",78,283,4
"4392428",65,181,3
"4392442",576,646,20
"4392461",196,755,14
"4392546",6,27,2
"4392569",3,22,0
"4392609",0,0,0
"4392658",57,168,1
"4392670",23,46,2
"4392673",0,0,0
"4392680",0,0,0
"4394017",166,834,16
"4394048",48,241,6
"4394050",63,413,4
"4394067",99,495,12
"4394068",82,413,9
"4394087",27,196,6
"4394092",52,319,8
"4394093",114,599,9
"4394097",108,413,12
"4394101",198,327,9
"4394107",65,328,8
"4394110",73,391,11
"4394122",103,489,11
"4394123",95,466,8
"4394155",247,804,23
"4394162",100,143,2
"4394195",80,468,11
"4394201",64,403,5
"4394231",95,534,6
"4394233",106,484,14
"4394245",4,50,1
"4394256",57,286,4
"4394288",9,69,5
"4394312",14,54,1
"4394370",0,0,0
"4394432",3,11,1
"4394478",0,0,0
"4394483",10,10,2
"4394485",83,84,5
"4394495",26,45,0
"4394503",140,294,14
"4394563",0,0,0
"4394587",1,91,1
"4394592",0,0,0
"4394593",62,62,5
"4394598",0,0,0
"4394602",0,0,0
"4394632",0,0,0
"4394666",0,0,0
"4394682",51,114,1
"4394685",0,0,0
"4394688",12,12,0
"4394689",41,46,3
"4394692",2,8,1
"4394693",1,2,0
