CNTYVTD,WestleyR_18G_U.S. Rep 15,GonzalezD_18G_U.S. Rep 15,CristoL_18G_U.S. Rep 15
"2150206",134,362,5
"2150207",459,736,25
"2150209",55,180,3
"2150211",106,335,10
"2150212",91,103,1
"2150213",17,56,2
"2150215",113,294,4
"2150216",152,537,12
"2150217",11,52,0
"2150218",64,203,6
"2150219",89,280,5
"2150221",143,396,7
"2150222",5,2,0
"2150223",82,117,0
"2150224",68,60,1
"2150225",20,91,3
"2150226",6,14,0
"2150227",146,817,9
"2150228",403,1912,49
"2150230",98,165,4
"2150231",52,78,4
"2150233",0,1,0
"2150234",183,896,10
"2150237",49,292,5
"2150239",275,594,1
"2150240",93,228,6
"2150241",17,78,2
"2150242",5,7,1
"2150243",12,23,1
"2150244",91,193,1
"2150245A",15,57,1
"2150245B",2,10,0
"2150246",0,2,0
"2150249",48,111,3
"2150250",2,40,1
"2150252",5,3,0
"2150253",47,118,1
"2150254",16,37,1
"2470001",32,280,8
"2470002",90,306,2
"2470003",68,248,4
"2470004",51,321,6
"2470005",2,7,0
"2550001",365,435,12
"2550002",89,15,0
"2550003",96,9,1
"2550004",327,204,6
"2550005",211,139,1
"2550006",159,14,3
"2550007",321,44,2
"2550008",86,39,1
"2550009",110,23,3
"2550010",151,19,1
"2550011",217,99,5
"2550012",239,134,8
"2550013",29,1,1
"2550014",140,227,4
"2550015",23,21,0
"2970001",200,27,1
"2970002",382,83,1
"2970003",206,149,5
"2970004",387,71,5
"2970005",172,17,0
"2970006",120,12,0
"2970007",15,5,0
"2970008",75,5,0
"2970009",303,107,7
"2970010",205,26,2
"2970011",43,1,0
"2970012",82,8,1
"2970013",275,29,3
"2970014",487,75,6
"4930209",259,24,2
"4930414",1056,211,11
