CNTYVTD,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"0292051",77,185
"0292052",74,310
"0292053",93,412
"0292054",200,914
"0292055",278,991
"0292056",139,469
"0292057",190,661
"0292058",231,677
"0292059",221,679
"0292060",155,471
"0292061",205,344
"0292062",181,394
"0292063A",324,195
"0292063B",366,217
"0292063C",12,7
"0292064",370,760
"0292065",655,1337
"0292066",1050,1150
"0292067",32,132
"0292068",977,1265
"0292069",436,919
"0292070",94,593
"0292071",40,195
"0292072",644,993
"0292073",140,382
"0292074",58,243
"0292075",44,283
"0292076",558,719
"0292077",555,738
"0292078",380,754
"0292079",22,186
"0292080",156,425
"0292081",120,289
"0292082",186,480
"0292083",76,316
"0292084",1123,960
"0292085",164,478
"0292086",721,1001
"0292087",529,530
"0292088",678,1261
"0292089",31,123
"0292090",211,588
"0292091",343,938
"0292092",85,133
"0292093",194,324
"0292094",69,53
"0292095A",650,401
"0292095B",234,144
"0292096",261,720
"0292097",399,790
"0292098",191,402
"0292099",398,488
"0292100",186,393
"0292101",428,363
"0292102",599,825
"0292103",12,88
"0292104",13,89
"0292105",35,181
"0292106",70,153
"0292107",528,852
"0292108",353,350
"0292109",0,3
"0292110",244,356
"0292111",171,344
"0292112",360,558
"0292113",11,23
"0292114",313,686
"0292115",1156,1139
"0292116",0,2
"0292117",33,210
"0292118",0,13
"0292119",26,114
"0292120",245,327
"0292121",84,134
"0292122",154,525
"0292123",552,525
"0292124",179,244
"0292125",1219,1605
"0292126",237,399
"0292127",575,804
"0292128",134,623
"0292129",1,2
"0292130",410,689
"0292131",56,124
"0292132",0,1
"0292133",79,105
"0292134",152,374
"0292135",72,205
"0292136",908,1182
"0292137",192,354
"0292138",169,307
"0292139",458,568
"0292140",219,482
"0292141",290,439
"0292142",69,177
"0292143",474,589
"0292144",337,688
"0292145",85,120
"0292146",8,27
"0292147",82,148
"0292148",459,1173
"0292149",239,597
"0292150",0,3
"0292151",2,7
"0292152",50,209
"0292153",47,111
"0292154A",163,100
"0292154B",106,65
"0292155",1,0
"0292156",166,412
"0292157",0,0
"0292158",0,0
"0292159",41,63
"0292160",6,6
"0293001",1027,813
"0293002",633,682
"0293003",23,18
"0293004",0,1
"0293005",974,442
"0293006",368,336
"0293007",809,742
"0293008",44,17
"0293009",8,2
"0293010",98,176
"0293011",348,337
"0293012",441,182
"0293013",435,645
"0293014",154,165
"0293015",274,332
"0293016",64,61
"0293017A",1085,398
"0293017B",43,16
"0293018",707,536
"0293019",104,217
"0293020",844,921
"0293021",1261,480
"0293022",556,511
"0293023",543,822
"0293024",0,0
