CNTYVTD,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"1290101",122,10
"1290102",167,25
"1290201",339,62
"1290301",109,1
"1290303",139,20
"1290401",218,38
"1310001",174,692
"1310002",123,530
"1310003",50,216
"1310004",31,53
"1310005",54,143
"1310006",14,56
"1310007",43,26
"1310008",412,577
"1310009",103,438
"1330001",1255,171
"1330002",168,25
"1330003",607,137
"1330004",181,17
"1330005",287,46
"1330006",179,27
"1330007",1054,115
"1330008",1309,215
"1330009",323,33
"1350101",1192,469
"1350102",691,375
"1350103",408,172
"1350104",95,26
"1350106",484,149
"1350107",331,73
"1350108",1005,240
"1350109",100,17
"1350110",1338,446
"1350111",150,102
"1350201",2782,597
"1350202",1269,277
"1350203",1179,301
"1350204",590,189
"1350205",805,219
"1350206",330,54
"1350207",920,85
"1350208",1533,425
"1350209",426,154
"1350301",624,415
"1350302",303,148
"1350303",434,250
"1350304",99,86
"1350305",79,96
"1350306",199,174
"1350307",449,314
"1350308",317,116
"1350309",416,187
"1350311",288,161
"1350312",503,175
"1350401",214,103
"1350402",172,386
"1350403",185,581
"1350404",313,197
"1350405",72,208
"1350406",371,439
"1350407",259,101
"1350408",81,117
"1350409",225,171
"1350412",110,118
"1370001",66,24
"1370002",238,27
"1370003",182,31
"1370004",108,36
"1390101",1313,528
"1390102",1599,475
"1390103",1876,624
"1390104",1663,445
"1390105",2016,630
"1390106",1641,355
"1390107",1714,574
"1390108",1523,460
"1390109",902,339
"1390110",1340,1070
"1390111",985,309
"1390112",786,214
"1390113",157,595
"1390114",789,295
"1390115",600,304
"1390116",795,305
"1390117",902,367
"1390118",1058,447
"1390119",621,195
"1390120",235,70
"1390121",852,317
"1390122",536,195
"1390123",69,282
"1390124",177,384
"1390125",1451,485
"1390126",326,180
"1390127",145,61
"1390128",33,37
"1390129",271,108
"1390130",226,97
"1390131",681,266
"1390132",260,59
"1390133",210,77
"1390134",379,53
"1390135",1790,352
"1390136",304,65
"1390137",593,142
"1390138",718,215
"1390139",533,138
"1390140",1851,798
"1390141",905,284
"1390142",784,314
"1390143",1265,461
"1390144",449,708
"1390145",865,988
"1390146",943,585
"1390147",1416,710
"1390148",664,579
"1390149",435,246
"1410001",250,600
"1410002",350,949
"1410003",375,750
"1410004",260,488
"1410005",1049,1965
"1410006",686,588
"1410007",599,894
"1410008",963,684
"1410009",716,1057
"1410010",422,1348
"1410011",876,1816
"1410012",277,457
"1410013",520,1133
"1410014",912,1180
"1410015",709,833
"1410016",455,1340
"1410017",404,539
"1410018",857,992
"1410019",531,1198
"1410020",227,467
"1410021",628,684
"1410022",464,859
"1410023",384,455
"1410024",776,1109
"1410025",476,930
"1410026",315,651
"1410027",247,726
"1410028",31,137
"1410029",309,919
"1410030",10,68
"1410031",124,520
"1410032",259,685
"1410033",361,841
"1410034",40,260
"1410035",356,828
"1410036",147,871
"1410037",100,709
"1410038",145,744
"1410039",41,234
"1410040",66,306
"1410041",66,375
"1410042",96,607
"1410043",546,619
"1410044",940,1466
"1410045",574,1057
"1410046",191,439
"1410047",529,781
"1410048",185,655
"1410049",245,425
"1410050",628,1453
"1410051",368,619
"1410052",285,682
"1410053",342,925
"1410054",220,607
"1410055",400,754
"1410056",410,661
"1410057",212,461
"1410058",264,490
"1410059",271,836
"1410060",597,620
"1410061",267,470
"1410062",129,385
"1410063",204,817
"1410064",210,864
"1410065",84,95
"1410066",207,718
"1410067",216,729
"1410068",62,224
"1410069",353,1386
"1410070",236,944
"1410071",191,778
"1410072",118,484
"1410073",93,450
"1410074",129,752
"1410075",206,603
"1410076",118,475
"1410077",198,852
"1410078",108,466
"1410079",40,221
"1410080",66,539
"1410081",28,122
"1410082",121,737
"1410083",69,452
"1410084",137,758
"1410085",78,544
"1410086",71,111
"1410087",0,3
"1410088",128,135
"1410089",290,1044
"1410090",345,684
"1410091",134,344
"1410092",553,1030
"1410093",206,548
"1410094",357,920
"1410095",467,966
"1410096",579,1057
"1410097",296,712
"1410098",428,715
"1410099",150,433
"1410100",413,1081
"1410101",461,867
"1410102",277,848
"1410103",413,632
"1410104",487,955
"1410105",402,987
"1410106",359,1038
"1410107",324,765
"1410108",453,644
"1410109",298,645
"1410110",461,1110
"1410111",217,791
"1410112",276,1221
"1410113",286,867
"1410114",405,1402
"1410115",609,1568
"1410116",754,2199
"1410117",371,1087
"1410118",330,837
"1410119",361,915
"1410120",339,1074
"1410121",226,752
"1410122",382,1297
"1410123",264,1090
"1410124",245,981
"1410125",498,1566
"1410126",723,1686
"1410127",48,124
"1410128",708,1650
"1410129",418,1010
"1410130",437,1259
"1410131",184,516
"1410132",28,133
"1410133",166,903
"1410134",120,413
"1410135",151,815
"1410136",106,621
"1410137",106,718
"1410138",125,757
"1410139",194,763
"1410140",97,599
"1410141",90,459
"1410142",62,424
"1410143",145,927
"1410144",171,915
"1410145",153,853
"1410146",77,474
"1410147",121,515
"1410148",167,841
"1410149",201,917
"1410150",117,594
"1410151",123,752
"1410152",82,661
"1410153",164,903
"1410154",141,773
"1410155",67,394
"1410156",177,1012
"1410157",97,600
"1410158",1638,3288
"1410159",97,553
"1410160",159,809
"1410161",87,366
"1410162",205,1079
"1410163",211,809
"1410164",245,1098
"1410165",176,1103
"1410166",414,708
"1410167",177,1044
"1410168",414,1026
"1410169",396,1742
"1410170",394,806
"1410171",284,1561
"1410172",273,1099
"1410173",141,394
"1410174",1,2
"1410175",22,96
"1410176",214,346
"1410177",126,177
"1410178",226,339
"1410179",17,223
"1410180",89,572
"1410181",318,661
"1410182",147,482
"1410183",0,0
"1410184",0,0
"1410185",164,194
"1410186",129,258
"1410187",1,0
"1410188",19,32
"1410189",4,3
"1410190",0,0
"1410191",0,0
"1430010",377,164
"1430011",160,82
"1430012",611,137
"1430018",921,145
"1430019",626,116
"1430020",532,113
"1430021",576,123
"1430023",204,55
"1430024",400,92
"1430025",383,53
"1430030",350,47
"1430031",623,89
"1430032",691,148
"1430033",263,160
"1430034",613,84
"1430035",31,37
"1430041",392,49
"1430044",1044,142
"1430045",592,254
"1430046",259,101
"1430047",467,133
"1450101",157,129
"1450104",341,60
"1450105",265,153
"1450201",238,58
"1450203",19,201
"1450204",77,245
"1450301",256,52
"1450302",107,46
"1450303",324,34
"1450304",340,137
"1450403",382,143
"1450404",335,97
"1450405",261,110
"1470001",525,145
"1470002",596,83
"1470003",224,96
"1470004",480,196
"1470005",256,56
"1470006",325,70
"1470007",236,52
"1470009",434,88
"1470010",1085,224
"1470011",1104,210
"1470012",561,90
"1470013",338,83
"1470015",405,64
"1470016",164,32
"1470018",1129,333
"1470019",680,223
"1490002",103,28
"1490003",219,40
"1490004",423,95
"1490005",145,17
"1490006",242,71
"1490007",349,74
"1490008",210,39
"1490009",130,41
"1490010",343,57
"1490011",237,42
"1490012",193,57
"1490013",309,89
"1490014",148,19
"1490015",190,39
"1490016",679,236
"1490017",243,34
"149001E",430,88
"149001N",886,359
"149001W",355,102
"1490020",398,75
"1490021",139,24
"1490022",100,24
"1490023",134,25
"1490024",144,26
"1490025",1050,325
"1490026",282,72
"1510001",292,75
"1510004",321,90
"1510010",211,82
"1510012",261,102
"1530001",535,104
"1530009",52,1
"1530018",438,85
"1530023",231,185
"1530024",91,40
"153024BA",29,43
"153024BB",0,0
"1550101",50,19
"1550201",97,27
"1550301",69,30
"1550401",77,38
"1571001",776,401
"1571002",230,767
"1571003",173,974
"1571007",1896,2151
"1571008",428,113
"1571010",1810,477
"1571012",523,558
"1571013",791,699
"1571015",536,175
"1571018",884,192
"1571021",418,58
"1571024",426,134
"1571025",1159,829
"1571037",699,576
"1571040",161,726
"1571048",249,529
"1571054",125,82
"1571058",115,315
"1571067",577,1105
"1571068",242,26
"1571072",46,15
"1571073",461,214
"1571074",811,1180
"1571076",1006,1934
"1571085",873,842
"1571087",834,444
"1571094",1,4
"1571097",1641,1387
"1571103",2159,1046
"1571109",286,256
"1571114",179,2091
"1571118",2006,1563
"1571120",1398,665
"1571128",1514,687
"1571134",519,1486
"1571141",1080,569
"1571152",543,335
"1571153",63,1185
"1571154",673,831
"1572016",848,1198
"1572017",67,1299
"1572022",1162,905
"1572023",112,1051
"1572031",75,1372
"1572033",177,500
"1572034",121,2031
"1572036",29,558
"1572043",94,313
"1572050",78,1736
"1572051",47,1287
"1572052",52,1270
"1572055",22,541
"1572056",88,272
"1572059",100,1213
"1572060",353,1347
"1572061",1195,1435
"1572066",440,1818
"1572070",307,472
"1572075",73,984
"1572077",131,993
"1572078",77,256
"1572081",195,526
"1572088",393,1027
"1572089",34,767
"1572090",263,238
"1572091",125,287
"1572092",188,314
"1572093",59,170
"1572096",356,934
"1572099",579,1274
"1572100",400,911
"1572101",384,1336
"1572106",505,1647
"1572108",728,2410
"1572112",25,115
"1572115",222,730
"1572116",61,1186
"1572123",38,937
"1572136",67,122
"1572137",79,175
"1572138",53,188
"1572139",4,28
"1572151",506,991
"1572157",797,1061
"1573004",1592,952
"1573005",1740,499
"1573006",3088,1423
"1573009",1473,621
"1573014",2047,944
"1573019",470,146
"1573032",436,976
"1573038",1815,1324
"1573041",902,343
"1573053",0,0
"1573057",1615,1084
"1573063",1545,496
"1573069",151,139
"1573083",759,1650
"1573095",836,847
"1573098",475,850
"1573104",2057,874
"1573113",417,2270
"1573122",1734,785
"1573130",1549,1112
"1573132",1619,1203
"1573133",1557,764
"1573142",1366,1053
"1573143A",642,496
"1573143B",7,5
"1573143C",62,47
"1573143D",74,58
"1573143E",212,163
"1573143F",265,204
"1573143G",309,238
"1573143H",311,239
"1573143I",123,94
"1573144",1662,991
"1573145",805,637
"1573146",1865,1596
"1573148",2978,1557
"1573149",2601,575
"1573150",987,2405
"1573156",1192,386
"1573159",837,717
"1573160",422,428
"1574011",605,410
"1574020",1302,648
"1574026",971,938
"1574027",0,0
"1574028",721,786
"1574029",863,396
"1574030",1024,795
"1574035",480,556
"1574039",187,362
"1574042",483,190
"1574044",952,1336
"1574045",471,603
"1574046",924,1013
"1574047",246,276
"1574049",657,1398
"1574062",999,1304
"1574064",360,285
"1574065",1322,1675
"1574071",104,162
"1574079",134,126
"1574080",377,414
"1574082",2118,1462
"1574084",524,463
"1574086",378,876
"1574102",569,880
"1574105",531,561
"1574107",854,499
"1574110",756,762
"1574111",428,378
"1574117",1038,1739
"1574119",1343,770
"1574121",168,243
"1574124",817,1453
"1574125",748,1487
"1574126",744,1252
"1574127",759,1008
"1574129",1748,1995
"1574131",681,502
"1574135",1644,2369
"1574140",1123,869
"1574147",661,1682
"1574155",349,976
"1574158",352,952
"1590101",534,103
"1590102",265,32
"1590201",310,39
"1590202",376,132
"1590301",402,68
"1590302",337,76
"1590401",629,104
"1590402",399,73
"1610001",1367,197
"1610002",563,206
"1610003",80,6
"1610004",220,30
"1610005",850,282
"1610006",279,37
"1610007",290,89
"1610008",284,55
"1610009",246,54
"1610010",202,11
"1610011",207,160
"1610012",69,22
"1610013",172,25
"1610014",208,47
"1610015",143,18
"1630001",188,314
"1630002",73,228
"1630003",41,240
"1630004A",295,267
"1630004B",2,2
"1630005",208,69
"1630006",173,86
"1630008",115,254
"1630009",156,286
"1630010",244,179
"1650002",758,104
"1650003",1138,96
"1650004",452,84
"1650005",119,14
"1650006",82,22
"1650007",97,73
"1650008",377,69
"1650009",275,28
"1670103",556,165
"1670104",429,105
"1670105",86,91
"1670142",657,589
"1670144",843,421
"1670146",898,641
"1670148",1076,747
"1670150",774,490
"1670151",1208,416
"1670152",2022,880
"1670159",1221,761
"1670165",1848,835
"1670166",1120,565
"1670167",2248,936
"1670168",0,0
"1670169",1,0
"1670170",1207,530
"1670172",221,65
"1670192",211,108
"1670193",995,474
"1670197",274,132
"1670218",858,1009
"1670219",622,618
"1670220",1821,1155
"1670221",975,374
"1670223",760,883
"1670224",924,911
"1670225",1427,400
"1670226",866,422
"1670227",1345,331
"1670228",1587,317
"1670232",511,529
"1670258",1038,193
"1670263",2763,1272
"1670274",424,128
"1670275",192,77
"1670276",709,554
"1670277",1120,222
"1670278",1233,277
"1670279",562,118
"1670280",147,111
"1670281",84,30
"1670283",1150,686
"1670301",252,418
"1670306",1013,1630
"1670309",41,23
"1670311",78,399
"1670312",5,34
"1670314",477,1490
"1670315",634,1300
"1670316A",322,768
"1670316B",0,0
"1670330",412,821
"1670331",244,957
"1670334",102,501
"1670336",226,1878
"1670338",614,1152
"1670340",28,263
"1670341",262,294
"1670343",314,503
"1670345",42,300
"1670347",139,410
"1670389",97,203
"1670391",27,25
"1670394",7,15
"1670398",99,146
"1670399",57,73
"1670401",0,0
"1670439",1284,620
"1670453",1824,932
"1670454",1517,918
"1670455",669,387
"1670456",1740,513
"1670457",2076,653
"1670460",2565,704
"1670461",1783,530
"1670462",2275,724
"1670464",1222,531
"1670471",809,554
"1670482",100,9
"1670487",2313,1115
"1670488",1497,764
"1670490",1863,891
"1671051",153,181
"1671651",0,0
"1672321",0,0
"1672322",0,0
"1672323",234,34
"1672801",0,0
"1673061",0,1
"1673301",0,0
"1673311",74,113
"1674391",12,2
"1690001",262,32
"1690002",353,40
"1690003",198,39
"1690004",125,46
"1690005",58,15
"1690006",69,15
"1710001",1106,277
"1710002",614,167
"1710003",591,158
"1710004",1356,338
"1710005",1110,200
"1710006",414,92
"1710007",1387,307
"1710008",201,43
"1710009",126,19
"1710010",467,122
"1710012",1144,264
"1710013",955,209
"1710015",499,121
"1730001",151,9
"1730002",98,13
"1730003",110,6
"1730004",132,12
"1750011",249,211
"1750012",227,27
"1750021",266,208
"1750022",82,41
"1750031",335,101
"1750032",353,42
"1750041",181,31
"1750042",332,45
"1750043",192,26
"1770001",1000,309
"1770002",493,258
"1770003",500,190
"1770005",279,72
"1770007",211,41
"1770008",160,34
"1770009",280,231
"1770010",210,56
"1770011",130,17
"1770012",72,24
"1770013",159,32
"1770014",50,13
"1770015",183,19
"17704/6",362,131
"1790001",188,14
"1790002",1071,125
"1790003",79,0
"1790004",367,45
"1790005",1402,162
"1790006",1432,147
"1790007",730,130
"1810101",899,800
"1810102",357,751
"1810103",263,48
"1810104",487,96
"1810105",2500,597
"1810106",1149,272
"1810107",943,142
"1810108A",715,123
"1810108B",80,14
"1810201",1125,508
"1810202",1141,460
"1810203",229,213
"1810204",466,128
"1810205A",1747,409
"1810205B",0,0
"1810206",610,191
"1810207",481,96
"1810208",591,206
"1810209",558,118
"1810210",949,164
"1810301",551,310
"1810302",1855,941
"1810303",453,85
"1810304",1069,529
"1810305",673,146
"1810306",1843,293
"1810307",951,148
"1810308",557,75
"1810309",344,76
"1810401",347,366
"1810402",902,377
"1810403",1377,320
"1810404",1632,384
"1810405",156,92
"1810406",1345,213
"1810407",36,38
"1810408A",585,195
"1810408B",41,14
"1810409",1841,671
"1830001",694,260
"1830002",1568,544
"1830003",1413,500
"1830004",1653,412
"1830005",1601,429
"1830006",1168,196
"1830007",1347,317
"1830008",1744,579
"1830009",1789,612
"1830010",1207,650
"1830011",1737,545
"1830012",2141,277
"1830013",1042,328
"1830014",1955,339
"1830015",382,213
"1830016",1729,338
"1830017",163,189
"1830018",835,979
"1830019",224,1291
"1830020",264,884
"1830021",323,769
"1850001",969,170
"1850002",407,54
"1850003",156,433
"1850004",623,123
"1850005",606,193
"1850006",619,338
"1850007",469,112
"1850008",234,55
"1850009",183,42
"1850010",765,104
"1850011",136,20
"1850012",377,127
"1850014",704,186
"1850015",247,45
"1870101",263,94
"1870102A",406,167
"1870102B",6,2
"1870103",327,121
"1870104",275,225
"1870105",1160,328
"1870106",1306,552
"1870107",565,130
"1870108",268,158
"1870109",251,54
"1870110",84,60
"1870111",32,28
"1870112",68,139
"1870113",393,184
"1870114",289,154
"1870115",146,25
"1870116",982,325
"1870117",1784,704
"1870118",23,20
"1870119",831,253
"1870120",547,153
"1870121",59,26
"1870122",20,7
"1870123",0,1
"1870124",0,1
"1870125",88,19
"1870126",12,2
"1870127",9,5
"1870201",121,86
"1870202",128,308
"1870203",46,127
"1870204",252,358
"1870205",477,171
"1870206",363,579
"1870207",149,247
"1870208",1440,408
"1870209",87,223
"1870210",259,205
"1870211",43,36
"1870212",31,52
"1870213",840,367
"1870214",276,92
"1870215",377,148
"1870216",29,7
"1870217",28,36
"1870218",14,24
"1870219",27,22
"1870220",19,22
"1870221",11,5
"1870222",0,0
"1870223",76,80
"1870224",10,49
"1870225",0,9
"1870226",99,57
"1870301",1012,699
"1870302",1252,1019
"1870303",525,269
"1870304",1438,858
"1870305",1357,989
"1870306",1485,894
"1870307",1446,1051
"1870308",821,433
"1870401",649,207
"1870402",525,372
"1870403",759,521
"1870404",960,665
"1870405",896,197
"1870406",1002,184
"1870407",850,202
"1870408",1578,720
"1870409",1232,1360
"1870410",55,26
"1870411",1190,761
"1890101",128,44
"1890102",33,16
"1890103",69,84
"1890104",123,92
"1890105",51,29
"1890110",192,23
"1890111",222,77
"1890112",306,38
"1890202",32,55
"1890203",58,80
"1890204",139,118
"1890205",15,31
"1890206",9,13
"1890213",89,28
"1890214",304,145
"1890215",123,40
"1890304",338,114
"1890305",536,86
"1890306",13,19
"1890307",110,51
"1890308",21,8
"1890316",368,164
"1890317",63,18
"1890318",468,85
"1890406",148,111
"1890407",578,133
"1890408",310,72
"1890409",248,98
"1890419",104,9
"1890420",202,26
"1910101",126,46
"1910201",39,8
"1910202",180,34
"1910301",54,13
"1910302",127,25
"1910401",148,20
"1910402",86,19
"1930001",441,80
"1930004",54,12
"1930005",78,16
"1930007",663,155
"1930009",113,19
"1930012",119,10
"1930014",108,13
"1930015",99,4
"1930017",86,10
"1930022",552,112
"1930023",449,76
"1950001",327,38
"1950002",25,4
"1950003",154,5
"1950004",307,20
"1950005",269,20
"1950006",333,32
"1950007",29,0
"1950009",61,5
"1970001",258,46
"1970002",198,47
"1970003",209,41
"1970004",256,54
"1990001",564,232
"1990002",2080,296
"1990003",283,18
"1990004",387,38
"1990005",304,16
"1990006",2089,278
"1990007",395,29
"1990008",386,46
"1990009",1028,252
"1990010",1028,451
"1990011",414,63
"1990012",449,69
"1990013",1174,91
"1990014",700,64
"1990015",887,123
"1990016",1050,107
"1990017",596,41
"1990018",2913,365
"1990019",511,70
"2010001A",541,1383
"2010001B",0,0
"2010002",348,813
"2010003",379,770
"2010004",387,919
"2010005",333,751
"2010006",931,1155
"2010007",20,386
"2010008",441,636
"2010009",194,817
"2010010",160,663
"2010011",141,655
"2010012",115,141
"2010013",857,474
"2010014",558,736
"2010015",1049,1152
"2010016",407,769
"2010017",258,425
"2010018",420,606
"2010019",248,697
"2010020",300,1000
"2010021",131,559
"2010022",166,976
"2010023",31,162
"2010024",59,359
"2010025",18,306
"2010026",200,910
"2010027",349,1472
"2010028",922,800
"2010029",288,667
"2010030",498,1411
"2010031",38,945
"2010032",543,1345
"2010033",717,1899
"2010034",339,1747
"2010035",1,2
"2010036",299,968
"2010037",505,1393
"2010038",581,1629
"2010039",484,1781
"2010040",154,235
"2010041",323,497
"2010042",15,386
"2010043",410,643
"2010044",181,758
"2010045",483,2442
"2010046",175,902
"2010047",32,542
"2010048",51,343
"2010049",1385,840
"2010050",1011,1324
"2010051",676,271
"2010052",622,1138
"2010053",753,1442
"2010054",471,733
"2010055",595,1226
"2010056",502,430
"2010057",801,1651
"2010058",848,1434
"2010059",719,1270
"2010060",409,1649
"2010061",197,589
"2010062",186,759
"2010063",755,214
"2010064",169,747
"2010065",146,739
"2010066",73,376
"2010067",223,1022
"2010068",43,1343
"2010069",74,450
"2010070",1356,1383
"2010071",1526,2238
"2010072",255,772
"2010073",499,594
"2010074",1787,694
"2010075",484,831
"2010076",575,663
"2010077",1,5
"2010078",190,576
"2010079",225,935
"2010080",286,1016
"2010081",241,652
"2010082",1351,667
"2010083A",680,1335
"2010083B",12,24
"2010084",483,213
"2010085",39,872
"2010086",954,1584
"2010087",1119,938
"2010088",288,149
"2010089",382,437
"2010090",1724,766
"2010091",481,445
"2010092",969,627
"2010093",398,957
"2010094",37,189
"2010095",1093,773
"2010096",130,864
"2010097",1903,715
"2010098",1410,324
"2010099",309,480
"2010100",263,332
"2010101",61,204
"2010102",158,477
"2010103",1203,1604
"2010104",25,914
"2010105",216,734
"2010106",37,48
"2010107",109,690
"2010108",715,798
"2010109",34,1115
"2010110",1009,910
"2010111",2154,1198
"2010112",1084,709
"2010113",718,796
"2010114",1785,768
"2010115",59,370
"2010116",1586,703
"2010117",261,572
"2010118",994,1200
"2010119",2192,756
"2010120",1209,1077
"2010121",306,191
"2010122",36,799
"2010123",188,783
"2010124",3301,1161
"2010125",649,681
"2010126",1889,393
"2010127",663,267
"2010128",843,799
"2010129",1663,1614
"2010130",1038,528
"2010131",192,876
"2010132",30,1068
"2010133",956,1046
"2010134",313,529
"2010135",1213,976
"2010136",71,1114
"2010137",772,479
"2010138",31,644
"2010139",927,1599
"2010140",249,1712
"2010141",142,143
"2010142",87,307
"2010143A",0,0
"2010143B",288,223
"2010143C",1106,856
"2010144",13,435
"2010145",21,623
"2010146",485,910
"2010147",197,1279
"2010148",590,1269
"2010149",1973,1978
"2010150",17,593
"2010151",10,273
"2010152",217,882
"2010153",166,572
"2010154",201,859
"2010155",1554,1091
"2010156",85,1534
"2010157",49,902
"2010158",29,1149
"2010159",78,438
"2010160",8,259
"2010161",20,456
"2010162",133,374
"2010163",386,878
"2010164",16,513
"2010165",801,672
"2010166",236,576
"2010167",1,3
"2010168",7,190
"2010169",28,969
"2010170",349,434
"2010171",39,603
"2010172",77,252
"2010173",1974,790
"2010174",1354,898
"2010175",799,995
"2010176",389,478
"2010177",525,690
"2010178",779,587
"2010179",430,614
"2010180",53,1092
"2010181",229,772
"2010182",1228,1501
"2010183",1017,830
"2010184",104,336
"2010185",249,733
"2010186",41,304
"2010187",22,85
"2010188",196,440
"2010189",526,553
"2010190",219,527
"2010191",128,302
"2010192",52,780
"2010193",19,480
"2010194",337,1229
"2010195",57,765
"2010196",16,134
"2010197",32,1078
"2010198",9,180
"2010199",1702,639
"2010200",1056,1631
"2010201",6,254
"2010202",18,523
"2010203",59,302
"2010204",1118,1301
"2010205",23,792
"2010206",460,1344
"2010207",200,571
"2010208",255,756
"2010209",0,0
"2010210",226,1483
"2010211",394,936
"2010212",100,387
"2010213",1789,671
"2010214",647,664
"2010215",808,872
"2010216",62,798
"2010217",1155,905
"2010218",321,1148
"2010219",90,1316
"2010220",524,322
"2010221",435,946
"2010222",776,1287
"2010223",373,1648
"2010224",585,1048
"2010225",635,1108
"2010226",216,926
"2010227",851,467
"2010228",37,721
"2010229",88,243
"2010230",23,388
"2010231",205,838
"2010232",607,699
"2010233",1228,2204
"2010234",1959,1028
"2010235",21,550
"2010236",34,741
"2010237",27,783
"2010238",19,725
"2010239",35,756
"2010240",38,1022
"2010241",263,648
"2010242",293,391
"2010243",3,252
"2010244",748,972
"2010245",1424,1034
"2010246",1404,1051
"2010247",27,619
"2010248",149,499
"2010249",767,469
"2010250",14,348
"2010251",93,898
"2010252",22,964
"2010253",16,794
"2010254",110,492
"2010255",598,1008
"2010256",525,1235
"2010257",290,1030
"2010258",1526,753
"2010259",35,1160
"2010260",334,432
"2010261",155,428
"2010262",1125,1112
"2010263",1721,871
"2010264",727,853
"2010265",1573,787
"2010266",320,615
"2010267",204,389
"2010268",828,866
"2010269",1076,501
"2010270",1072,1207
"2010271",31,1308
"2010272",314,788
"2010273",1264,484
"2010274",827,638
"2010275",127,598
"2010276",23,1033
"2010277",247,521
"2010278",540,791
"2010279",509,415
"2010280",180,501
"2010281",616,919
"2010282",646,643
"2010283A",380,2417
"2010283B",2,24
"2010284",582,1180
"2010285",101,1207
"2010286",164,1797
"2010287",504,709
"2010288",21,986
"2010289",245,497
"2010290",631,253
"2010291",268,443
"2010292",81,568
"2010293",416,742
"2010294",13,831
"2010295",15,296
"2010296",458,492
"2010297",296,581
"2010298",590,702
"2010299",175,462
"2010300",2643,1081
"2010301",337,616
"2010302",704,728
"2010303",1706,704
"2010304",747,758
"2010305",693,1864
"2010306",834,484
"2010307",1258,752
"2010308",145,518
"2010309",1810,773
"2010310",561,346
"2010311",598,720
"2010312",955,1068
"2010313",11,13
"2010314",1751,1652
"2010315",553,505
"2010316",468,542
"2010317",138,470
"2010318",121,1829
"2010319",71,995
"2010320",229,455
"2010321",263,768
"2010322",144,319
"2010323",324,582
"2010324",1011,826
"2010325",180,712
"2010326",118,229
"2010327",34,695
"2010328",178,401
"2010329",225,553
"2010330",496,709
"2010331",848,709
"2010332",168,1616
"2010333",1379,684
"2010334",60,251
"2010335",148,522
"2010336",304,2731
"2010337",54,394
"2010338",576,1331
"2010339",169,752
"2010340",1661,756
"2010341",127,424
"2010342",76,351
"2010343",194,865
"2010344",24,446
"2010345",134,653
"2010346",0,0
"2010347",976,845
"2010348",636,349
"2010349",386,303
"2010350",547,1323
"2010351",2288,852
"2010352",1498,698
"2010353",334,1699
"2010354",396,1320
"2010355",76,858
"2010356",920,965
"2010357",1528,709
"2010358",109,795
"2010359",113,876
"2010360",877,1502
"2010361",98,1182
"2010362",2034,1061
"2010363",747,1433
"2010364",638,865
"2010365",93,781
"2010366",264,1048
"2010367",124,459
"2010368",119,347
"2010369",47,104
"2010370",1932,983
"2010371",8,209
"2010372",58,555
"2010373",3,56
"2010374",76,213
"2010375",334,656
"2010376",351,602
"2010377",1239,488
"2010378",547,372
"2010379",114,914
"2010380",1428,1731
"2010381",520,985
"2010382",312,225
"2010383",301,722
"2010384",318,1044
"2010385",1074,457
"2010386",1239,564
"2010387",1364,693
"2010388",1438,1858
"2010389",73,701
"2010390",113,809
"2010391",641,568
"2010392",9,643
"2010393",242,337
"2010394",100,206
"2010395",777,486
"2010396",32,993
"2010397",105,214
"2010398",878,1227
"2010399",475,962
"2010400",975,656
"2010401",58,945
"2010402",69,946
"2010403",569,631
"2010404",530,660
"2010405",1064,428
"2010406",5,239
"2010407",1260,1049
"2010408",206,462
"2010409",176,480
"2010410",69,334
"2010411",224,675
"2010412",8,165
"2010413",626,1150
"2010414",1220,488
"2010415",966,560
"2010416",880,1193
"2010417",497,721
"2010418",513,1075
"2010419",764,653
"2010420",2370,584
"2010421",564,784
"2010422",59,1442
"2010423",101,392
"2010424",348,384
"2010425",73,232
"2010426",322,341
"2010427",174,339
"2010428",636,1538
"2010429",293,858
"2010430",117,587
"2010431",320,1264
"2010432",137,414
"2010433",34,166
"2010434",520,552
"2010435",1267,997
"2010436",1250,1318
"2010437",874,555
"2010438",1550,871
"2010439",1453,940
"2010440",1489,601
"2010441",746,372
"2010442",2148,658
"2010443",313,151
"2010444",1097,1049
"2010445",703,572
"2010446",36,78
"2010447",1690,1270
"2010448",1064,1035
"2010449",5,66
"2010450",344,948
"2010451",1390,469
"2010452",1478,946
"2010453",263,738
"2010454",25,998
"2010455",27,594
"2010456",801,763
"2010457",0,0
"2010458",54,977
"2010459",1821,694
"2010460",384,1455
"2010461",1568,1165
"2010462",609,1408
"2010463",626,1300
"2010464",741,607
"2010465",763,1178
"2010466",1113,1277
"2010467",133,490
"2010468",420,1409
"2010469",1297,441
"2010470",467,195
"2010471",978,308
"2010472",252,515
"2010473",750,438
"2010474",1009,661
"2010475",356,557
"2010476",611,725
"2010477",1571,907
"2010478",1406,1091
"2010479",1638,657
"2010480",1130,635
"2010481",1407,614
"2010482",1527,989
"2010483",1189,1431
"2010484",1313,930
"2010485",1423,703
"2010486",1948,736
"2010487",471,1100
"2010488",334,856
"2010489",275,834
"2010490",372,857
"2010491",607,708
"2010492",611,656
"2010493A",590,1102
"2010493B",0,0
"2010494",150,1162
"2010495",1020,626
"2010496",322,820
"2010497",41,941
"2010498",407,853
"2010499",1081,605
"2010500",1285,935
"2010501",516,1045
"2010502",1123,273
"2010503",1154,454
"2010504",923,666
"2010505",867,1393
