CNTYVTD,PatrickR_18G_Lt. Governor,CollierD_18G_Lt. Governor,McKennonL_18G_Lt. Governor
"0190101",810,189,19
"0190102",1286,277,39
"0190203",942,293,35
"0190204",701,222,23
"0190305",1164,225,24
"0190306",774,133,21
"0190407",1151,245,26
"0190408",131,56,2
"0190409",321,99,10
"0190410",290,56,9
"0211001",1134,775,70
"0211002",656,689,46
"0211003",2020,1523,103
"0211004",597,560,34
"0212005",849,691,35
"0212006",562,298,26
"0212007",935,341,32
"0212008",398,201,16
"0212009",422,295,28
"0212010",541,240,32
"0212011",869,589,61
"0213012",395,144,23
"0213013",591,295,27
"0213014",613,570,47
"0213015",466,734,40
"0213016",806,656,51
"0214017",602,835,37
"0214018",255,145,14
"0214019",796,619,61
"0214020",914,1041,61
"0214021",471,264,43
"0230001",278,61,10
"0230002",227,38,2
"0230003",199,51,4
"0230004",284,53,7
"0250001",570,392,16
"0250002",152,13,3
"0250003",409,279,22
"0250004",137,37,1
"0250005",120,49,1
"0250006",368,209,19
"0250008",94,25,2
"0250009",86,225,5
"0250010",184,317,17
"0250011",90,42,5
"0250012",118,52,2
"0250013",416,226,11
"0250014",77,55,1
"0250016",290,198,20
"0250017",254,233,11
"0250018",661,264,33
"0250019",70,151,8
"0270101",2683,985,104
"0270102",1240,503,43
"0270103",1650,798,51
"0270104",3151,1064,106
"0270105",698,155,10
"0270106",704,1317,68
"0270107",185,84,8
"0270108",736,168,16
"0270109",384,559,26
"0270110",186,160,11
"0270111",1682,971,85
"0270113",125,38,2
"0270201",774,702,36
"0270202",1828,1149,90
"0270203",3445,959,104
"0270204",415,533,22
"0270205",684,1235,35
"0270206",327,519,35
"0270207",439,911,49
"0270208",1005,1918,82
"0270209",1737,1908,86
"0270210",1105,1609,75
"0270301",1596,317,45
"0270302",1255,808,45
"0270303",1245,1023,50
"0270304",322,108,5
"0270305",1077,497,36
"0270306",365,510,24
"0270307",296,743,18
"0270308",439,461,31
"0270309",393,72,7
"0270310",267,37,3
"0270311",1359,274,25
"0270312",806,184,13
"0270313",1176,461,37
"0270314",725,541,33
"0270315",2193,1198,97
"0270317",2780,1314,85
"0270401",516,153,16
"0270402",1001,439,22
"0270404A",655,1200,51
"0270404B",0,0,0
"0270405",528,1401,63
"0270406",498,540,22
"0270408",915,1569,52
"0270409",441,446,33
"0270410",259,432,32
"0270412",502,1561,52
"0270413",848,1808,78
"0291001",78,329,2
"0291002",130,218,7
"0291003",152,820,28
"0291004",57,281,4
"0291005",63,223,9
"0291006",182,677,8
"0291007",145,446,5
"0291008",150,851,14
"0291009",301,464,18
"0291010",57,240,11
"0291011",49,131,5
"0291012",263,548,19
"0291013",163,765,19
"0291014",71,375,4
"0291015",98,364,5
"0291016",83,338,6
"0291017",30,51,1
"0291018",192,632,11
"0291019",69,235,2
"0291020",244,706,21
"0291021",156,482,14
"0291022",82,285,4
"0291023",141,692,18
"0291024",526,898,32
"0291025",27,145,4
"0291026",85,360,10
"0291027",47,65,5
"0291028",95,271,10
"0291029",158,578,14
"0291030",7,7,3
"0291031",111,415,10
"0291032",128,656,25
"0291033",225,441,24
"0291034",789,846,59
"0291035",111,93,9
"0291036",588,862,45
"0291037",269,624,14
"0291038",413,821,23
"0291039",181,637,20
"0291040",202,750,18
"0291041",145,556,10
"0291042",85,338,5
"0291043",201,396,7
"0291044",202,670,9
"0291045",290,984,20
"0291046",167,645,8
"0291047",151,469,5
"0291048",212,615,17
