CNTYVTD,CraddickR_18G_RR Comm 1,McAllenD_18G_RR Comm 1,WrightL_18G_RR Comm 1
"0293161",540,740,36
"0293162",295,343,28
"0293163",911,585,49
"0293164",756,388,39
"0293165",1253,838,69
"0293166",136,166,15
"0293167",4,2,0
"0293168",216,248,15
"0293169",49,28,2
"0293170",0,0,0
"0293171",0,1,0
"0293172",100,165,11
"0293173",1128,838,47
"0293174",1664,906,62
"0293175",180,196,13
"0293176",20,17,1
"0293178",0,0,0
"0293179",2,0,0
"0293180",291,335,26
"0293181",814,435,38
"0293182",275,225,15
"0293183",10,1,0
"0293184",57,44,4
"0293185A",73,54,4
"0293185B",17,13,0
"0293186",1,0,0
"0293187",0,0,0
"0293188A",0,0,0
"0293188B",0,0,0
"0293189",284,309,15
"0293190",0,0,0
"0293191",78,47,1
"0293193",72,48,2
"0293194",1362,657,55
"0293195",256,826,41
"0293196",5,3,0
"0293198",207,182,12
"0293199",1085,666,35
"0293201",1537,766,64
"0293202",337,226,15
"0293203",187,100,15
"0293204",0,0,0
"0293205",0,0,0
"0293206",8,53,0
"0293207",1,3,0
"0293208",15,25,1
"0294001",436,826,62
"0294002",51,252,7
"0294003",58,351,12
"0294004",110,280,16
"0294005",117,600,34
"0294006",56,213,9
"0294007",184,163,17
"0294008",203,216,12
"0294009",55,236,9
"0294010",30,330,7
"0294011",47,390,10
"0294012",42,205,7
"0294013",87,278,14
"0294014",33,125,4
"0294015",139,623,24
"0294016",205,792,45
"0294017",225,842,43
"0294018",199,448,30
"0294019",246,678,42
"0294020",176,341,26
"0294021",221,284,20
"0294022",27,28,2
"0294023",389,647,38
"0294024",375,772,39
"0294025",140,340,17
"0294026",325,965,54
"0294027",199,495,26
"0294028",257,829,28
"0294029",121,670,16
"0294030",10,117,4
"0294031",163,493,23
"0294032",255,502,27
"0294033",457,901,23
"0294034",253,476,31
"0294035",5,15,0
"0294036",209,898,42
"0294037",61,497,6
"0294038",737,937,67
"0294039",37,433,7
"0294040",74,398,12
"0294041",91,642,21
"0294042",20,25,2
"0294043",497,815,51
"0294044",211,354,23
"0294045",410,644,47
"0294046",825,593,32
"0294047",377,665,28
"0294048",137,539,13
"0294049",306,597,35
"0294050",528,341,39
"0294051",658,438,40
"0294052",615,509,34
"0294053",352,518,30
"0294054",810,951,74
"0294055",430,300,30
"0294056",749,698,50
"0294057",730,342,31
"0294058",602,335,33
"0294059",540,553,42
"0294060",364,498,27
"0294061",272,541,33
"0294062",86,193,12
"0294063",123,218,11
"0294064",514,544,24
"0294065",382,1044,65
"0294066",501,911,63
"0294067",325,375,18
"0294068",70,133,10
"0294069",378,193,18
"0294070",385,1042,47
"0294071",752,129,20
"0294072",1173,407,34
"0294073",373,313,39
"0294074",449,393,29
"0294075",56,226,10
"0294076",329,768,41
"0294077",441,769,48
"0294078",540,142,11
"0294079",422,295,29
"0294080",292,556,34
"0294081",109,69,13
"0294082",86,511,14
"0294083",142,183,12
"0294084",40,129,6
"0294085",10,0,0
"0294086",136,73,9
"0294087",397,611,24
"0294088",528,1014,48
"0294089",640,705,44
"0294090",461,490,44
"0294091",182,321,27
"0294092",515,380,19
"0294093",540,601,42
"0294094",462,438,26
"0294095",428,410,24
"0294096",381,597,33
"0294097",393,406,31
