CNTYVTD,CraddickR_18G_RR Comm 1,McAllenD_18G_RR Comm 1,WrightL_18G_RR Comm 1
"2010545",1082,1285,46
"2010546",1375,269,23
"2010547",927,481,38
"2010548",465,670,29
"2010549",140,1087,19
"2010550",499,789,30
"2010551",2315,817,47
"2010552",2004,541,49
"2010553",435,859,22
"2010554",158,565,14
"2010555",136,651,12
"2010556",217,758,4
"2010557",378,809,18
"2010558",648,1555,43
"2010559",474,1751,42
"2010560",81,346,5
"2010561",825,536,27
"2010562",32,231,8
"2010563",1639,543,36
"2010564",377,1468,51
"2010565",70,294,11
"2010566",330,1016,36
"2010567",325,806,21
"2010568",1387,863,58
"2010569",1107,1415,64
"2010570",265,654,30
"2010571",183,469,10
"2010572",670,1049,49
"2010573",12,586,9
"2010574",18,118,2
"2010575",1055,1046,45
"2010576",71,1155,19
"2010577",656,496,27
"2010578",820,507,42
"2010579",73,338,7
"2010580",14,361,4
"2010581",11,454,2
"2010582",44,553,8
"2010583",19,446,5
"2010584",27,354,10
"2010585",51,770,9
"2010586",1087,963,49
"2010587",397,1026,28
"2010588",1397,851,38
"2010589",760,1059,43
"2010590",1095,345,38
"2010591",208,660,9
"2010592",140,526,16
"2010593",859,1275,40
"2010594",359,1002,29
"2010595",93,613,15
"2010596",637,847,35
"2010597",511,997,21
"2010598",786,1864,68
"2010599",509,1083,33
"2010600",633,1442,29
"2010601",1827,801,46
"2010602",553,288,14
"2010603",1357,1245,60
"2010604",1628,307,38
"2010605",402,1516,38
"2010606",4,332,3
"2010607",26,205,5
"2010608",56,128,3
"2010609",1379,1070,48
"2010610",365,625,19
"2010611",38,932,13
"2010612",1583,542,62
"2010613",186,941,21
"2010614",634,1542,37
"2010615",603,627,22
"2010616",1350,855,60
"2010617",574,1439,43
"2010618",716,1176,47
"2010619",2160,954,87
"2010620",943,921,38
"2010621",250,395,16
"2010622",1284,1207,53
"2010623",1223,860,30
"2010624",317,107,11
"2010625",613,538,25
"2010626",1366,1276,84
"2010627",349,993,27
"2010628",377,733,19
"2010629",21,161,2
"2010630",232,2784,47
"2010631",1072,597,32
"2010632",1,2,0
"2010633",1677,890,50
"2010634",845,750,34
"2010635",1337,516,56
"2010636",2571,317,45
"2010637",309,1009,31
"2010638",75,855,14
"2010639",1075,332,26
"2010640",992,983,39
"2010641",1110,879,42
"2010642",890,284,21
"2010643",903,1221,53
"2010644",1301,1128,49
"2010645",899,1635,57
"2010646",303,815,19
"2010647",483,1140,18
"2010648",1376,695,44
"2010649",531,1529,38
"2010650",1673,857,46
"2010651",983,1069,43
"2010652",242,1287,19
"2010653",45,183,5
"2010654",1433,1434,58
"2010655",1156,1157,58
"2010656",54,1132,11
"2010657",246,534,15
"2010658",878,642,50
"2010659",2089,997,51
"2010660",162,1545,20
"2010661",1111,1276,47
"2010662",1954,522,51
"2010663",753,794,53
"2010664",208,905,20
"2010665",1170,329,24
"2010666",0,0,0
"2010667",956,386,33
"2010668",1192,914,54
"2010669",1500,725,29
"2010670",1696,440,40
"2010671",855,846,40
"2010672",1160,667,41
"2010673",1382,354,31
"2010674",1842,782,62
"2010675",1,0,0
"2010676",462,876,27
"2010677",131,439,13
"2010678",108,1100,15
"2010679",1307,661,28
"2010680",37,71,7
"2010681",16,37,7
"2010682",1656,686,41
"2010683",27,101,2
"2010684",1093,866,40
"2010685",55,44,3
"2010686",18,55,2
"2010687",1098,645,29
"2010688",2047,572,58
"2010689",493,769,28
"2010690",1640,613,40
"2010691",1821,599,49
"2010692",1137,494,52
"2010693",82,287,6
"2010694",396,756,21
"2010695",420,328,18
"2010696",517,362,32
"2010697",379,1153,25
"2010698",162,1328,17
"2010699",921,552,34
"2010700",685,137,10
"2010701",90,165,4
"2010702",28,173,3
"2010703",872,346,34
"2010704",1494,357,32
"2010705",41,302,6
"2010706",541,871,25
"2010707",261,177,11
"2010708",60,141,2
"2010709",1163,1270,52
"2010710",721,663,43
"2010711",1164,1255,35
"2010712",639,1424,38
"2010713",428,571,32
"2010714",49,73,1
"2010715",287,403,12
"2010716",900,401,30
"2010717",129,898,11
"2010718",1872,1111,51
"2010719",335,351,9
"2010720",1738,973,62
"2010721",1096,671,54
"2010722",145,1960,32
"2010723",186,798,20
"2010724",360,215,10
"2010725",403,638,16
"2010726",1205,185,26
"2010727",302,848,19
"2010728",287,228,13
"2010729",129,130,2
"2010730",960,597,35
"2010731A",590,931,27
"2010731B",287,457,12
"2010732",649,480,28
"2010733",21,69,0
"2010734",1672,1017,58
"2010735",143,124,4
"2010736",0,11,1
"2010737",16,11,0
"2010738",93,394,3
"2010739",460,624,25
"2010740",171,162,2
"2010741",246,776,7
"2010742",1081,765,29
"2010743",27,48,1
"2010744",708,554,34
"2010745",847,607,52
"2010746",137,193,13
"2010747",787,1319,54
"2010748",275,358,29
"2010749",25,96,2
"2010750",182,159,7
"2010751",2062,1529,78
"2010752",476,245,21
"2010753",98,166,5
"2010754",24,391,5
"2010755",822,1563,49
"2010756",251,578,11
"2010757",318,1891,41
"2010758",1920,626,57
"2010759",826,717,39
"2010760A",0,0,0
"2010760B",1094,254,24
"2010761",820,328,26
"2010762",591,779,25
"2010763",138,411,6
"2010764A",592,483,24
"2010764B",876,717,31
"2010765",671,1743,43
"2010766",37,139,2
"2010767",16,23,0
"2010768",1201,396,40
"2010769",9,66,2
"2010770",44,77,0
"2010771",238,357,13
"2010772",2123,846,68
"2010773",590,1466,23
"2010774",32,126,5
"2010775",6,29,0
"2010776",880,764,38
"2010777",61,149,6
"2010778",0,0,0
"2010779",70,245,1
"2010780",82,156,1
"2010781",508,1036,30
"2010782",716,519,32
"2010783",19,269,3
"2010784",11,416,2
"2010785",890,1052,45
"2010786",124,355,8
"2010787",55,169,5
"2010788",2,1,0
"2010789",864,702,36
"2010790",415,960,27
"2010791",2,11,0
"2010792",194,647,9
"2010793",563,559,12
"2010794A",56,580,18
"2010794B",0,0,0
"2010795",135,393,7
"2010796",570,1004,27
"2010797",0,0,0
"2010798",125,210,3
"2010799",11,64,0
"2010800",1292,915,53
"2010801",40,86,3
"2010802",4,13,0
"2010803",1866,944,64
"2010804",1538,1705,60
"2010805",1387,418,51
"2010806",784,532,39
"2010807",139,733,16
"2010808",60,175,18
"2010809",19,9,0
"2010810",9,44,0
"2010811",30,108,1
"2010812",0,0,0
"2010813",741,1265,36
"2010814",442,1809,26
"2010815",0,0,0
"2010816",5,16,0
"2010817",2029,984,45
"2010818",51,200,4
"2010819",48,43,0
"2010820",0,0,0
"2010821",55,325,9
"2010822",30,585,7
"2010823",749,761,37
"2010824",236,998,25
"2010825",4,6,1
"2010826",117,125,0
"2010827",92,243,11
"2010828",997,279,24
"2010829",21,44,1
"2010830",0,0,0
"2010831",3,7,0
"2010832",30,109,2
"2010833",1,5,0
"2010834",16,122,1
"2010835",31,81,2
"2010836",11,125,1
"2010837",0,3,0
"2010838",0,0,0
"2010839",97,376,4
"2010840",295,600,15
"2010841",372,1298,29
"2010842",559,971,28
"2010843",131,635,5
"2010844",0,5,0
"2010845",83,52,3
"2010846",8,72,0
"2010847",244,909,16
"2010848",299,764,14
"2010849",303,794,14
"2010850",42,85,1
"2010851",1365,800,61
"2010852",0,0,0
"2010853",1367,497,34
"2010854",7,56,1
"2010855",4,1,0
"2010856",0,0,0
"2010857",0,0,0
"2010858",4,134,0
"2010859",95,347,11
"2010860",0,0,0
"2010861",138,765,10
"2010862A",1091,804,33
"2010862B",69,51,2
"2010862C",96,70,3
"2010862D",0,0,0
"2010863",15,172,2
"2010864",215,781,19
"2010865",0,9,0
"2010866",0,0,0
"2010867",0,0,0
"2010868",248,739,19
"2010869",31,132,2
"2010870",0,0,0
"2010871",0,3,1
"2010872",6,7,0
"2010873",86,277,5
"2010874",1442,603,49
"2010875",983,1235,44
"2010876",1637,830,47
"2010877",744,1463,50
"2010878",640,208,14
"2010879",536,829,29
"2010880",1197,486,29
"2010881",784,2563,56
"2010882",631,1686,38
"2010883",348,2175,38
"2010884",21,145,2
"2010885",886,803,28
"2010886",248,244,14
"2010887",130,168,13
"2010888",311,733,28
"2010889",37,111,6
"2010890",294,487,24
"2010891",349,491,16
"2010892",162,464,29
"2010893",0,1,0
"2010894",134,895,15
"2010895",280,343,9
"2010896",437,765,30
"2010897",495,583,29
"2010898",324,663,29
"2010899",477,354,11
"2010900",1,6,0
"2010901",0,0,0
"2010902",889,869,68
"2010903",1195,449,27
"2010904",0,0,0
"2010905",157,258,5
"2010906",13,6,1
"2010907",2,67,0
"2010908",0,2,0
"2010909",1,8,0
"2010910",20,49,1
"2010911",176,117,9
"2010912",455,307,20
"2010913",24,111,1
"2010914",8,25,1
"2010915",0,0,0
"2010916",1347,486,54
"2010917",3,20,1
"2010918",1,1,0
"2010919",0,0,0
"2010920",25,20,3
"2010921",2,24,0
"2010922",0,0,0
"2010923",1765,664,30
"2010924",0,0,0
"2010925",0,0,0
"2010926",441,220,13
"2010927",593,582,46
"2010928",0,3,0
"2010929",0,0,0
"2010930",14,168,1
"2010931",46,35,1
"2010932",0,0,0
"2010933",89,288,9
"2010934",3,5,0
"2010935",6,10,0
"2010936",8,12,1
"2010937",0,0,0
"2010938",26,79,0
"2010939",0,1,0
"2010940",0,10,0
"2010941",146,213,11
"2010942",75,41,6
"2010943",55,152,5
"2010944",0,1,0
"2010945",1,8,0
"2010946",2,4,0
"2010947",272,304,23
"2010948",0,0,0
"2010949",66,65,5
"2010950A",0,0,0
"2010950B",0,0,0
"2010951",23,118,2
"2010952",27,21,2
"2010953",0,2,0
"2010954",0,0,0
"2010955",2837,1381,69
"2010956",0,0,0
"2010957",37,261,4
"2010958",86,442,10
"2010959",0,0,0
"2010960",182,769,16
"2010961",142,789,13
"2010962",7,38,1
"2010963",119,207,8
"2010964",1390,1199,46
"2010965",81,29,2
"2010966",114,357,8
"2010967",14,61,1
"2010968",123,580,9
"2010969",7,315,2
"2010970",28,202,1
"2010971",0,0,0
"2010972",0,0,0
"2010973",383,266,22
"2010974",0,0,0
"2010975",56,64,2
"2010976",122,152,6
"2010977",82,154,2
"2010978",0,0,0
"2010979",0,0,0
"2010980",635,279,19
"2010981",0,15,0
"2010982",2038,803,81
"2010983",41,65,1
"2010984",10,86,0
"2010985",104,112,1
"2010986",25,138,1
"2010987",41,475,5
"2010988",55,9,2
"2010989",0,0,0
"2010990",7,5,0
"2010991",0,0,0
"2010992",224,300,9
"2010993",0,0,0
"2010994",23,66,5
"2010995",91,825,8
"2010996",219,173,10
"2010997",68,503,12
"2010998",19,14,2
"2010999",0,0,0
"2011000",22,120,3
"2011001",144,519,9
"2011002",80,466,12
"2011003",0,0,0
"2011004",188,239,14
"2011005",0,0,0
"2011006",0,0,0
"2011007",186,716,14
"2011008",507,143,13
"2011009",0,0,0
"2011010",63,398,7
"2011011",7,8,1
"2011012",196,556,9
"2030001",827,350,26
"2030002",276,496,11
"2030003",68,729,18
"2030004",515,312,22
"2030005",419,103,11
"2030006",616,138,16
"2030007",387,154,11
"2030008",1122,352,37
"2030009",516,234,19
"2030010",467,115,11
"2030011",177,94,6
"2030012",2230,315,62
"2030013",746,77,23
"2030014",595,157,16
"2030015",559,57,17
"2030016",270,54,8
"2030017",403,388,16
"2030018",395,69,4
"2030019",1408,295,40
"2030020",973,263,25
"2030021",277,123,3
"2030022",333,444,29
"2030023",299,14,6
"2030024",252,54,10
"2030025",1679,259,53
"2030026",259,44,2
"2050101",162,15,2
"2050102",95,5,4
"2050201",136,9,2
"2050202",273,23,3
"2050301",425,31,11
"2050401",336,41,8
"2070001",159,39,5
"2070002",256,55,4
"2070003",214,56,11
"2070004",99,29,3
"2070005",149,36,6
"2070006",145,18,2
"2070007",44,5,0
"2070008",51,19,1
"2070009",104,20,3
"2070010",71,14,1
"2090110",440,569,39
"2090111",50,136,10
"2090112",236,802,65
"2090113",543,1555,97
"2090120",539,2085,117
"2090125",477,854,77
"2090127",1198,1581,126
"2090129",901,1617,126
"2090221",1188,1378,139
"2090223",487,727,51
"2090224",2220,2018,182
"2090225",604,386,26
"2090226",948,824,85
"2090228",1602,2789,201
"2090229",231,542,31
"2090230",449,384,39
"2090232",780,453,57
"2090234",182,281,20
"2090236",504,290,37
"2090238",12,15,2
"2090301",0,0,0
"2090315",1233,867,66
"2090316",391,425,37
"2090317",52,187,13
"2090318",19,45,3
"2090330",259,667,54
"2090332",613,1450,127
"2090333",1588,1118,111
"2090334",364,1429,61
"2090335",1291,862,118
"2090336",921,1510,158
"2090337",2007,1294,140
"2090339",523,237,29
"2090413",106,491,18
"2090414",139,593,46
"2090415",225,939,58
"2090416",16,25,7
"2090417",506,509,44
"2090418",1,1,0
"2090419",513,513,48
"2090420",291,239,15
"2090421A",14,10,0
"2090421B",6,4,0
"2090440",845,502,63
"2090441A",1198,697,126
"2090441B",2,1,0
"2090442",908,927,90
"2090443",2107,1528,159
"2090444",2396,1645,170
"2090447",622,654,64
"2090449",1556,884,98
"2110101",222,36,6
"2110201",235,27,7
"2110202",16,0,2
"2110301",345,31,8
"2110302",27,2,1
"2110303",67,8,2
"2110401",187,16,6
"2110402",67,12,1
"2130002",281,58,12
"2130003",171,357,13
"2130004",1402,359,34
"213001A",683,140,18
"213001M",725,256,19
"213001T",700,164,12
"213002E",920,159,35
"213003B",1252,179,34
"213003C",1982,356,38
"213003M",620,116,12
"213003N",840,141,15
"213004A",224,123,10
"213004W",502,84,8
"21301CR",1185,171,30
"21301MN",539,146,18
"21301TC",1109,243,29
"21303WS",635,104,23
"21304BV",389,78,8
"21304CC",675,200,16
"21304MS",110,138,9
"21304PF",234,46,5
"21304SE",1508,300,36
"2132GBN",1257,288,32
"2132GBS",780,175,24
"2132PSN",1214,281,35
"2132PSS",649,103,11
"2134NYL",499,57,4
"2150001",43,183,10
"2150002",262,455,22
"2150003",78,341,9
"2150004",426,1315,42
"2150005",120,634,15
"2150006",360,468,22
"2150007",515,849,35
"2150008",368,394,16
"2150009",486,864,33
"2150010",223,622,27
"2150011",110,812,15
"2150012",46,89,0
"2150013",562,1120,47
"2150014",153,437,11
"2150015",76,146,6
"2150016",139,1131,13
"2150017",147,687,15
"2150018",31,62,5
"2150019",43,56,3
"2150020",58,307,9
"2150021",41,110,2
"2150022",45,193,16
"2150023",210,573,18
"2150024",46,18,0
"2150025",368,646,34
"2150026",53,257,7
"2150027",58,253,4
"2150028",246,601,28
"2150029",143,193,7
"2150030",396,1134,46
"2150031",210,428,13
"2150032",246,680,23
"2150033",149,571,18
"2150034",104,290,8
"2150035",280,950,22
"2150036",332,1043,25
"2150037",110,270,5
"2150038",592,819,34
"2150039",124,528,18
"2150040",120,589,11
"2150041",178,773,30
"2150042",330,854,42
"2150043",366,1142,38
"2150044",54,283,6
"2150045",259,429,12
"2150046",31,81,3
"2150047",133,395,10
"2150048",217,823,26
"2150049",243,706,13
"2150050",187,757,24
"2150051",91,921,20
"2150052",763,1264,56
"2150053",654,1646,60
"2150054",326,411,7
"2150055",213,737,19
"2150056",269,788,26
"2150057",68,211,6
"2150058",338,793,27
"2150059",143,536,20
"2150060",298,697,24
"2150061",167,551,17
"2150062",806,857,31
"2150063",61,161,5
"2150064",88,521,14
"2150065",116,257,8
"2150066",140,353,11
"2150067",344,623,18
"2150068",332,831,27
"2150069",310,772,34
"2150070",136,395,9
"2150071A",8,38,0
"2150071B",3,14,0
"2150072",180,383,20
"2150073",749,701,23
"2150074",132,206,6
"2150075",17,15,1
"2150076",12,2,0
"2150077",183,482,11
"2150078",157,607,13
"2150079",82,350,8
"2150080",55,330,5
"2150081",759,1357,50
"2150082",0,3,0
"2150083",810,887,32
"2150084",112,262,8
"2150085",297,910,37
"2150086",109,171,3
"2150087",269,809,28
"2150088",284,1035,29
"2150089",1,4,0
"2150090",250,1563,23
"2150091",96,233,7
"2150092",16,67,3
"2150093",42,40,2
"2150094",164,499,13
"2150095",201,953,14
"2150096",581,793,42
"2150097A",238,603,23
"2150097B",15,38,2
"2150098",352,1014,37
"2150099",343,1229,28
"2150100",227,911,22
"2150101",280,236,11
"2150102",287,237,14
"2150103",612,759,27
"2150104",224,639,26
"2150105",399,929,25
"2150106",864,1501,68
"2150107",296,747,32
"2150108",173,746,16
"2150109",264,915,43
"2150110",89,265,8
"2150111",367,680,25
"2150112",106,458,25
"2150113",517,997,37
"2150114",771,927,52
"2150115",291,813,30
"2150116",197,461,14
"2150117",249,1031,31
"2150118",230,507,12
"2150119",92,329,3
"2150120",211,645,15
"2150121",23,47,1
"2150122",197,901,20
"2150123",120,286,8
"2150124",277,397,24
"2150125",86,238,6
"2150126",216,439,7
"2150127",77,302,7
"2150128",153,621,11
"2150129",44,42,0
"2150130",183,230,8
"2150131",0,8,2
"2150132",62,258,10
"2150133",12,20,0
"2150134",556,550,24
"2150135",284,451,18
"2150136",276,497,25
"2150137",8,9,1
"2150138",20,119,5
"2150139",45,112,6
"2150140",1,5,0
"2150141",12,30,0
"2150142",4,7,0
"2150143",0,2,0
"2150144",5,7,0
"2150145",59,297,7
"2150146",75,466,4
"2150147",15,28,2
"2150148",4,19,2
"2150149",6,28,0
"2150150",139,273,8
"2150151",25,128,4
"2150152",344,581,32
"2150153",17,89,2
"2150154",230,638,29
"2150155",78,153,6
"2150156",154,592,19
"2150157",116,336,8
"2150158",354,828,30
"2150159",22,117,4
"2150160",66,85,9
"2150161",247,557,18
"2150162",15,28,0
"2150163",11,43,2
"2150164",373,469,21
"2150165",156,193,6
"2150166",85,123,4
"2150167",148,135,11
"2150168",84,100,6
"2150169",66,160,5
"2150170",36,227,1
"2150171",0,11,0
"2150172",8,8,0
"2150173",207,301,18
"2150174",63,276,7
"2150175",134,345,21
"2150176",110,307,10
"2150177A",41,136,3
"2150177B",10,32,1
"2150178",10,6,0
"2150179",27,94,1
"2150180",12,45,5
"2150181",325,159,10
"2150182",35,185,4
"2150183",49,135,6
"2150184",12,5,0
"2150185",0,0,0
"2150186",11,65,2
"2150187",276,629,18
"2150188",391,466,18
"2150189",76,291,11
"2150190",65,103,4
"2150191",54,114,4
"2150192",39,94,5
"2150193",38,109,4
"2150194A",252,383,14
"2150194B",30,44,3
"2150194C",13,19,1
"2150194D",22,33,1
"2150195",204,180,6
"2150196",177,220,6
"2150197",25,188,6
"2150198A",18,60,3
"2150198B",11,39,1
"2150198C",9,33,1
"2150198D",13,45,2
"2150198E",6,21,1
"2150198F",0,0,0
"2150199",469,714,22
"2150200",441,713,26
"2150201",245,335,12
"2150202",232,186,7
"2150203",545,959,33
"2150204",88,141,8
"2150205",16,53,3
"2150206",137,356,8
"2150207",482,700,30
"2150209",61,171,6
"2150210",23,105,4
"2150211",117,325,10
"2150212",94,95,5
"2150213",21,54,1
"2150215",134,264,12
"2150216",171,511,13
"2150217",12,46,3
"2150218",64,203,7
"2150219",82,271,16
"2150220",77,156,7
"2150221",160,362,17
"2150222",5,2,0
"2150223",86,101,6
"2150224",75,51,2
"2150225",20,87,7
"2150226",6,13,0
"2150227",153,797,20
"2150228",449,1844,56
"2150229",83,245,11
"2150230",105,150,8
"2150231",53,75,3
"2150232",95,271,13
"2150233",0,1,0
"2150234",205,861,16
"2150235",69,72,3
"2150236",150,146,6
"2150237",56,279,5
"2150238",21,25,0
"2150239",303,539,18
"2150240",99,217,8
"2150241",21,68,6
"2150242",6,7,0
"2150243",14,22,0
"2150244",96,181,6
"2150245A",17,54,3
"2150245B",2,9,1
"2150246",1,1,0
"2150247",22,41,1
"2150248",3,10,0
"2150249",54,99,4
"2150250",2,37,2
"2150251",1,5,0
"2150252",6,2,0
"2150253",49,115,2
"2150254",14,37,2
"2150255",34,62,2
"2150256",9,82,0
"2150257",25,177,2
"2170002",383,128,24
"2170003",245,261,22
"2170004",912,286,20
"2170005",245,39,6
"2170006",171,33,2
"2170007",273,46,7
"2170008",110,18,4
"2170009",162,39,5
"2170010",710,217,18
"2170012",360,57,3
"2170013",1152,190,28
"2170014",535,57,19
"2170015",167,29,8
"2170016",143,35,6
"2170018",87,10,1
"2170019",167,30,6
"2170020",448,66,12
"2170021",910,175,21
"2170022",727,143,24
"2170023",193,66,10
"2170024",481,152,14
"2170027",310,67,9
"2190011",350,47,8
"2190014",347,47,9
"2190015",196,16,6
"2190016",910,135,24
"2190021",690,167,23
"2190024",335,47,9
"2190032",548,164,21
"2190033",52,3,1
"2190035",57,24,2
"2190036",75,54,6
"2190043",173,15,1
"2190044",300,89,10
"2190045A",382,107,7
"2190045B",179,50,6
"2190046",255,50,10
"2210001",553,109,20
"2210002",1627,332,57
"2210003",1358,274,34
"2210004",1132,233,24
"2210005",1252,223,35
"2210007",560,89,11
"2210008",1303,261,48
"2210009",2041,382,70
"2210010",2399,450,87
"2210011",833,154,25
"2210012",767,158,17
"2210013",1574,314,45
"2210014",1625,348,50
"2210015",220,43,7
"2210016",2846,499,92
"2230001",919,244,19
"2230002",514,206,7
"2230003",641,232,22
"2230004",605,102,11
"2230005",233,29,6
"2230008",129,23,4
"2230011",334,79,6
"2230012",155,18,4
"2230013",363,86,9
"2230014",455,75,8
"2230016",536,76,5
"2230017",522,114,14
"223001A",759,162,12
"2230020",285,42,5
"2230023",129,20,4
"2230024",348,40,17
"2230025",174,24,3
"223002A",306,270,10
"2230036",440,49,6
"223003A",668,166,10
"223004A",740,199,10
"2250001",371,201,14
"2250002",557,218,8
"2250003",233,407,10
"2250004",689,228,11
"2250005",532,93,6
"2250006",433,144,3
"2250007",475,51,11
"2250008",193,38,5
"2250009",238,21,3
"2250010",151,27,4
"2250011",68,15,3
"2250012",75,11,1
"2250014",226,31,3
"2250015",126,31,1
"2250016",155,8,3
"2250017",169,10,3
"2250018",62,31,1
"2250019",265,71,7
"2250020",129,10,1
"2250021",156,37,3
"2250022",124,33,3
"2270011",232,190,11
"2270012",97,80,5
"2270013",78,62,7
"2270014",33,26,3
"2270016",20,18,1
"2270024",186,34,7
"2270025",518,92,20
"2270026",300,49,4
"2270032",41,11,0
"2270033",531,161,28
"2270034",482,140,17
"2270035",129,38,7
"2270037",0,0,0
"2270042",229,65,4
"2270045",246,75,11
"2270046",269,84,13
"2270103",36,28,5
"2270104",15,10,0
"2270105",0,0,0
"227012A",21,15,0
"2270205",558,100,21
"2270207",450,52,14
"2270208",77,5,0
"2270209",0,0,0
"2270304",180,51,5
"2270404",192,61,10
"2270405",80,18,3
"2270408",22,0,0
"2270409",251,18,9
"227207C",291,30,5
"2290001",130,89,19
"2290002",95,122,14
"2290004",86,54,3
"229003N",58,33,5
"229003S",53,50,3
"2310101",483,62,17
"2310102",553,93,17
"2310103",345,45,16
"2310104",458,77,11
"2310105",228,109,14
"2310106",528,279,20
"2310107",1058,373,56
"2310108",454,243,32
"2310109",557,101,15
"2310210",287,83,7
"2310211",295,70,3
"2310212",435,169,16
"2310213",451,48,17
"2310214",1268,224,44
"2310215",2289,469,73
"2310216",974,189,36
"2310217",755,134,31
"2310318",342,41,13
"2310319",781,109,27
"2310320",833,176,27
"2310321",549,108,16
"2310322",355,85,14
"2310323",1257,202,47
"2310324",972,202,40
"2310325",1228,274,47
"2310426",193,64,9
"2310427",628,617,49
"2310428",593,408,43
"2310429",193,58,5
"2310430",192,73,16
"2310431",189,72,7
"2310432",346,30,10
"2310433",218,579,22
"2310434",635,92,13
"2330011",891,80,25
"2330014",997,128,18
"2330021",1629,136,42
"2330023",142,19,10
"2330031",762,66,10
"2330033",669,72,20
"2330041",39,3,2
"2330042",606,185,25
"2350100",155,21,6
"2350200",144,21,10
"2350300",121,15,6
"2350400",188,27,5
"2370001",498,59,7
"2370002",521,57,7
"2370003",89,9,2
"2370004",425,42,8
"2370005",370,30,8
"2370006",564,74,9
"2390001",733,257,13
"2390002",912,140,12
"2390003",967,152,13
"2390004",156,26,4
"2390005",276,38,5
"2390006",217,70,7
"2390007",58,11,3
"2390008",242,37,8
"2390009",303,41,3
"2410001",22,9,2
"2410002",379,28,7
"2410003",476,84,10
"2410004",361,50,6
"2410005",81,12,3
"2410006",390,184,5
"2410007",199,142,4
"2410008",247,201,4
"2410009",894,107,20
"2410010",785,81,22
"2410011",241,25,6
"2410012",255,49,5
"2410013",224,57,0
"2410014",956,223,22
"2410015",1201,123,26
"2410016",120,8,5
"2410017",671,54,17
"2410019",977,223,19
"2410020",271,287,12
"2410021",512,261,16
"2430001",206,131,25
"2430002",115,88,14
"2430003",168,93,13
"2430004",77,34,5
"2430005",96,56,13
"2450001",66,715,8
"2450002",97,378,12
"2450003",47,812,7
"2450004",609,304,30
"2450005",382,429,16
"2450006",175,428,17
"2450007",294,406,29
"2450008",11,296,4
"2450009",1899,364,45
"2450010",41,207,7
"2450011",38,137,2
"2450012",8,221,2
"2450013",4,172,0
"2450014",31,564,11
"2450015",40,483,3
"2450016",19,141,3
"2450017",582,755,30
"2450018",13,690,5
"2450019",37,588,4
"2450020",41,425,10
"2450021",77,57,1
"2450022",801,1265,40
"2450023",302,933,13
"2450024",226,67,4
"2450025",898,251,25
"2450026",878,581,22
"2450027",344,374,18
"2450028",149,303,6
"2450029",853,105,15
"2450030",573,75,10
"2450031",624,82,18
"2450032",96,34,2
"2450033",709,360,24
"2450034",28,837,11
"2450035",403,75,5
"2450036",632,151,34
"2450037",1032,282,35
"2450038",1041,183,22
"2450039",20,936,7
"2450040",1278,257,39
"2450041",61,21,3
"2450042",1084,244,29
"2450043",922,254,17
"2450044",148,195,10
"2450045",126,334,8
"2450046",125,337,11
"2450047",144,432,7
"2450048",47,300,4
"2450049",26,137,1
"2450050",111,820,16
"2450051",10,137,3
"2450052",4,219,2
"2450053",38,564,5
"2450054",10,209,2
"2450055",6,158,2
"2450056",1460,325,40
"2450057",8,319,6
"2450058",24,11,0
"2450059",10,450,4
"2450060",1210,349,34
"2450061",434,346,18
"2450062",1059,453,47
"2450063",27,619,5
"2450064",85,347,7
"2450065",880,285,29
"2450066",607,167,26
"2450067",110,965,7
"2450068",707,554,31
"2450069",1200,398,52
"2450070",380,626,10
"2450071",39,13,1
"2450072",480,718,20
"2450073",1068,425,37
"2450074",1359,235,31
"2450075",51,333,6
"2450076",50,287,5
"2450077",28,573,9
"2450078",340,630,19
"2450079",752,447,28
"2450080",117,24,2
"2450081",11,324,1
"2450082",381,657,13
"2450083",540,132,9
"2450084",21,547,5
"2450085",77,673,3
"2450086",351,294,12
"2450087",66,459,9
"2450088",171,349,14
"2450089",49,145,5
"2450090",14,18,0
"2450091",355,44,12
"2450092",450,237,11
"2450093",52,255,5
"2450094",928,357,25
"2450095",183,101,5
"2450096",33,169,3
"2450097",0,0,0
"2450098",114,77,11
"2450099",85,217,5
"2450100",991,655,23
"2450101",1,0,0
"2450102",62,17,2
"2450103",16,3,0
"2450104",42,8,0
"2450105",15,57,3
"2450106",9,7,0
"2450107",1,0,0
"2450108",235,39,4
"2450109",94,25,2
"2470001",47,253,10
"2470002",112,267,9
"2470003",87,214,10
"2470004",67,295,10
"2470005",3,6,0
"2490001",50,121,5
"2490002",175,59,9
"2490003",484,137,12
"2490004",190,291,14
"2490005",27,82,3
"2490006",111,265,16
"2490007",655,486,26
"2490008",954,302,31
"2490009",69,150,3
"2490010",150,591,20
"2490011",94,185,12
"2490012",269,460,23
"2490013",31,131,5
"2490014",60,43,1
"2490015",235,347,13
"2490016",57,236,5
"2490017",229,419,19
"2490018",64,84,3
"2490019",117,29,5
"2490020",42,223,3
"2490022",140,416,14
"2510001",419,77,13
"2510002",2022,480,74
"2510003",1762,524,59
"2510004",2530,824,137
"2510005",1824,442,73
"2510006",262,41,9
"2510007",2943,716,105
"2510008",2076,1043,121
"2510009",531,78,13
"2510010",1266,382,72
"2510011",1838,355,57
"2510012",1316,263,48
"2510013",862,190,52
"2510014",222,35,8
"2510015",748,144,29
"2510016",260,69,15
"2510017",1050,400,50
"2510018",1462,462,53
