CNTYVTD,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"0291082",722,1314,86
"0291083",589,831,71
"0291084",238,472,26
"0291085",177,435,23
"0291086",365,685,35
"0291087",162,398,15
"0291088",70,264,6
"0291089",287,342,31
"0291090",0,0,0
"0291091",279,639,39
"0291092",77,233,6
"0291093",183,233,31
"0291094",233,494,35
"0291095",30,45,9
"0291096",2,7,0
"0291097",82,225,11
"0291098",54,258,15
"0291099",841,1489,77
"0291100",481,790,42
"0291101",0,0,0
"0291102",216,173,34
"0291103",122,100,12
"0291104",646,915,72
"0291105",83,141,14
"0291106",0,0,0
"0291107",454,617,37
"0291108",1337,1468,138
"0291109",2,1,0
"0291110",848,1267,82
"0291111",1010,1350,102
"0291112",539,1189,76
"0291113",544,794,52
"0291114",0,0,0
"0291115",41,44,5
"0291116",287,276,21
"0291117",54,95,5
"0291118",591,609,54
"0291119",11,34,1
"0291120",7,30,1
"0291121",1174,1338,134
"0291122A",1040,1139,73
"0291122B",11,12,1
"0291122C",19,21,1
"0291123",115,126,7
"0291124",97,188,11
"0291125A",469,507,45
"0291125B",0,0,0
"0291125C",9,10,0
"0291126",0,0,0
"0291127",49,164,5
"0291128",202,326,30
"0291129",100,138,12
"0291130",0,0,0
"0291131",0,0,0
"0291132",0,2,0
"0291133",1,0,0
"0291134",0,0,0
"0291135",0,0,0
"0291136",62,72,2
"0291137",0,0,0
"0291138",59,147,12
"0291139",135,294,19
"0291140",204,328,23
"0291141",315,453,47
"0291142",233,520,34
"0291143",673,709,54
"0291144A",1126,484,35
"0291144B",71,30,2
"0291144C",56,24,1
"0291145",252,152,15
"0291146",42,32,3
"0292001",36,196,12
"0292002",71,354,10
"0292003",91,547,25
"0292004",158,725,22
"0292005",102,337,9
"0292006",0,5,0
"0292007",117,471,15
"0292008",63,281,10
"0292009",236,555,33
"0292010",280,368,50
"0292011",123,538,29
"0292012",66,393,14
"0292013",123,367,20
"0292014",127,374,15
"0292015",83,461,21
"0292016",47,321,5
"0292017",51,273,9
"0292018",117,402,16
"0292019",79,441,19
"0292020",105,685,17
"0292021",177,709,23
"0292022",98,405,11
"0292023",275,935,44
"0292024",184,510,28
"0292025",264,810,37
"0292026",342,705,49
"0292027",213,478,25
"0292028",426,774,55
"0292029",82,332,8
"0292030",91,395,13
"0292031",83,407,10
"0292032",44,150,7
"0292033",49,159,7
"0292034",50,213,9
"0292035",227,594,40
"0292036",461,605,46
"0292037",436,382,37
"0292038",338,457,34
"0292039",145,522,29
"0292040",315,737,46
"0292041",323,886,30
"0292042",117,453,18
"0292043",140,525,23
"0292044",192,573,21
"0292045",303,849,33
"0292046",354,822,38
"0292047",265,596,35
"0292048",125,507,20
"0292049",364,819,40
"0292050",271,573,34
"0292051",87,166,11
"0292052",79,295,14
"0292053",108,389,18
"0292054",248,831,39
"0292055",312,917,47
"0292056",153,433,23
"0292057",226,607,26
"0292058",262,605,40
