CNTYVTD,HegarR_18G_Comptroller,ChevalierD_18G_Comptroller,SandersL_18G_Comptroller
"0292050",249,586,38
"0292051",76,174,11
"0292052",72,297,17
"0292053",97,384,27
"0292054",213,849,47
"0292055",304,922,47
"0292056",138,440,27
"0292057",185,627,41
"0292058",227,641,36
"0292059",221,643,41
"0292060",154,445,28
"0292061",211,314,27
"0292062",187,371,19
"0292063A",323,177,19
"0292063B",364,198,22
"0292063C",12,7,1
"0292064",372,696,66
"0292065",652,1264,79
"0292066",1050,1059,95
"0292067",31,129,5
"0292068",979,1190,86
"0292069",436,857,64
"0292070",93,571,29
"0292071",39,188,7
"0292072",625,935,87
"0292073",143,366,15
"0292074",60,234,7
"0292075",47,275,10
"0292076",551,664,63
"0292077",563,678,64
"0292078",379,699,61
"0292079",22,180,6
"0292080",156,402,26
"0292081",121,268,24
"0292082",187,449,29
"0292083",71,304,20
"0292084",1139,856,92
"0292085",166,452,25
"0292086",700,959,67
"0292087",536,483,43
"0292088",666,1187,89
"0292089",29,119,8
"0292090",211,563,28
"0292091",354,876,57
"0292092",88,115,17
"0292093",199,298,21
"0292094",79,40,3
"0292095A",651,362,42
"0292095B",235,128,13
"0292096",273,658,52
"0292097",402,739,52
"0292098",193,369,31
"0292099",395,457,40
"0292100",183,358,36
"0292101",430,324,34
"0292102",604,763,55
"0292103",10,86,4
"0292104",12,84,4
"0292105",32,176,8
"0292106",67,143,13
"0292107",515,798,68
"0292108",365,305,29
"0292109",0,3,0
"0292110",244,332,23
"0292111",172,325,18
"0292112",364,516,41
"0292113",11,22,1
"0292114",309,633,51
"0292115",1153,1056,93
"0292116",0,2,0
"0292117",38,198,5
"0292118",0,13,0
"0292119",28,107,5
"0292120",244,299,31
"0292121",82,128,12
"0292122",145,498,35
"0292123",543,480,53
"0292124",184,223,15
"0292125",1183,1494,142
"0292126",240,384,15
"0292127",570,751,70
"0292128",127,591,35
"0292129",1,2,0
"0292130",392,646,63
"0292131",55,114,13
"0292132",0,1,0
"0292133",80,99,6
"0292134",150,348,31
"0292135",69,201,13
"0292136",882,1090,109
"0292137",194,327,31
"0292138",181,275,21
"0292139",438,534,58
"0292140",217,454,31
"0292141",290,414,32
"0292142",71,164,13
"0292143",476,533,50
"0292144",333,649,43
"0292145",86,115,4
"0292146",9,26,0
"0292147",76,139,14
"0292148",471,1066,102
"0292149",240,562,36
"0292150",0,3,0
"0292151",2,7,0
"0292152",50,191,19
"0292153",49,97,14
"0292154A",169,93,6
"0292154B",110,60,3
"0292155",1,0,0
"0292156",167,389,22
"0292157",0,0,0
"0292158",0,0,0
"0292159",39,62,3
"0292160",6,5,0
"0293001",1049,750,52
"0293002",625,641,54
"0293003",23,16,3
"0293004",0,1,0
"0293005",986,402,35
"0293006",378,311,21
"0293007",821,677,50
"0293008",44,15,2
"0293009",8,2,0
"0293010",103,164,7
"0293011",378,297,14
"0293012",452,165,7
"0293013",459,564,56
"0293014",156,155,11
"0293015",287,297,22
"0293016",67,58,1
"0293017A",1095,355,35
"0293017B",43,14,2
"0293018",774,452,35
"0293019",113,194,18
"0293020",938,778,59
"0293021",1325,393,31
"0293022",580,451,30
"0293023",553,759,57
"0293024",0,0,0
"0293025",684,448,33
"0293026",671,356,29
"0293027",556,361,45
"0293028",586,484,47
"0293029",340,367,32
"0293030",937,503,27
"0293031",6,9,0
"0293032",381,675,42
"0293033",930,399,34
"0293034",1488,317,32
"0293035",220,247,11
"0293036",722,1196,89
"0293037",720,828,77
"0293038",397,369,19
"0293039",1515,770,79
"0293040",623,582,61
"0293041",212,143,9
"0293042",914,557,37
"0293043",1132,482,42
"0293044",492,399,30
"0293045",676,315,25
"0293046",547,399,28
"0293047",691,534,32
"0293048",542,474,36
"0293049",927,517,42
"0293050",419,257,24
"0293051",155,88,12
"0293052",1482,1076,88
"0293053",675,442,26
"0293054",387,536,39
"0293055",1367,390,48
"0293056",359,594,39
"0293057",207,152,11
"0293058",638,962,91
"0293059",528,400,36
"0293060",548,558,45
"0293061",445,534,48
"0293062",14,11,1
"0293063",600,571,40
"0293064",130,141,11
"0293065",9,26,0
"0293066",615,552,41
"0293067",551,434,46
"0293068",360,787,65
"0293069",1053,932,49
"0293070",966,702,41
"0293071",596,761,50
"0293072",1328,849,64
"0293073",490,468,25
"0293074",935,687,65
"0293075",1468,617,48
