CNTYVTD,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"1270001",246,430
"1270002",165,479
"1270003",49,127
"1270004",29,30
"1270005",74,369
"1270006",136,274
"1270007",71,186
"1290101",122,9
"1290102",166,24
"1290201",343,53
"1290301",109,2
"1290303",141,19
"1290401",220,35
"1310001",188,679
"1310002",124,535
"1310003",49,219
"1310004",29,55
"1310005",50,142
"1310006",14,57
"1310007",43,27
"1310008",421,572
"1310009",113,424
"1330001",1255,173
"1330002",172,21
"1330003",611,131
"1330004",182,16
"1330005",289,43
"1330006",183,22
"1330007",1046,120
"1330008",1305,218
"1330009",325,32
"1350101",1193,466
"1350102",680,389
"1350103",411,169
"1350104",93,28
"1350106",487,147
"1350107",334,70
"1350108",1006,235
"1350109",100,17
"1350110",1330,451
"1350111",155,97
"1350201",2779,601
"1350202",1276,266
"1350203",1172,308
"1350204",598,186
"1350205",805,215
"1350206",331,52
"1350207",922,80
"1350208",1527,425
"1350209",429,150
"1350301",630,406
"1350302",300,152
"1350303",433,252
"1350304",101,84
"1350305",80,98
"1350306",198,174
"1350307",452,313
"1350308",315,117
"1350309",414,190
"1350311",293,156
"1350312",505,171
"1350401",216,101
"1350402",170,390
"1350403",188,574
"1350404",309,200
"1350405",73,207
"1350406",382,425
"1350407",256,105
"1350408",76,121
"1350409",222,173
"1350412",108,119
"1370001",67,23
"1370002",236,26
"1370003",186,27
"1370004",106,38
"1390101",1316,519
"1390102",1588,480
"1390103",1872,620
"1390104",1664,439
"1390105",2014,623
"1390106",1636,360
"1390107",1714,570
"1390108",1517,465
"1390109",903,337
"1390110",1331,1075
"1390111",990,304
"1390112",784,212
"1390113",158,590
"1390114",791,291
"1390115",595,305
"1390116",805,288
"1390117",905,368
"1390118",1055,444
"1390119",620,194
"1390120",239,66
"1390121",849,314
"1390122",542,186
"1390123",71,279
"1390124",185,373
"1390125",1451,487
"1390126",327,182
"1390127",154,53
"1390128",32,40
"1390129",268,109
"1390130",229,94
"1390131",679,260
"1390132",260,58
"1390133",213,72
"1390134",378,52
"1390135",1810,332
"1390136",303,65
"1390137",600,129
"1390138",712,213
"1390139",537,132
"1390140",1845,802
"1390141",908,283
"1390142",788,307
"1390143",1261,461
"1390144",455,694
"1390145",877,971
"1390146",943,577
"1390147",1420,703
"1390148",673,571
"1390149",438,239
"1410001",245,606
"1410002",349,948
"1410003",373,758
"1410004",266,476
"1410005",1060,1957
"1410006",685,589
"1410007",617,884
"1410008",982,666
"1410009",731,1046
"1410010",420,1356
"1410011",881,1814
"1410012",284,453
"1410013",519,1134
"1410014",921,1175
"1410015",711,832
"1410016",457,1333
"1410017",397,550
"1410018",856,986
"1410019",539,1189
"1410020",239,458
"1410021",627,686
"1410022",464,854
"1410023",403,436
"1410024",807,1076
"1410025",487,916
"1410026",327,640
"1410027",253,722
"1410028",33,136
"1410029",304,927
"1410030",9,69
"1410031",133,516
"1410032",262,679
"1410033",379,829
"1410034",44,258
"1410035",366,821
"1410036",141,879
"1410037",106,698
"1410038",151,742
"1410039",41,236
"1410040",59,309
"1410041",73,370
"1410042",97,607
"1410043",536,621
"1410044",922,1476
"1410045",565,1063
"1410046",189,442
"1410047",533,770
"1410048",184,658
"1410049",244,426
"1410050",621,1458
"1410051",374,616
"1410052",269,697
"1410053",355,915
"1410054",220,602
"1410055",403,753
"1410056",413,658
"1410057",214,459
"1410058",267,487
"1410059",265,838
"1410060",595,620
"1410061",260,475
"1410062",136,377
"1410063",197,818
"1410064",211,865
"1410065",83,96
"1410066",212,708
"1410067",224,723
"1410068",67,220
"1410069",348,1396
"1410070",229,950
"1410071",188,781
"1410072",120,480
"1410073",95,451
"1410074",130,744
"1410075",203,603
"1410076",121,471
"1410077",195,858
"1410078",110,467
"1410079",44,213
"1410080",69,535
"1410081",26,123
"1410082",126,718
"1410083",71,452
"1410084",132,761
"1410085",83,534
"1410086",72,111
"1410087",0,3
"1410088",130,133
"1410089",280,1052
"1410090",337,688
"1410091",130,350
"1410092",549,1027
"1410093",213,541
"1410094",361,913
"1410095",461,972
"1410096",578,1057
"1410097",300,709
"1410098",420,725
"1410099",159,422
"1410100",409,1083
"1410101",465,859
"1410102",278,846
"1410103",418,633
"1410104",484,963
"1410105",414,971
"1410106",358,1046
"1410107",325,764
"1410108",445,653
"1410109",294,652
"1410110",463,1106
"1410111",207,802
"1410112",291,1202
"1410113",291,854
"1410114",399,1412
"1410115",615,1564
"1410116",759,2190
"1410117",369,1095
"1410118",341,825
"1410119",355,921
"1410120",334,1079
"1410121",227,756
"1410122",398,1284
"1410123",274,1070
"1410124",254,973
"1410125",489,1582
"1410126",717,1683
"1410127",50,124
"1410128",714,1645
"1410129",411,1017
"1410130",437,1257
"1410131",197,502
"1410132",26,136
"1410133",167,897
"1410134",121,408
"1410135",145,820
"1410136",109,612
"1410137",105,717
"1410138",138,747
"1410139",203,748
"1410140",92,608
"1410141",92,452
"1410142",63,427
"1410143",149,924
"1410144",171,913
"1410145",155,846
"1410146",76,476
"1410147",125,510
"1410148",161,843
"1410149",215,905
"1410150",124,587
"1410151",118,754
"1410152",93,657
"1410153",170,898
"1410154",138,775
"1410155",78,383
"1410156",178,1013
"1410157",103,593
"1410158",1626,3295
"1410159",97,551
"1410160",168,798
"1410161",86,366
"1410162",214,1065
"1410163",220,793
"1410164",251,1092
"1410165",177,1108
"1410166",416,706
"1410167",182,1043
"1410168",414,1026
"1410169",396,1738
"1410170",411,788
"1410171",291,1554
"1410172",285,1086
"1410173",144,394
"1410174",1,2
"1410175",24,94
"1410176",218,342
"1410177",129,172
"1410178",218,343
"1410179",21,219
"1410180",83,576
"1410181",318,660
"1410182",150,475
"1410183",0,0
"1410184",0,0
"1410185",163,199
"1410186",134,253
"1410187",0,1
"1410188",19,32
"1410189",4,3
"1410190",0,0
"1410191",0,0
"1430010",385,153
"1430011",163,78
"1430012",614,133
"1430018",922,144
"1430019",639,100
"1430020",534,108
"1430021",578,117
"1430023",207,52
"1430024",404,89
"1430025",387,46
"1430030",351,45
"1430031",628,85
"1430032",692,146
"1430033",271,154
"1430034",610,85
"1430035",30,38
"1430041",394,47
"1430044",1042,139
"1430045",594,253
"1430046",259,101
"1430047",477,121
"1450101",159,128
"1450104",345,56
"1450105",267,152
"1450201",240,57
"1450203",21,199
"1450204",80,243
"1450301",257,52
"1450302",105,48
"1450303",323,35
"1450304",342,131
"1450403",383,142
"1450404",341,90
"1450405",262,108
"1470001",523,145
"1470002",594,82
"1470003",227,94
"1470004",490,185
"1470005",259,53
"1470006",326,69
"1470007",236,52
"1470009",444,79
"1470010",1088,221
"1470011",1109,208
"1470012",569,81
"1470013",345,76
"1470015",413,55
"1470016",163,33
"1470018",1134,326
"1470019",684,221
"1490002",100,27
"1490003",217,39
"1490004",424,96
"1490005",146,17
"1490006",240,70
"1490007",338,81
"1490008",207,40
"1490009",133,36
"1490010",345,50
"1490011",233,43
"1490012",191,55
"1490013",307,88
"1490014",150,18
"1490015",189,39
"1490016",685,228
"1490017",243,36
"149001E",432,83
"149001N",887,351
"149001W",363,93
"1490020",397,75
"1490021",142,23
"1490022",102,25
"1490023",134,23
"1490024",144,25
"1490025",1065,305
"1490026",286,67
"1510001",293,72
"1510004",317,86
"1510010",213,80
"1510012",256,102
"1530001",542,92
"1530009",51,2
"1530018",440,82
"1530023",232,184
"1530024",89,41
"153024BA",30,42
"153024BB",0,0
"1550101",48,22
"1550201",99,25
"1550301",74,26
"1550401",75,40
"1571001",786,390
"1571002",233,766
"1571003",178,971
"1571007",1895,2154
"1571008",432,110
"1571010",1814,464
"1571012",536,552
"1571013",799,691
"1571015",531,178
"1571018",887,192
"1571021",423,53
"1571024",429,132
"1571025",1162,828
"1571037",696,577
"1571040",166,726
"1571048",257,522
"1571054",124,84
"1571058",117,313
"1571067",579,1108
"1571068",239,29
"1571072",47,14
"1571073",463,211
"1571074",816,1178
"1571076",991,1950
"1571085",877,838
"1571087",839,439
"1571094",1,4
"1571097",1671,1368
"1571103",2176,1023
"1571109",283,257
"1571114",194,2074
"1571118",2030,1533
"1571120",1413,649
"1571128",1535,672
"1571134",513,1493
"1571141",1096,557
"1571152",540,338
"1571153",71,1177
"1571154",683,818
"1572016",837,1216
"1572017",60,1310
"1572022",1182,886
"1572023",121,1039
"1572031",80,1370
"1572033",184,491
"1572034",126,2029
"1572036",39,550
"1572043",96,311
"1572050",89,1724
"1572051",55,1276
"1572052",61,1258
"1572055",24,537
"1572056",95,265
"1572059",102,1211
"1572060",360,1337
"1572061",1215,1417
"1572066",439,1821
"1572070",308,471
"1572075",75,980
"1572077",130,993
"1572078",73,258
"1572081",196,523
"1572088",403,1025
"1572089",38,767
"1572090",265,235
"1572091",131,283
"1572092",192,310
"1572093",61,168
"1572096",361,929
"1572099",588,1267
"1572100",396,912
"1572101",391,1330
"1572106",510,1642
"1572108",757,2380
"1572112",27,113
"1572115",225,725
"1572116",68,1179
"1572123",43,932
"1572136",68,122
"1572137",79,175
"1572138",55,186
"1572139",4,28
"1572151",524,975
"1572157",784,1078
"1573004",1621,918
"1573005",1741,500
"1573006",3100,1408
"1573009",1494,607
"1573014",2057,929
"1573019",473,143
"1573032",441,970
"1573038",1822,1326
"1573041",902,342
"1573053",0,0
"1573057",1624,1074
"1573063",1559,483
"1573069",154,134
"1573083",765,1646
"1573095",822,860
"1573098",482,846
"1573104",2064,873
"1573113",421,2269
"1573122",1767,748
"1573130",1563,1097
"1573132",1626,1198
"1573133",1574,748
"1573142",1366,1055
"1573143A",642,498
"1573143B",7,5
"1573143C",62,48
"1573143D",74,59
"1573143E",211,165
"1573143F",265,206
"1573143G",309,240
"1573143H",310,241
"1573143I",123,95
"1573144",1690,967
"1573145",803,641
"1573146",1870,1593
"1573148",2975,1557
"1573149",2608,570
"1573150",1013,2388
"1573156",1205,375
"1573159",838,715
"1573160",424,428
"1574011",613,404
"1574020",1310,638
"1574026",1004,902
"1574027",0,0
"1574028",739,769
"1574029",886,377
"1574030",1041,777
"1574035",482,554
"1574039",186,363
"1574042",484,191
"1574044",928,1362
"1574045",477,596
"1574046",930,1019
"1574047",240,283
"1574049",666,1393
"1574062",993,1306
"1574064",354,287
"1574065",1304,1696
"1574071",104,162
"1574079",136,127
"1574080",381,414
"1574082",2133,1444
"1574084",519,476
"1574086",382,872
"1574102",556,891
"1574105",535,560
"1574107",856,501
"1574110",748,768
"1574111",424,387
"1574117",1051,1717
"1574119",1360,762
"1574121",171,241
"1574124",819,1453
"1574125",746,1490
"1574126",748,1248
"1574127",753,1016
"1574129",1748,1994
"1574131",683,498
"1574135",1601,2413
"1574140",1121,870
"1574147",660,1689
"1574155",353,973
"1574158",340,965
"1590101",542,95
"1590102",262,34
"1590201",314,37
"1590202",381,124
"1590301",407,62
"1590302",337,75
"1590401",633,101
"1590402",398,73
"1610001",1370,198
"1610002",565,206
"1610003",80,6
"1610004",221,30
"1610005",856,276
"1610006",280,38
"1610007",294,85
"1610008",284,56
"1610009",245,56
"1610010",204,10
"1610011",208,158
"1610012",61,22
"1610013",170,25
"1610014",208,47
"1610015",142,18
"1630001",191,313
"1630002",83,225
"1630003",48,236
"1630004A",305,260
"1630004B",2,2
"1630005",207,72
"1630006",182,81
"1630008",116,255
"1630009",161,286
"1630010",249,180
"1650002",761,101
"1650003",1142,92
"1650004",448,86
"1650005",122,12
"1650006",82,22
"1650007",98,72
"1650008",379,65
"1650009",274,29
"1670103",561,161
"1670104",427,107
"1670105",94,82
"1670142",664,581
"1670144",846,417
"1670146",914,622
"1670148",1096,724
"1670150",779,485
"1670151",1201,420
"1670152",2052,853
"1670159",1233,749
"1670165",1853,822
"1670166",1138,544
"1670167",2262,921
"1670168",0,0
"1670169",1,0
"1670170",1205,526
"1670172",217,67
"1670192",208,110
"1670193",1005,463
"1670197",276,129
"1670218",865,1006
"1670219",628,610
"1670220",1834,1133
"1670221",972,374
"1670223",760,876
"1670224",944,888
"1670225",1442,389
"1670226",867,418
"1670227",1345,327
"1670228",1591,310
"1670232",510,526
"1670258",1033,199
"1670263",2762,1269
"1670274",427,126
"1670275",193,77
"1670276",713,558
"1670277",1122,217
"1670278",1234,269
"1670279",564,114
"1670280",144,113
"1670281",83,30
"1670283",1168,666
"1670301",254,415
"1670306",1023,1618
"1670309",38,26
"1670311",78,398
"1670312",6,33
"1670314",485,1478
"1670315",650,1281
"1670316A",325,762
"1670316B",0,0
"1670330",405,825
"1670331",242,958
"1670334",102,502
"1670336",227,1874
"1670338",636,1132
"1670340",29,261
"1670341",262,294
"1670343",323,492
"1670345",46,296
"1670347",138,412
"1670389",98,203
"1670391",26,26
"1670394",7,15
"1670398",101,144
"1670399",60,70
"1670401",0,0
"1670439",1289,615
"1670453",1850,905
"1670454",1531,909
"1670455",675,381
"1670456",1766,488
"1670457",2100,631
"1670460",2586,686
"1670461",1793,518
"1670462",2291,706
"1670464",1233,517
"1670471",821,543
"1670482",100,9
"1670487",2318,1106
"1670488",1504,757
"1670490",1872,880
"1671051",157,179
"1671651",0,0
"1672321",0,0
"1672322",0,0
"1672323",232,34
"1672801",0,0
"1673061",0,1
"1673301",0,0
"1673311",74,112
"1674391",12,2
"1690001",260,31
"1690002",351,36
"1690003",198,39
"1690004",120,48
"1690005",59,13
"1690006",68,15
"1710001",1107,273
"1710002",616,164
"1710003",591,154
"1710004",1352,332
"1710005",1116,193
"1710006",419,91
"1710007",1395,297
"1710008",200,42
"1710009",125,20
"1710010",465,122
"1710012",1137,263
"1710013",955,202
"1710015",507,110
"1730001",152,8
"1730002",97,13
"1730003",111,5
"1730004",134,8
"1750011",241,206
"1750012",224,28
"1750021",266,200
"1750022",84,37
"1750031",333,101
"1750032",350,42
"1750041",181,32
"1750042",337,40
"1750043",192,24
"1770001",1002,298
"1770002",512,236
"1770003",508,176
"1770005",278,69
"1770007",212,39
"1770008",161,33
"1770009",279,231
"1770010",210,56
"1770011",130,17
"1770012",69,27
"1770013",164,27
"1770014",55,8
"1770015",183,18
"17704/6",363,129
"1790001",191,10
"1790002",1079,115
"1790003",79,0
"1790004",374,39
"1790005",1410,155
"1790006",1436,141
"1790007",730,129
"1810101",906,795
"1810102",354,756
"1810103",259,51
"1810104",487,95
"1810105",2525,575
"1810106",1158,266
"1810107",940,147
"1810108A",722,118
"1810108B",81,14
"1810201",1120,512
"1810202",1142,459
"1810203",234,209
"1810204",469,127
"1810205A",1756,403
"1810205B",0,0
"1810206",621,181
"1810207",485,93
"1810208",598,198
"1810209",562,115
"1810210",957,158
"1810301",555,304
"1810302",1868,932
"1810303",455,84
"1810304",1085,513
"1810305",676,143
"1810306",1850,289
"1810307",950,148
"1810308",556,78
"1810309",343,78
"1810401",349,366
"1810402",913,371
"1810403",1374,321
"1810404",1641,374
"1810405",159,90
"1810406",1349,211
"1810407",40,34
"1810408A",588,189
"1810408B",41,13
"1810409",1853,656
"1830001",693,255
"1830002",1563,547
"1830003",1403,501
"1830004",1642,423
"1830005",1601,425
"1830006",1173,192
"1830007",1343,318
"1830008",1754,569
"1830009",1796,593
"1830010",1217,638
"1830011",1725,542
"1830012",2131,277
"1830013",1040,326
"1830014",1943,345
"1830015",380,213
"1830016",1723,337
"1830017",166,185
"1830018",825,986
"1830019",227,1287
"1830020",255,891
"1830021",325,763
"1850001",974,163
"1850002",411,50
"1850003",158,431
"1850004",619,123
"1850005",608,184
"1850006",613,341
"1850007",472,109
"1850008",234,55
"1850009",186,39
"1850010",764,103
"1850011",136,21
"1850012",378,126
"1850014",708,184
"1850015",247,45
"1870101",265,94
"1870102A",404,167
"1870102B",6,2
"1870103",329,119
"1870104",286,212
"1870105",1169,314
"1870106",1333,526
"1870107",562,127
"1870108",271,155
"1870109",249,55
"1870110",85,60
"1870111",33,27
"1870112",71,137
"1870113",396,181
"1870114",289,151
"1870115",146,25
"1870116",979,327
"1870117",1793,695
"1870118",25,18
"1870119",834,247
"1870120",546,152
"1870121",59,25
"1870122",20,7
"1870123",0,1
"1870124",2,0
"1870125",88,19
"1870126",12,2
"1870127",9,5
"1870201",119,89
"1870202",133,306
"1870203",45,127
"1870204",257,354
"1870205",482,165
"1870206",367,576
"1870207",159,235
"1870208",1442,405
"1870209",85,223
"1870210",261,200
"1870211",42,38
"1870212",35,48
"1870213",843,361
"1870214",277,88
"1870215",380,146
"1870216",28,8
"1870217",29,36
"1870218",15,23
"1870219",26,23
"1870220",20,22
"1870221",11,5
"1870222",0,0
"1870223",79,77
"1870224",9,50
"1870225",0,9
"1870226",101,55
"1870301",1024,685
"1870302",1257,1014
"1870303",519,275
"1870304",1436,859
"1870305",1357,991
"1870306",1476,905
"1870307",1443,1055
"1870308",829,427
"1870401",656,200
"1870402",529,366
"1870403",767,512
"1870404",958,668
"1870405",890,198
"1870406",1012,172
"1870407",852,199
"1870408",1584,714
"1870409",1229,1364
"1870410",58,23
"1870411",1195,753
"1890101",131,41
"1890102",34,15
"1890103",72,81
"1890104",125,89
"1890105",50,29
"1890110",193,22
"1890111",233,67
"1890112",308,36
"1890202",33,53
"1890203",57,82
"1890204",141,115
"1890205",16,30
"1890206",12,10
"1890213",88,28
"1890214",305,140
"1890215",121,40
"1890304",339,112
"1890305",538,84
"1890306",13,20
"1890307",112,48
"1890308",20,8
"1890316",376,154
"1890317",67,16
"1890318",467,81
"1890406",148,110
"1890407",584,129
"1890408",314,67
"1890409",250,95
"1890419",103,10
"1890420",203,25
"1910101",129,44
"1910201",38,8
"1910202",179,34
"1910301",55,11
"1910302",128,24
"1910401",148,20
"1910402",86,19
"1930001",441,77
"1930004",55,11
"1930005",79,16
"1930007",662,152
"1930009",113,19
"1930012",118,10
"1930014",101,18
"1930015",100,4
"1930017",84,12
"1930022",555,110
"1930023",446,76
"1950001",331,36
"1950002",25,4
"1950003",154,3
"1950004",308,18
"1950005",264,21
"1950006",333,32
"1950007",29,0
"1950009",62,4
"1970001",257,45
"1970002",201,45
"1970003",203,43
"1970004",256,51
"1990001",565,232
"1990002",2085,293
"1990003",285,15
"1990004",391,37
"1990005",304,17
"1990006",2093,270
"1990007",396,30
"1990008",390,44
"1990009",1029,252
"1990010",1037,445
"1990011",419,58
"1990012",452,66
"1990013",1169,95
"1990014",704,60
"1990015",890,120
"1990016",1053,105
"1990017",600,42
"1990018",2927,357
"1990019",512,69
"2010001A",627,1292
"2010001B",0,0
"2010002",394,764
"2010003",442,707
"2010004",478,835
"2010005",406,682
"2010006",934,1145
"2010007",23,382
"2010008",469,611
"2010009",211,807
"2010010",169,654
"2010011",142,653
"2010012",113,142
"2010013",871,457
"2010014",633,660
"2010015",1272,935
"2010016",450,726
"2010017",260,424
"2010018",485,538
"2010019",263,684
"2010020",350,952
"2010021",141,547
"2010022",180,958
"2010023",27,166
"2010024",63,353
"2010025",23,300
"2010026",214,898
"2010027",386,1427
"2010028",942,780
"2010029",290,664
"2010030",522,1384
"2010031",36,952
"2010032",585,1304
"2010033",812,1798
"2010034",420,1667
"2010035",1,2
"2010036",296,966
"2010037",595,1308
"2010038",740,1470
"2010039",585,1681
"2010040",196,191
"2010041",327,494
"2010042",15,385
"2010043",420,633
"2010044",202,736
"2010045",500,2424
"2010046",193,881
"2010047",38,539
"2010048",52,344
"2010049",1388,839
"2010050",1022,1315
"2010051",680,267
"2010052",669,1092
"2010053",882,1307
"2010054",543,662
"2010055",627,1198
"2010056",532,400
"2010057",1005,1445
"2010058",927,1351
"2010059",838,1139
"2010060",472,1583
"2010061",199,586
"2010062",188,753
"2010063",756,212
"2010064",167,750
"2010065",158,729
"2010066",77,373
"2010067",232,1010
"2010068",42,1346
"2010069",77,443
"2010070",1531,1217
"2010071",1608,2160
"2010072",266,757
"2010073",545,554
"2010074",1829,647
"2010075",527,786
"2010076",582,651
"2010077",1,5
"2010078",202,561
"2010079",227,932
"2010080",299,1003
"2010081",246,649
"2010082",1366,651
"2010083A",691,1323
"2010083B",13,24
"2010084",482,211
"2010085",43,865
"2010086",1034,1502
"2010087",1270,794
"2010088",296,139
"2010089",471,349
"2010090",1774,715
"2010091",486,438
"2010092",1033,568
"2010093",400,952
"2010094",39,186
"2010095",1154,710
"2010096",139,856
"2010097",1916,697
"2010098",1417,319
"2010099",320,469
"2010100",265,331
"2010101",64,203
"2010102",155,480
"2010103",1221,1585
"2010104",24,914
"2010105",221,731
"2010106",38,47
"2010107",113,680
"2010108",714,802
"2010109",36,1111
"2010110",1023,891
"2010111",2166,1187
"2010112",1096,694
"2010113",728,784
"2010114",1788,758
"2010115",59,371
"2010116",1699,595
"2010117",272,561
"2010118",1025,1170
"2010119",2229,716
"2010120",1254,1036
"2010121",306,190
"2010122",41,796
"2010123",232,737
"2010124",3340,1122
"2010125",660,671
"2010126",1905,375
"2010127",680,254
"2010128",974,672
"2010129",1774,1509
"2010130",1089,478
"2010131",200,869
"2010132",34,1062
"2010133",1126,875
"2010134",316,527
"2010135",1351,836
"2010136",75,1107
"2010137",778,478
"2010138",32,640
"2010139",1067,1453
"2010140",275,1689
"2010141",143,141
"2010142",99,297
"2010143A",0,0
"2010143B",295,216
"2010143C",1131,832
"2010144",16,432
"2010145",27,617
"2010146",552,842
"2010147",200,1278
"2010148",778,1078
"2010149",2005,1949
"2010150",19,588
"2010151",13,271
"2010152",220,879
"2010153",168,569
"2010154",210,847
"2010155",1589,1057
"2010156",86,1527
"2010157",54,898
"2010158",29,1149
"2010159",78,439
"2010160",10,257
"2010161",26,450
"2010162",133,376
"2010163",387,871
"2010164",18,511
"2010165",829,641
"2010166",267,545
"2010167",1,3
"2010168",6,191
"2010169",36,963
"2010170",350,432
"2010171",35,604
"2010172",82,248
"2010173",1992,772
"2010174",1400,855
"2010175",901,887
"2010176",434,439
"2010177",592,620
"2010178",880,485
"2010179",446,596
"2010180",63,1084
"2010181",235,763
"2010182",1373,1365
"2010183",1156,695
"2010184",107,331
"2010185",256,721
"2010186",45,299
"2010187",21,84
"2010188",192,446
"2010189",571,509
"2010190",223,521
"2010191",129,301
"2010192",53,778
"2010193",24,475
"2010194",417,1154
"2010195",73,753
"2010196",18,132
"2010197",39,1074
"2010198",7,182
"2010199",1714,623
"2010200",1174,1513
"2010201",11,250
"2010202",17,523
"2010203",61,302
"2010204",1210,1206
"2010205",26,788
"2010206",518,1283
"2010207",218,551
"2010208",265,747
"2010209",0,0
"2010210",240,1472
"2010211",405,925
"2010212",102,384
"2010213",1908,553
"2010214",727,583
"2010215",911,770
"2010216",63,792
"2010217",1326,738
"2010218",362,1109
"2010219",111,1292
"2010220",531,316
"2010221",446,935
"2010222",986,1084
"2010223",417,1601
"2010224",711,927
"2010225",640,1099
"2010226",215,923
"2010227",974,341
"2010228",43,712
"2010229",88,241
"2010230",21,390
"2010231",210,833
"2010232",684,624
"2010233",1393,2040
"2010234",2114,865
"2010235",25,546
"2010236",35,734
"2010237",27,780
"2010238",22,720
"2010239",38,750
"2010240",43,1015
"2010241",271,640
"2010242",299,383
"2010243",4,250
"2010244",757,962
"2010245",1441,1018
"2010246",1406,1052
"2010247",25,621
"2010248",145,504
"2010249",775,462
"2010250",17,345
"2010251",100,895
"2010252",26,953
"2010253",23,784
"2010254",113,492
"2010255",687,913
"2010256",540,1218
"2010257",294,1025
"2010258",1611,670
"2010259",40,1149
"2010260",340,427
"2010261",157,424
"2010262",1161,1074
"2010263",1749,838
"2010264",741,837
"2010265",1678,686
"2010266",324,606
"2010267",210,383
"2010268",938,754
"2010269",1160,420
"2010270",1104,1176
"2010271",36,1300
"2010272",318,782
"2010273",1318,432
"2010274",894,577
"2010275",128,598
"2010276",25,1029
"2010277",252,517
"2010278",554,778
"2010279",516,406
"2010280",191,491
"2010281",749,796
"2010282",677,617
"2010283A",393,2411
"2010283B",3,24
"2010284",598,1159
"2010285",102,1206
"2010286",171,1786
"2010287",562,652
"2010288",23,982
"2010289",247,497
"2010290",634,249
"2010291",294,420
"2010292",79,568
"2010293",433,723
"2010294",14,829
"2010295",17,294
"2010296",469,483
"2010297",303,581
"2010298",612,682
"2010299",186,452
"2010300",2698,1033
"2010301",337,620
"2010302",708,724
"2010303",1819,592
"2010304",820,694
"2010305",708,1848
"2010306",892,422
"2010307",1317,692
"2010308",152,510
"2010309",1957,627
"2010310",567,339
"2010311",596,725
"2010312",1014,1009
"2010313",11,13
"2010314",1776,1626
"2010315",624,443
"2010316",532,474
"2010317",153,453
"2010318",138,1810
"2010319",72,991
"2010320",226,456
"2010321",262,765
"2010322",144,317
"2010323",337,569
"2010324",1091,745
"2010325",187,702
"2010326",120,226
"2010327",36,690
"2010328",181,400
"2010329",236,543
"2010330",519,688
"2010331",850,708
"2010332",177,1607
"2010333",1402,658
"2010334",60,250
"2010335",159,513
"2010336",315,2716
"2010337",59,387
"2010338",590,1319
"2010339",180,738
"2010340",1679,741
"2010341",133,416
"2010342",73,358
"2010343",199,864
"2010344",26,442
"2010345",140,650
"2010346",0,0
"2010347",980,841
"2010348",634,351
"2010349",390,300
"2010350",607,1266
"2010351",2327,818
"2010352",1511,679
"2010353",347,1682
"2010354",413,1298
"2010355",84,849
"2010356",976,908
"2010357",1546,691
"2010358",108,800
"2010359",122,872
"2010360",1014,1372
"2010361",152,1136
"2010362",2051,1040
"2010363",759,1428
"2010364",640,868
"2010365",107,765
"2010366",269,1044
"2010367",129,454
"2010368",122,343
"2010369",52,100
"2010370",1946,967
"2010371",6,212
"2010372",59,554
"2010373",6,54
"2010374",77,212
"2010375",346,641
"2010376",360,594
"2010377",1259,464
"2010378",550,369
"2010379",118,909
"2010380",1461,1700
"2010381",527,978
"2010382",314,220
"2010383",306,720
"2010384",326,1029
"2010385",1180,348
"2010386",1240,559
"2010387",1369,685
"2010388",1445,1852
"2010389",81,693
"2010390",133,788
"2010391",672,534
"2010392",12,639
"2010393",245,333
"2010394",106,199
"2010395",824,438
"2010396",35,989
"2010397",109,210
"2010398",892,1219
"2010399",494,944
"2010400",1002,632
"2010401",62,938
"2010402",71,946
"2010403",646,565
"2010404",542,647
"2010405",1079,412
"2010406",6,237
"2010407",1308,1010
"2010408",200,468
"2010409",177,481
"2010410",68,338
"2010411",219,679
"2010412",8,163
"2010413",646,1130
"2010414",1224,483
"2010415",997,531
"2010416",897,1172
"2010417",505,716
"2010418",507,1077
"2010419",774,642
"2010420",2379,572
"2010421",574,771
"2010422",62,1439
"2010423",103,390
"2010424",364,368
"2010425",79,223
"2010426",334,327
"2010427",181,333
"2010428",624,1549
"2010429",302,849
"2010430",117,582
"2010431",330,1254
"2010432",144,407
"2010433",38,162
"2010434",566,506
"2010435",1342,927
"2010436",1348,1215
"2010437",932,502
"2010438",1637,783
"2010439",1529,870
"2010440",1568,523
"2010441",789,332
"2010442",2181,622
"2010443",340,125
"2010444",1138,1009
"2010445",718,550
"2010446",36,78
"2010447",1701,1256
"2010448",1141,961
"2010449",4,66
"2010450",347,947
"2010451",1423,434
"2010452",1495,933
"2010453",280,720
"2010454",24,998
"2010455",27,593
"2010456",794,766
"2010457",0,0
"2010458",64,967
"2010459",1875,631
"2010460",386,1455
"2010461",1641,1095
"2010462",638,1379
"2010463",643,1285
"2010464",750,596
"2010465",778,1164
"2010466",1138,1255
"2010467",139,486
"2010468",417,1420
"2010469",1328,409
"2010470",465,196
"2010471",977,310
"2010472",307,460
"2010473",781,407
"2010474",1029,635
"2010475",358,553
"2010476",619,713
"2010477",1593,887
"2010478",1429,1065
"2010479",1663,632
"2010480",1147,616
"2010481",1427,596
"2010482",1560,958
"2010483",1215,1411
"2010484",1331,915
"2010485",1426,701
"2010486",1981,706
"2010487",468,1105
"2010488",331,855
"2010489",281,826
"2010490",408,816
"2010491",634,686
"2010492",644,626
"2010493A",597,1093
"2010493B",0,0
"2010494",155,1157
"2010495",1039,604
"2010496",325,822
"2010497",39,943
"2010498",421,837
"2010499",1156,530
