CNTYVTD,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"0293068",355,856
"0293069",1045,977
"0293070",969,740
"0293071",590,820
"0293072",1339,904
"0293073",486,489
"0293074",914,762
"0293075",1442,680
"0293076",636,333
"0293077",889,725
"0293078",992,766
"0293079",1180,844
"0293080",399,298
"0293081",706,645
"0293082",692,666
"0293083",558,405
"0293084",951,841
"0293085",405,354
"0293086",658,503
"0293087",543,373
"0293088",1147,788
"0293089",1978,804
"0293090",1015,791
"0293091",482,152
"0293092",1313,537
"0293093",1688,1050
"0293094",1270,771
"0293095",448,855
"0293096A",1233,836
"0293096B",0,0
"0293097",3,1
"0293098",437,362
"0293099",1034,914
"0293100",801,874
"0293101",840,704
"0293102",1173,766
"0293103",147,206
"0293104",957,688
"0293105",922,824
"0293106",713,368
"0293107",302,559
"0293108",621,361
"0293109",610,899
"0293110",833,864
"0293111",0,2
"0293112",258,500
"0293113",172,352
"0293114",1077,448
"0293115",802,504
"0293116",400,506
"0293117",1147,818
"0293118",284,289
"0293119",1033,1082
"0293120",861,935
"0293121",1341,1109
"0293122",732,609
"0293123",206,114
"0293124",1022,768
"0293125A",1234,770
"0293125B",2,1
"0293126",633,408
"0293127",836,1074
"0293128",21,20
"0293129",724,1053
"0293130",811,386
"0293131",0,3
"0293132",225,421
"0293133",0,0
"0293134",415,1065
"0293135",232,294
"0293136",158,158
"0293137",1355,1076
"0293138",29,7
"0293139",318,454
"0293140",79,151
"0293141",290,437
"0293142",62,108
"0293143",398,482
"0293144",67,73
"0293145",1026,771
"0293146",752,1097
"0293147",670,795
"0293148",447,296
"0293149",257,1313
"0293150",8,8
"0293151",1547,1294
"0293152",262,511
"0293153",481,430
"0293154",713,378
"0293155",830,582
"0293156",10,7
"0293157",932,764
"0293158A",18,13
"0293158B",6,3
"0293159",398,606
"0293160",519,379
"0293161",542,762
"0293162",283,384
"0293163",902,640
"0293164",744,435
"0293165",1253,900
"0293166",132,178
"0293167",3,3
"0293168",212,262
"0293169",49,30
"0293170",0,0
"0293171",0,1
"0293172",108,169
"0293173",1112,890
"0293174",1646,977
"0293175",189,198
"0293176",21,17
"0293178",0,0
"0293179",1,1
"0293180",301,349
"0293181",810,476
"0293182",270,243
"0293183",9,1
"0293184",60,44
"0293185A",72,57
"0293185B",17,14
"0293186",1,0
"0293187",0,0
"0293188A",0,0
"0293188B",0,0
"0293189",279,332
"0293190",0,0
"0293191",77,50
"0293193",70,51
"0293194",1353,714
"0293195",258,864
"0293196",6,3
"0293198",207,195
"0293199",1064,718
"0293201",1546,819
"0293202",334,243
"0293203",178,118
"0293204",0,0
"0293205",0,0
"0293206",10,51
"0293207",0,4
"0293208",12,27
"0294001",429,882
"0294002",54,258
"0294003",63,352
"0294004",103,300
"0294005",125,625
"0294006",49,228
"0294007",185,181
"0294008",200,229
"0294009",51,247
"0294010",30,335
"0294011",41,403
"0294012",43,210
"0294013",92,285
"0294014",34,127
"0294015",136,644
"0294016",211,822
"0294017",224,874
"0294018",183,489
"0294019",257,708
"0294020",186,356
"0294021",212,306
"0294022",25,31
"0294023",387,677
"0294024",384,799
"0294025",148,349
"0294026",320,1023
"0294027",190,528
"0294028",242,873
"0294029",123,680
"0294030",11,119
"0294031",169,509
"0294032",254,526
"0294033",466,906
"0294034",256,502
"0294035",5,15
"0294036",205,939
"0294037",57,507
"0294038",703,1026
"0294039",35,443
"0294040",71,412
"0294041",92,660
"0294042",21,26
"0294043",503,861
"0294044",213,373
"0294045",411,691
"0294046",795,646
"0294047",369,703
"0294048",137,553
"0294049",317,618
"0294050",519,384
"0294051",646,484
"0294052",620,534
"0294053",365,544
"0294054",816,1003
"0294055",422,331
"0294056",747,744
"0294057",722,374
"0294058",609,358
"0294059",561,570
"0294060",362,516
"0294061",269,574
"0294062",87,202
"0294063",131,219
"0294064",509,567
"0294065",374,1110
"0294066",502,964
"0294067",335,387
"0294068",72,140
"0294069",382,208
"0294070",390,1074
"0294071",748,146
"0294072",1179,428
"0294073",376,344
"0294074",465,399
"0294075",53,239
"0294076",333,801
"0294077",438,815
"0294078",533,159
"0294079",413,327
"0294080",309,575
"0294081",113,78
"0294082",80,532
"0294083",140,197
"0294084",45,130
"0294085",9,1
"0294086",138,78
"0294087",400,629
"0294088",532,1062
"0294089",625,760
"0294090",462,534
"0294091",179,348
"0294092",506,400
"0294093",539,637
"0294094",462,467
"0294095",431,435
"0294096",387,621
"0294097",399,431
"0294098",377,426
"0294099",210,342
"0294100",200,268
"0294101",297,182
"0294102",86,214
"0294103",0,0
"0294104",388,468
"0294105",559,458
"0294106",47,115
"0294107",350,359
"0294108",729,840
"0294109",134,247
"0294110",148,466
"0294111",10,108
"0294112",340,197
"0294113",46,255
"0294114A",11,10
"0294114B",1,1
"0294115",60,49
"0294116",16,14
"0294117",157,158
"0294118",40,7
"0294119",85,242
"0294120",26,58
"0294121",54,36
"0294122",12,38
"0294123",16,56
