CNTYVTD,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0292082",192,470
"0292083",87,305
"0292084",1179,901
"0292085",168,469
"0292086",738,983
"0292087",543,512
"0292088",692,1241
"0292089",28,125
"0292090",215,585
"0292091",360,921
"0292092",90,128
"0292093",195,322
"0292094",79,43
"0292095A",671,378
"0292095B",241,135
"0292096",274,708
"0292097",410,777
"0292098",197,393
"0292099",403,485
"0292100",199,377
"0292101",441,350
"0292102",615,804
"0292103",12,88
"0292104",16,85
"0292105",36,182
"0292106",72,151
"0292107",544,835
"0292108",372,327
"0292109",0,3
"0292110",247,352
"0292111",180,334
"0292112",373,543
"0292113",12,22
"0292114",320,678
"0292115",1182,1110
"0292116",0,2
"0292117",41,201
"0292118",0,13
"0292119",25,115
"0292120",254,318
"0292121",86,132
"0292122",157,520
"0292123",558,518
"0292124",181,242
"0292125",1237,1583
"0292126",243,393
"0292127",600,778
"0292128",139,611
"0292129",1,2
"0292130",423,677
"0292131",64,117
"0292132",0,1
"0292133",82,102
"0292134",154,371
"0292135",71,206
"0292136",924,1166
"0292137",199,347
"0292138",183,293
"0292139",463,560
"0292140",227,473
"0292141",294,435
"0292142",72,174
"0292143",480,578
"0292144",347,671
"0292145",86,120
"0292146",8,27
"0292147",83,147
"0292148",498,1129
"0292149",249,584
"0292150",0,3
"0292151",2,7
"0292152",51,208
"0292153",54,104
"0292154A",170,93
"0292154B",111,60
"0292155",1,0
"0292156",169,408
"0292157",0,0
"0292158",0,0
"0292159",39,65
"0292160",6,6
"0293001",1051,786
"0293002",654,661
"0293003",20,21
"0293004",0,1
"0293005",990,424
"0293006",376,326
"0293007",822,727
"0293008",44,17
"0293009",8,2
"0293010",101,173
"0293011",366,321
"0293012",449,174
"0293013",475,603
"0293014",158,158
"0293015",282,320
"0293016",65,60
"0293017A",1100,383
"0293017B",43,15
"0293018",750,492
"0293019",111,210
"0293020",927,832
"0293021",1311,427
"0293022",580,481
"0293023",558,804
"0293024",0,0
"0293025",679,476
"0293026",662,388
"0293027",571,387
"0293028",592,520
"0293029",357,376
"0293030",917,542
"0293031",6,9
"0293032",391,709
"0293033",929,424
"0293034",1487,344
"0293035",221,254
"0293036",729,1267
"0293037",742,874
"0293038",392,384
"0293039",1528,820
"0293040",640,624
"0293041",209,151
"0293042",917,576
"0293043",1149,501
"0293044",490,426
"0293045",678,323
"0293046",544,426
"0293047",686,559
"0293048",533,514
"0293049",909,564
"0293050",410,283
"0293051",164,89
"0293052",1497,1139
"0293053",681,458
"0293054",404,558
"0293055",1361,424
"0293056",364,625
"0293057",212,160
"0293058",655,1032
"0293059",537,424
"0293060",556,580
"0293061",455,570
"0293062",14,12
"0293063",597,600
"0293064",129,148
"0293065",10,26
"0293066",618,585
"0293067",569,454
"0293068",369,844
"0293069",1049,964
"0293070",963,735
"0293071",605,802
"0293072",1348,894
"0293073",486,488
"0293074",927,746
"0293075",1453,660
