CNTYVTD,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"1290201",348,50
"1290301",106,2
"1290303",141,21
"1290401",216,38
"1310001",185,681
"1310002",124,531
"1310003",52,214
"1310004",32,53
"1310005",57,136
"1310006",13,54
"1310007",47,23
"1310008",439,553
"1310009",113,426
"1330001",1255,171
"1330002",170,23
"1330003",611,134
"1330004",182,16
"1330005",286,45
"1330006",181,24
"1330007",1052,114
"1330008",1315,211
"1330009",323,33
"1350101",1200,459
"1350102",696,364
"1350103",409,172
"1350104",97,24
"1350106",487,144
"1350107",332,72
"1350108",1019,220
"1350109",102,15
"1350110",1342,436
"1350111",154,98
"1350201",2787,590
"1350202",1279,265
"1350203",1179,296
"1350204",607,177
"1350205",807,213
"1350206",331,52
"1350207",920,80
"1350208",1536,417
"1350209",430,148
"1350301",634,404
"1350302",303,149
"1350303",439,246
"1350304",103,81
"1350305",78,98
"1350306",202,169
"1350307",457,304
"1350308",317,114
"1350309",417,186
"1350311",294,156
"1350312",505,171
"1350401",213,103
"1350402",170,390
"1350403",183,578
"1350404",312,198
"1350405",69,209
"1350406",385,424
"1350407",260,101
"1350408",80,116
"1350409",229,163
"1350412",109,120
"1370001",66,24
"1370002",236,27
"1370003",184,27
"1370004",108,33
"1390101",1324,515
"1390102",1600,470
"1390103",1875,613
"1390104",1664,437
"1390105",2021,616
"1390106",1640,351
"1390107",1723,560
"1390108",1531,446
"1390109",912,327
"1390110",1350,1050
"1390111",992,299
"1390112",788,206
"1390113",153,593
"1390114",793,288
"1390115",613,286
"1390116",801,293
"1390117",908,357
"1390118",1059,436
"1390119",626,189
"1390120",236,69
"1390121",848,312
"1390122",549,180
"1390123",68,281
"1390124",183,375
"1390125",1459,475
"1390126",332,175
"1390127",145,58
"1390128",33,39
"1390129",272,106
"1390130",226,97
"1390131",676,261
"1390132",264,55
"1390133",215,71
"1390134",375,56
"1390135",1807,332
"1390136",301,68
"1390137",597,134
"1390138",710,216
"1390139",535,131
"1390140",1866,771
"1390141",911,277
"1390142",788,306
"1390143",1263,454
"1390144",462,694
"1390145",882,966
"1390146",948,573
"1390147",1420,702
"1390148",663,576
"1390149",439,237
"1410001",250,594
"1410002",363,934
"1410003",380,746
"1410004",273,473
"1410005",1081,1924
"1410006",694,576
"1410007",620,871
"1410008",987,654
"1410009",747,1022
"1410010",439,1329
"1410011",906,1778
"1410012",283,454
"1410013",541,1106
"1410014",934,1154
"1410015",721,817
"1410016",483,1299
"1410017",400,541
"1410018",883,959
"1410019",551,1173
"1410020",246,450
"1410021",638,669
"1410022",468,850
"1410023",389,449
"1410024",800,1077
"1410025",496,907
"1410026",322,638
"1410027",256,712
"1410028",32,135
"1410029",319,907
"1410030",9,69
"1410031",135,514
"1410032",268,673
"1410033",380,818
"1410034",41,261
"1410035",367,810
"1410036",159,854
"1410037",110,688
"1410038",157,731
"1410039",38,236
"1410040",58,312
"1410041",74,366
"1410042",102,602
"1410043",564,599
"1410044",957,1447
"1410045",590,1039
"1410046",199,430
"1410047",543,768
"1410048",192,649
"1410049",256,413
"1410050",633,1445
"1410051",390,596
"1410052",282,687
"1410053",372,895
"1410054",232,592
"1410055",425,726
"1410056",430,637
"1410057",212,461
"1410058",277,476
"1410059",286,818
"1410060",618,597
"1410061",274,461
"1410062",143,371
"1410063",220,805
"1410064",223,848
"1410065",84,95
"1410066",218,711
"1410067",238,705
"1410068",71,213
"1410069",372,1365
"1410070",249,926
"1410071",187,785
"1410072",127,472
"1410073",106,435
"1410074",144,728
"1410075",219,590
"1410076",133,463
"1410077",210,836
"1410078",117,456
"1410079",44,213
"1410080",79,522
"1410081",31,118
"1410082",140,712
"1410083",69,453
"1410084",146,743
"1410085",86,531
"1410086",73,110
"1410087",0,3
"1410088",130,132
"1410089",293,1040
"1410090",345,684
"1410091",139,337
"1410092",569,1011
"1410093",218,536
"1410094",377,899
"1410095",479,949
"1410096",603,1026
"1410097",308,698
"1410098",445,693
"1410099",159,420
"1410100",416,1071
"1410101",479,842
"1410102",288,830
"1410103",442,598
"1410104",504,931
"1410105",432,954
"1410106",378,1020
"1410107",344,742
"1410108",466,623
"1410109",316,632
"1410110",482,1081
"1410111",218,788
"1410112",291,1202
"1410113",312,841
"1410114",428,1384
"1410115",638,1533
"1410116",776,2178
"1410117",401,1056
"1410118",345,821
"1410119",374,900
"1410120",361,1048
"1410121",231,747
"1410122",407,1273
"1410123",285,1062
"1410124",249,975
"1410125",521,1544
"1410126",745,1653
"1410127",56,118
"1410128",743,1619
"1410129",431,997
"1410130",452,1240
"1410131",200,500
"1410132",29,131
"1410133",177,886
"1410134",118,414
"1410135",153,813
"1410136",109,616
"1410137",113,707
"1410138",141,742
"1410139",210,743
"1410140",95,600
"1410141",97,448
"1410142",66,419
"1410143",160,911
"1410144",183,902
"1410145",168,833
"1410146",81,472
"1410147",132,500
"1410148",177,832
"1410149",214,902
"1410150",121,588
"1410151",130,742
"1410152",91,654
"1410153",178,887
"1410154",142,772
"1410155",78,384
"1410156",194,993
"1410157",107,590
"1410158",1692,3223
"1410159",97,551
"1410160",173,789
"1410161",89,364
"1410162",216,1063
"1410163",224,791
"1410164",260,1081
"1410165",194,1085
"1410166",430,690
"1410167",179,1044
"1410168",439,998
"1410169",410,1723
"1410170",413,790
"1410171",301,1543
"1410172",298,1074
"1410173",146,393
"1410174",1,2
"1410175",21,95
"1410176",218,342
"1410177",125,176
"1410178",220,344
"1410179",22,219
"1410180",87,574
"1410181",334,647
"1410182",159,468
"1410183",0,0
"1410184",0,0
"1410185",171,188
"1410186",139,250
"1410187",0,1
"1410188",18,33
"1410189",5,2
"1410190",0,0
"1410191",0,0
"1430010",386,155
"1430011",163,77
"1430012",606,139
"1430018",917,146
"1430019",628,112
"1430020",531,112
"1430021",581,118
"1430023",207,52
"1430024",401,90
"1430025",384,50
"1430030",351,45
"1430031",628,84
"1430032",686,151
"1430033",270,153
"1430034",615,82
"1430035",30,38
"1430041",392,47
"1430044",1043,144
"1430045",601,244
"1430046",260,100
"1430047",468,129
"1450101",157,130
"1450104",345,54
"1450105",273,146
"1450201",241,56
"1450203",20,199
"1450204",76,247
"1450301",259,50
"1450302",108,45
"1450303",325,33
"1450304",347,126
"1450403",385,140
"1450404",343,88
"1450405",260,111
"1470001",529,139
"1470002",595,80
"1470003",227,93
"1470004",487,190
"1470005",257,55
"1470006",321,72
"1470007",236,52
"1470009",439,85
"1470010",1085,223
"1470011",1110,203
"1470012",564,86
"1470013",338,82
"1470015",407,60
"1470016",164,32
"1470018",1130,329
"1470019",683,220
"1490002",102,27
"1490003",217,41
"1490004",422,97
"1490005",147,14
"1490006",245,68
"1490007",349,74
"1490008",212,36
"1490009",131,38
"1490010",345,52
"1490011",234,44
"1490012",197,53
"1490013",313,83
"1490014",152,15
"1490015",191,37
"1490016",686,226
"1490017",245,32
"149001E",440,72
"149001N",886,352
"149001W",360,94
"1490020",393,74
"1490021",137,26
"1490022",102,23
"1490023",134,24
"1490024",144,26
"1490025",1062,309
"1490026",286,65
"1510001",291,74
"1510004",320,84
"1510010",207,84
"1510012",260,99
"1530001",529,103
"1530009",51,2
"1530018",443,79
"1530023",235,181
"1530024",90,40
"153024BA",29,43
"153024BB",0,0
"1550101",48,23
"1550201",96,26
"1550301",73,27
"1550401",76,39
"1571001",775,403
"1571002",229,765
"1571003",179,969
"1571007",1918,2127
"1571008",427,115
"1571010",1826,453
"1571012",537,548
"1571013",796,694
"1571015",536,174
"1571018",886,187
"1571021",421,54
"1571024",429,132
"1571025",1167,818
"1571037",697,576
"1571040",161,723
"1571048",261,516
"1571054",124,82
"1571058",116,313
"1571067",587,1097
"1571068",242,26
"1571072",47,14
"1571073",462,211
"1571074",816,1175
"1571076",1016,1924
"1571085",886,827
"1571087",835,440
"1571094",1,4
"1571097",1650,1377
"1571103",2172,1030
"1571109",286,254
"1571114",190,2077
"1571118",2005,1555
"1571120",1393,666
"1571128",1518,684
"1571134",516,1483
"1571141",1085,560
"1571152",545,333
"1571153",63,1183
"1571154",684,818
"1572016",851,1192
"1572017",65,1300
"1572022",1168,897
"1572023",120,1041
"1572031",79,1367
"1572033",176,498
"1572034",129,2021
"1572036",31,556
"1572043",96,311
"1572050",81,1725
"1572051",50,1284
"1572052",59,1261
"1572055",23,539
"1572056",90,270
"1572059",101,1214
"1572060",356,1342
"1572061",1194,1439
"1572066",436,1820
"1572070",308,471
"1572075",76,980
"1572077",124,996
"1572078",76,256
"1572081",193,526
"1572088",402,1022
"1572089",41,763
"1572090",267,233
"1572091",126,286
"1572092",186,316
"1572093",57,170
"1572096",362,926
"1572099",598,1254
"1572100",408,901
"1572101",400,1318
"1572106",508,1645
"1572108",729,2404
"1572112",25,115
"1572115",229,723
"1572116",61,1184
"1572123",39,936
"1572136",67,123
"1572137",79,173
"1572138",54,187
"1572139",4,28
"1572151",510,982
"1572157",799,1056
"1573004",1593,947
"1573005",1741,497
"1573006",3093,1412
"1573009",1478,616
"1573014",2050,937
"1573019",466,150
"1573032",428,980
"1573038",1830,1312
"1573041",903,342
"1573053",0,0
"1573057",1633,1063
"1573063",1547,493
"1573069",153,135
"1573083",763,1645
"1573095",835,847
"1573098",478,848
"1573104",2061,867
"1573113",424,2262
"1573122",1735,784
"1573130",1556,1106
"1573132",1622,1196
"1573133",1571,750
"1573142",1371,1052
"1573143A",636,501
"1573143B",7,5
"1573143C",61,48
"1573143D",74,59
"1573143E",210,165
"1573143F",263,207
"1573143G",306,242
"1573143H",307,243
"1573143I",121,96
"1573144",1670,980
"1573145",812,630
"1573146",1859,1601
"1573148",2999,1533
"1573149",2608,569
"1573150",1001,2391
"1573156",1197,381
"1573159",839,716
"1573160",426,427
"1574011",598,415
"1574020",1293,653
"1574026",975,931
"1574027",0,0
"1574028",726,778
"1574029",870,384
"1574030",1011,805
"1574035",485,551
"1574039",180,371
"1574042",482,191
"1574044",947,1338
"1574045",469,602
"1574046",933,1008
"1574047",243,277
"1574049",666,1386
"1574062",990,1307
"1574064",355,286
"1574065",1319,1683
"1574071",105,161
"1574079",136,121
"1574080",375,419
"1574082",2125,1446
"1574084",522,464
"1574086",386,868
"1574102",552,896
"1574105",537,558
"1574107",851,502
"1574110",753,755
"1574111",427,383
"1574117",1040,1726
"1574119",1343,771
"1574121",171,240
"1574124",813,1457
"1574125",748,1486
"1574126",739,1255
"1574127",762,1005
"1574129",1725,2010
"1574131",673,508
"1574135",1613,2395
"1574140",1110,870
"1574147",652,1691
"1574155",343,985
"1574158",348,956
"1590101",538,100
"1590102",266,30
"1590201",311,38
"1590202",379,128
"1590301",407,63
"1590302",338,74
"1590401",631,99
"1590402",396,76
"1610001",1371,195
"1610002",566,205
"1610003",81,5
"1610004",223,28
"1610005",854,276
"1610006",280,37
"1610007",297,82
"1610008",284,55
"1610009",245,55
"1610010",203,11
"1610011",206,159
"1610012",61,21
"1610013",171,24
"1610014",208,47
"1610015",140,20
"1630001",199,302
"1630002",77,229
"1630003",47,237
"1630004A",299,263
"1630004B",2,2
"1630005",206,70
"1630006",184,77
"1630008",123,248
"1630009",162,286
"1630010",250,178
"1650002",762,101
"1650003",1137,95
"1650004",453,83
"1650005",123,11
"1650006",84,20
"1650007",97,72
"1650008",382,63
"1650009",274,29
"1670103",558,166
"1670104",426,107
"1670105",88,88
"1670142",657,585
"1670144",846,417
"1670146",916,619
"1670148",1093,726
"1670150",777,484
"1670151",1212,412
"1670152",2023,881
"1670159",1239,741
"1670165",1847,831
"1670166",1125,558
"1670167",2242,935
"1670168",0,0
"1670169",1,0
"1670170",1213,521
"1670172",225,62
"1670192",212,107
"1670193",1000,468
"1670197",278,127
"1670218",858,1010
"1670219",629,609
"1670220",1830,1140
"1670221",982,364
"1670223",771,867
"1670224",930,895
"1670225",1431,396
"1670226",875,406
"1670227",1342,331
"1670228",1597,306
"1670232",515,519
"1670258",1039,192
"1670263",2780,1248
"1670274",430,123
"1670275",193,77
"1670276",711,554
"1670277",1117,223
"1670278",1237,268
"1670279",564,113
"1670280",145,113
"1670281",83,30
"1670283",1159,677
"1670301",254,415
"1670306",1016,1620
"1670309",39,25
"1670311",80,396
"1670312",5,34
"1670314",479,1479
"1670315",650,1273
"1670316A",331,760
"1670316B",0,0
"1670330",415,814
"1670331",247,952
"1670334",102,501
"1670336",230,1869
"1670338",625,1140
"1670340",29,263
"1670341",265,291
"1670343",317,498
"1670345",41,300
"1670347",144,403
"1670389",98,201
"1670391",27,25
"1670394",8,14
"1670398",101,144
"1670399",59,70
"1670401",0,0
"1670439",1280,621
"1670453",1829,914
"1670454",1522,916
"1670455",673,381
"1670456",1748,507
"1670457",2079,648
"1670460",2570,699
"1670461",1783,525
"1670462",2282,718
"1670464",1231,521
"1670471",819,540
"1670482",99,10
"1670487",2315,1112
"1670488",1515,747
"1670490",1868,881
"1671051",156,179
"1671651",0,0
"1672321",0,0
"1672322",0,0
"1672323",235,32
"1672801",0,0
"1673061",0,1
"1673301",0,0
"1673311",72,114
"1674391",12,2
"1690001",264,29
"1690002",355,36
"1690003",199,36
"1690004",124,44
"1690005",61,12
"1690006",68,15
"1710001",1114,269
"1710002",617,160
"1710003",593,151
"1710004",1367,316
"1710005",1121,191
"1710006",419,89
"1710007",1394,290
"1710008",202,41
"1710009",127,19
"1710010",467,116
"1710012",1144,251
"1710013",956,199
"1710015",512,105
"1730001",154,5
"1730002",98,11
"1730003",111,5
"1730004",133,10
"1750011",253,205
"1750012",225,27
"1750021",261,208
"1750022",83,38
"1750031",339,91
"1750032",354,36
"1750041",181,33
"1750042",335,42
"1750043",190,25
"1770001",1013,292
"1770002",508,238
"1770003",510,178
"1770005",279,70
"1770007",213,38
"1770008",161,33
"1770009",277,228
"1770010",209,55
"1770011",130,17
"1770012",74,24
"1770013",164,27
"1770014",52,11
"1770015",184,17
"17704/6",365,125
"1790001",191,11
"1790002",1077,115
"1790003",78,1
"1790004",372,42
"1790005",1405,157
"1790006",1436,141
"1790007",733,125
"1810101",904,791
"1810102",352,757
"1810103",261,48
"1810104",487,94
"1810105",2512,580
"1810106",1156,268
"1810107",943,142
"1810108A",716,117
"1810108B",81,14
"1810201",1124,505
"1810202",1139,460
"1810203",234,208
"1810204",469,126
"1810205A",1752,405
"1810205B",0,0
"1810206",614,187
"1810207",485,91
"1810208",593,204
"1810209",558,118
"1810210",950,164
"1810301",558,301
"1810302",1851,940
"1810303",455,83
"1810304",1081,518
"1810305",676,143
"1810306",1847,290
"1810307",947,150
"1810308",556,78
"1810309",343,76
"1810401",353,359
"1810402",903,378
"1810403",1375,322
"1810404",1645,367
"1810405",159,88
"1810406",1345,212
"1810407",38,34
"1810408A",588,189
"1810408B",41,13
"1810409",1855,652
"1830001",692,256
"1830002",1572,536
"1830003",1413,494
"1830004",1653,412
"1830005",1603,424
"1830006",1173,187
"1830007",1350,307
"1830008",1754,569
"1830009",1789,599
"1830010",1217,635
"1830011",1730,537
"1830012",2136,275
"1830013",1042,324
"1830014",1948,340
"1830015",383,211
"1830016",1729,332
"1830017",168,185
"1830018",833,980
"1830019",224,1289
"1830020",261,886
"1830021",326,762
"1850001",970,165
"1850002",409,51
"1850003",160,426
"1850004",622,123
"1850005",609,187
"1850006",621,332
"1850007",472,109
"1850008",232,57
"1850009",186,39
"1850010",764,102
"1850011",135,22
"1850012",379,125
"1850014",701,190
"1850015",248,44
"1870101",265,92
"1870102A",408,162
"1870102B",6,2
"1870103",328,120
"1870104",294,204
"1870105",1171,313
"1870106",1333,522
"1870107",562,130
"1870108",270,156
"1870109",254,50
"1870110",86,59
"1870111",33,27
"1870112",69,140
"1870113",396,179
"1870114",289,152
"1870115",146,25
"1870116",994,307
"1870117",1797,686
"1870118",24,19
"1870119",840,240
"1870120",549,148
"1870121",61,25
"1870122",20,7
"1870123",0,1
"1870124",1,0
"1870125",88,19
"1870126",12,2
"1870127",9,5
"1870201",119,89
"1870202",132,304
"1870203",47,126
"1870204",252,356
"1870205",482,164
"1870206",365,576
"1870207",151,242
"1870208",1448,397
"1870209",89,220
"1870210",261,200
"1870211",44,36
"1870212",36,46
"1870213",849,357
"1870214",279,89
"1870215",380,145
"1870216",28,8
"1870217",29,36
"1870218",15,23
"1870219",27,22
"1870220",20,21
"1870221",11,5
"1870222",0,0
"1870223",77,79
"1870224",8,51
"1870225",1,8
"1870226",102,54
"1870301",1021,682
"1870302",1266,999
"1870303",534,258
"1870304",1451,843
"1870305",1374,968
"1870306",1491,883
"1870307",1457,1035
"1870308",841,414
"1870401",660,196
"1870402",539,358
"1870403",782,493
"1870404",969,653
"1870405",896,193
"1870406",1008,178
"1870407",859,192
"1870408",1583,712
"1870409",1250,1342
"1870410",55,25
"1870411",1198,750
"1890101",129,43
"1890102",35,15
"1890103",71,82
"1890104",124,91
"1890105",51,29
"1890110",195,21
"1890111",229,70
"1890112",306,35
"1890202",33,52
"1890203",59,81
"1890204",139,117
"1890205",16,30
"1890206",11,11
"1890213",88,29
"1890214",310,140
"1890215",123,39
"1890304",337,114
"1890305",536,85
"1890306",14,19
"1890307",111,50
"1890308",21,8
"1890316",375,152
"1890317",68,15
"1890318",469,85
"1890406",149,110
"1890407",582,131
"1890408",310,71
"1890409",254,91
"1890419",103,9
"1890420",202,26
"1910101",125,48
"1910201",38,9
"1910202",181,33
"1910301",55,11
"1910302",130,22
"1910401",149,19
"1910402",87,19
"1930001",443,78
"1930004",56,9
"1930005",79,16
"1930007",672,146
"1930009",114,19
"1930012",120,9
"1930014",105,14
"1930015",99,5
"1930017",85,10
"1930022",553,103
"1930023",447,76
"1950001",331,36
"1950002",25,4
"1950003",154,5
"1950004",309,17
"1950005",264,21
"1950006",332,34
"1950007",29,0
"1950009",61,6
"1970001",249,44
"1970002",200,40
"1970003",207,42
"1970004",263,46
"1990001",567,232
"1990002",2087,290
"1990003",285,17
"1990004",391,36
"1990005",302,14
"1990006",2103,261
"1990007",398,29
"1990008",387,46
"1990009",1034,244
"1990010",1024,452
"1990011",418,58
"1990012",452,64
"1990013",1171,90
"1990014",701,63
"1990015",890,120
"1990016",1050,106
"1990017",599,40
"1990018",2927,351
"1990019",509,70
"2010001A",555,1367
"2010001B",0,0
"2010002",353,808
"2010003",373,771
"2010004",383,923
"2010005",332,751
"2010006",938,1145
"2010007",23,383
"2010008",447,632
"2010009",203,808
"2010010",160,661
"2010011",147,644
"2010012",110,146
"2010013",861,471
"2010014",552,739
"2010015",1036,1163
"2010016",414,761
"2010017",257,425
"2010018",421,603
"2010019",246,696
"2010020",307,996
"2010021",131,558
"2010022",170,970
"2010023",28,165
"2010024",55,364
"2010025",15,308
"2010026",202,906
"2010027",343,1473
"2010028",927,795
"2010029",290,666
"2010030",503,1404
"2010031",34,948
"2010032",538,1351
"2010033",708,1902
"2010034",348,1732
"2010035",1,2
"2010036",296,968
"2010037",512,1386
"2010038",589,1613
"2010039",478,1784
"2010040",158,231
"2010041",325,496
"2010042",14,386
"2010043",412,642
"2010044",183,755
"2010045",498,2428
"2010046",186,889
"2010047",36,538
"2010048",52,344
"2010049",1385,842
"2010050",1013,1319
"2010051",680,266
"2010052",617,1140
"2010053",750,1441
"2010054",469,733
"2010055",598,1223
"2010056",506,424
"2010057",817,1631
"2010058",844,1430
"2010059",722,1260
"2010060",406,1647
"2010061",201,581
"2010062",188,753
"2010063",753,214
"2010064",164,749
"2010065",159,724
"2010066",77,374
"2010067",228,1016
"2010068",37,1351
"2010069",77,443
"2010070",1352,1386
"2010071",1534,2224
"2010072",263,763
"2010073",484,602
"2010074",1786,694
"2010075",481,835
"2010076",575,661
"2010077",2,4
"2010078",198,565
"2010079",225,937
"2010080",290,1009
"2010081",249,645
"2010082",1359,659
"2010083A",683,1331
"2010083B",13,24
"2010084",485,210
"2010085",42,866
"2010086",949,1591
"2010087",1099,961
"2010088",293,142
"2010089",385,438
"2010090",1723,760
"2010091",480,444
"2010092",974,621
"2010093",410,945
"2010094",40,186
"2010095",1097,765
"2010096",138,855
"2010097",1905,712
"2010098",1415,318
"2010099",312,475
"2010100",264,331
"2010101",60,206
"2010102",158,476
"2010103",1210,1593
"2010104",22,915
"2010105",216,737
"2010106",37,48
"2010107",117,677
"2010108",718,793
"2010109",36,1112
"2010110",1013,906
"2010111",2158,1193
"2010112",1089,702
"2010113",723,788
"2010114",1798,753
"2010115",59,368
"2010116",1588,706
"2010117",266,565
"2010118",990,1199
"2010119",2195,750
"2010120",1212,1070
"2010121",306,190
"2010122",37,796
"2010123",185,783
"2010124",3306,1153
"2010125",652,676
"2010126",1895,386
"2010127",658,272
"2010128",848,788
"2010129",1664,1612
"2010130",1037,527
"2010131",193,876
"2010132",36,1061
"2010133",949,1051
"2010134",309,531
"2010135",1199,990
"2010136",66,1116
"2010137",776,475
"2010138",37,639
"2010139",928,1591
"2010140",250,1708
"2010141",138,144
"2010142",95,298
"2010143A",0,0
"2010143B",290,221
"2010143C",1111,851
"2010144",14,433
"2010145",20,624
"2010146",493,901
"2010147",198,1279
"2010148",599,1261
"2010149",1986,1962
"2010150",19,591
"2010151",11,275
"2010152",226,873
"2010153",167,573
"2010154",202,857
"2010155",1549,1093
"2010156",85,1528
"2010157",51,899
"2010158",29,1151
"2010159",81,435
"2010160",8,259
"2010161",25,452
"2010162",136,373
"2010163",383,879
"2010164",14,515
"2010165",804,669
"2010166",237,576
"2010167",1,3
"2010168",10,188
"2010169",32,964
"2010170",354,430
"2010171",41,598
"2010172",79,250
"2010173",1974,788
"2010174",1356,896
"2010175",797,996
"2010176",379,488
"2010177",524,691
"2010178",783,580
"2010179",427,615
"2010180",56,1087
"2010181",228,771
"2010182",1223,1506
"2010183",1000,843
"2010184",106,334
"2010185",258,725
"2010186",42,305
"2010187",20,85
"2010188",197,438
"2010189",519,559
"2010190",230,519
"2010191",132,301
"2010192",56,776
"2010193",15,483
"2010194",333,1233
"2010195",64,757
"2010196",16,133
"2010197",33,1075
"2010198",9,180
"2010199",1712,628
"2010200",1049,1634
"2010201",8,253
"2010202",17,524
"2010203",66,296
"2010204",1129,1290
"2010205",26,788
"2010206",465,1331
"2010207",208,562
"2010208",260,749
"2010209",0,0
"2010210",229,1479
"2010211",407,925
"2010212",102,384
"2010213",1766,686
"2010214",649,660
"2010215",802,874
"2010216",61,798
"2010217",1133,926
"2010218",338,1127
"2010219",89,1317
"2010220",528,318
"2010221",445,935
"2010222",771,1292
"2010223",373,1645
"2010224",594,1037
"2010225",639,1102
"2010226",220,921
"2010227",841,470
"2010228",40,718
"2010229",86,245
"2010230",20,390
"2010231",207,835
"2010232",608,698
"2010233",1226,2196
"2010234",1966,1017
"2010235",25,544
"2010236",37,734
"2010237",25,780
"2010238",19,723
"2010239",35,755
"2010240",37,1023
"2010241",263,647
"2010242",295,388
"2010243",4,250
"2010244",753,967
"2010245",1437,1021
"2010246",1412,1047
"2010247",28,618
"2010248",143,506
"2010249",771,466
"2010250",16,346
"2010251",96,897
"2010252",27,956
"2010253",18,793
"2010254",114,490
"2010255",598,1003
"2010256",541,1216
"2010257",294,1021
"2010258",1525,749
"2010259",36,1158
"2010260",338,429
"2010261",161,421
"2010262",1118,1116
"2010263",1727,861
"2010264",736,840
"2010265",1564,795
"2010266",322,608
"2010267",206,385
"2010268",833,856
"2010269",1073,505
"2010270",1082,1192
"2010271",31,1306
"2010272",315,787
"2010273",1252,494
"2010274",825,638
"2010275",126,597
"2010276",21,1036
"2010277",251,513
"2010278",540,790
"2010279",518,406
"2010280",179,502
"2010281",614,921
"2010282",642,650
"2010283A",391,2407
"2010283B",3,24
"2010284",586,1175
"2010285",106,1205
"2010286",164,1794
"2010287",507,705
"2010288",20,985
"2010289",249,494
"2010290",638,244
"2010291",266,445
"2010292",79,569
"2010293",421,734
"2010294",12,831
"2010295",16,295
"2010296",464,482
"2010297",289,585
"2010298",592,700
"2010299",178,460
"2010300",2660,1066
"2010301",337,618
"2010302",704,730
"2010303",1710,696
"2010304",743,763
"2010305",706,1850
"2010306",836,479
"2010307",1259,746
"2010308",155,503
"2010309",1807,777
"2010310",558,348
"2010311",596,715
"2010312",954,1067
"2010313",11,12
"2010314",1765,1636
"2010315",561,493
"2010316",470,535
"2010317",141,467
"2010318",123,1822
"2010319",77,985
"2010320",226,458
"2010321",262,769
"2010322",140,320
"2010323",323,584
"2010324",1013,819
"2010325",184,706
"2010326",118,228
"2010327",33,694
"2010328",181,398
"2010329",234,545
"2010330",498,702
"2010331",854,703
"2010332",175,1604
"2010333",1378,683
"2010334",60,249
"2010335",153,518
"2010336",306,2726
"2010337",57,391
"2010338",588,1316
"2010339",176,742
"2010340",1663,745
"2010341",132,418
"2010342",76,353
"2010343",203,855
"2010344",28,440
"2010345",138,650
"2010346",0,0
"2010347",975,844
"2010348",629,355
"2010349",385,304
"2010350",542,1325
"2010351",2297,844
"2010352",1506,687
"2010353",345,1684
"2010354",412,1304
"2010355",80,852
"2010356",925,952
"2010357",1537,698
"2010358",107,799
"2010359",117,871
"2010360",877,1495
"2010361",106,1170
"2010362",2029,1061
"2010363",756,1427
"2010364",633,867
"2010365",96,776
"2010366",264,1045
"2010367",127,456
"2010368",122,343
"2010369",47,105
"2010370",1938,977
"2010371",8,210
"2010372",59,553
"2010373",3,56
"2010374",78,212
"2010375",340,647
"2010376",356,598
"2010377",1244,481
"2010378",545,370
"2010379",114,913
"2010380",1443,1714
"2010381",527,972
"2010382",316,220
"2010383",301,720
"2010384",319,1037
"2010385",1074,451
"2010386",1234,567
"2010387",1368,686
"2010388",1447,1849
"2010389",84,690
"2010390",115,805
"2010391",649,560
"2010392",8,644
"2010393",240,339
"2010394",107,198
"2010395",783,478
"2010396",35,991
"2010397",110,208
"2010398",889,1216
"2010399",488,951
"2010400",981,647
"2010401",57,944
"2010402",68,946
"2010403",565,633
"2010404",541,650
"2010405",1065,427
"2010406",5,238
"2010407",1258,1052
"2010408",205,462
"2010409",181,474
"2010410",68,335
"2010411",225,671
"2010412",7,166
"2010413",636,1138
"2010414",1226,480
"2010415",965,559
"2010416",885,1186
"2010417",507,709
"2010418",516,1069
"2010419",765,651
"2010420",2378,573
"2010421",563,785
"2010422",58,1442
"2010423",102,388
"2010424",349,384
"2010425",74,229
"2010426",322,345
"2010427",173,338
"2010428",631,1539
"2010429",303,850
"2010430",119,579
"2010431",330,1250
"2010432",138,414
"2010433",34,167
"2010434",524,549
"2010435",1272,992
"2010436",1255,1312
"2010437",870,561
"2010438",1551,872
"2010439",1456,936
"2010440",1491,593
"2010441",747,373
"2010442",2155,646
"2010443",312,152
"2010444",1101,1038
"2010445",689,582
"2010446",33,79
"2010447",1691,1265
"2010448",1064,1027
"2010449",4,66
"2010450",334,957
"2010451",1384,471
"2010452",1486,938
"2010453",271,731
"2010454",27,995
"2010455",27,594
"2010456",808,754
"2010457",0,0
"2010458",57,973
"2010459",1824,687
"2010460",385,1451
"2010461",1556,1174
"2010462",605,1408
"2010463",624,1300
"2010464",741,608
"2010465",766,1176
"2010466",1124,1271
"2010467",133,491
"2010468",426,1401
"2010469",1300,436
"2010470",464,197
"2010471",986,301
"2010472",252,513
"2010473",749,436
"2010474",1020,648
"2010475",355,556
"2010476",620,714
"2010477",1575,903
"2010478",1412,1083
"2010479",1639,655
"2010480",1136,628
"2010481",1410,609
"2010482",1535,981
"2010483",1192,1423
"2010484",1310,935
"2010485",1422,703
"2010486",1946,740
"2010487",468,1099
"2010488",328,860
"2010489",274,832
"2010490",381,842
"2010491",602,709
"2010492",613,651
"2010493A",595,1099
"2010493B",0,0
"2010494",159,1153
"2010495",1018,623
"2010496",326,812
"2010497",40,939
"2010498",411,847
"2010499",1081,605
"2010500",1281,940
"2010501",518,1039
"2010502",1124,272
"2010503",1147,459
"2010504",922,663
"2010505",876,1380
"2010506",309,1685
"2010507",163,523
"2010508",629,1408
