CNTYVTD,AbbottR_18G_Governor,ValdezD_18G_Governor,TippettsL_18G_Governor
"0293158B",6,3,0
"0293159",457,552,17
"0293160",549,342,14
"0293161",588,729,14
"0293162",311,341,24
"0293163",960,581,29
"0293164",785,383,24
"0293165",1315,846,42
"0293166",142,171,6
"0293167",5,1,0
"0293168",235,242,11
"0293169",49,31,0
"0293170",0,0,0
"0293171",0,1,0
"0293172",118,161,4
"0293173",1196,807,42
"0293174",1752,880,45
"0293175",200,178,10
"0293176",20,18,0
"0293178",0,0,0
"0293179",2,0,0
"0293180",325,322,17
"0293181",856,429,18
"0293182",277,221,16
"0293183",10,1,0
"0293184",62,41,2
"0293185A",75,53,2
"0293185B",18,13,0
"0293186",1,0,0
"0293187",0,0,0
"0293188A",0,0,0
"0293188B",0,0,0
"0293189",304,309,8
"0293190",0,0,0
"0293191",85,42,1
"0293193",72,49,3
"0293194",1429,648,28
"0293195",301,810,23
"0293196",6,3,0
"0293198",223,173,9
"0293199",1136,643,27
"0293201",1620,752,17
"0293202",371,214,3
"0293203",199,94,10
"0293204",0,0,0
"0293205",0,0,0
"0293206",8,52,2
"0293207",2,2,0
"0293208",14,26,1
"0294001",455,853,38
"0294002",59,256,3
"0294003",80,342,4
"0294004",119,284,10
"0294005",142,608,19
"0294006",62,218,5
"0294007",189,169,13
"0294008",200,220,14
"0294009",64,235,6
"0294010",42,321,8
"0294011",70,373,6
"0294012",48,198,6
"0294013",111,270,5
"0294014",38,124,0
"0294015",161,620,16
"0294016",282,749,19
"0294017",238,863,28
"0294018",181,483,18
"0294019",329,638,21
"0294020",217,331,7
"0294021",243,277,8
"0294022",29,27,1
"0294023",464,611,16
"0294024",463,718,17
"0294025",177,317,7
"0294026",408,921,23
"0294027",250,472,6
"0294028",303,816,13
"0294029",155,650,14
"0294030",14,116,1
"0294031",205,475,6
"0294032",297,486,10
"0294033",541,847,14
"0294034",307,446,15
"0294035",6,14,0
"0294036",259,866,26
"0294037",94,471,8
"0294038",767,967,46
"0294039",56,419,5
"0294040",81,395,7
"0294041",120,627,10
"0294042",23,23,1
"0294043",555,795,26
"0294044",240,343,13
"0294045",462,631,15
"0294046",826,615,25
"0294047",400,659,17
"0294048",181,519,5
"0294049",350,568,24
"0294050",556,340,20
"0294051",697,426,25
"0294052",648,502,18
"0294053",401,506,13
"0294054",865,932,45
"0294055",450,302,18
"0294056",804,679,27
"0294057",748,350,16
"0294058",638,330,16
"0294059",599,520,23
