CNTYVTD,FallonR_18G_State Sen 30,LopezD_18G_State Sen 30
"3630007",253,44
"3630008",852,101
"3630009",226,29
"3630011",149,19
"3630012",198,37
"3630013",315,83
"3630014",79,20
"3630015",393,56
"3630016",222,22
"3630017",186,74
"3630018",78,16
"3630020",106,8
"3630021",348,102
"3630022",487,82
"3630023",500,166
"3630024",68,10
"3630025",55,12
"3630026",33,12
"3630027",689,202
"3630028",261,99
"3630029",292,135
"3630030",174,77
"3670100",1992,452
"3670105",1000,171
"3670110",646,178
"3670111",533,135
"3670115",963,215
"3670120",893,173
"3670125",1240,161
"3670130",1386,249
"3670135",714,131
"3670140",537,95
"3670200",586,188
"3670205",657,256
"3670210",923,120
"3670215",1721,256
"3670220",364,51
"3670225",622,104
"3670230",698,139
"3670235",554,75
"3670240",663,112
"3670245",720,114
"3670250",726,149
"3670255",817,207
"3670300",728,262
"3670305",1060,269
"3670310",574,231
"3670315",1787,433
"3670320",924,145
"3670325",926,140
"3670330",618,131
"3670335",1925,211
"3670340",511,56
"3670345",979,168
"3670350",1370,191
"3670400",1638,369
"3670405A",1593,295
"3670405B",136,24
"3670410",1002,231
"3670415",1218,322
"3670420",1111,180
"3670425",716,129
"3670430",1269,324
"3670435",1345,331
"3670440",2104,392
"3670445",1037,175
"3670450",1297,316
"4850101",134,26
"4850102",428,129
"4850103",1871,670
"4850104",598,210
"4850105",1152,517
"4850106",431,68
"4850107",20,6
"4850108",1505,449
"4850109",1521,543
"4850110",197,129
"4850111",179,174
"4850112",5,5
"4850113",198,98
"4850114A",6,1
"4850114B",10,3
"4850115",1,2
"4850116",17,2
"4850117",26,2
"4850201",388,125
"4850202",1044,570
"4850203",341,259
"4850204",100,14
"4850205",1669,353
"4850206",1093,267
"4850207",174,127
"4850208",58,19
"4850209",0,0
"4850210",0,0
"4850211",49,40
"4850301",2,2
"4850302",329,308
"4850303",194,455
"4850304",44,46
"4850305",98,71
"4850306",95,310
"4850307",91,39
"4850308",109,135
"4850309",1764,273
"4850310",701,93
"4850311",140,420
"4850312",1,1
"4850313",0,5
"4850314",5,1
"4850315",55,21
"4850316",12,7
"4850317",42,9
"4850318",167,55
"4850319",22,6
"4850401",1042,321
"4850402",298,104
"4850403",804,332
"4850404",1276,386
"4850405",520,336
"4850406",1081,427
"4850407",453,302
"4850408",7,1
"4850409",13,1
"4850410",119,30
"4850411",253,135
"4850412",350,49
"4850413",399,82
"4850414",250,41
"4970001",998,165
"4970002",1295,348
"4970003",397,59
"4970004",141,40
"4970005",825,140
"4970006",832,206
"4970007A",336,98
"4970007B",336,99
"4970008",1173,235
"4970009",1092,137
"4970010",285,44
"4970011",272,39
"4970012",749,129
"4970013",389,161
"4970014",792,239
"4970015",668,98
"4970016",1122,197
"4970017",1392,241
