CNTYVTD,NicholsR_18G_State Sen 3,LaytonD_18G_State Sen 3,QuarlesL_18G_State Sen 3
"3470031",175,231,12
"3470032",798,1168,62
"3470033",1948,945,49
"3470034",40,39,0
"3470041",279,252,9
"3470042",563,286,10
"3470043",626,190,9
"3470044",851,152,14
"3470045",416,64,6
"3470046",431,115,6
"3470047",505,57,8
"3510001",397,75,7
"3510002",140,24,0
"3510003",317,29,1
"3510004",76,21,1
"3510005",248,28,5
"3510006",209,167,8
"3510007",82,38,1
"3510008A",108,39,1
"3510008B",29,10,0
"3510009",105,38,2
"3510010",172,27,0
"3510011",288,35,3
"3510012",75,11,2
"3510013",374,50,2
"3510014",70,110,1
"3510015",183,30,3
"3510016",139,24,0
"3510017",10,35,1
"3510018",132,9,0
"3510019",117,11,2
"3510020",19,79,1
"3510021",142,21,2
"3510022",86,99,3
"3610001",108,25,1
"3610002",185,300,7
"3610003",82,406,4
"3610004",5,155,0
"3610005",384,354,6
"3610006",751,153,11
"3610007",596,221,17
"3610008",979,204,10
"3610009",825,153,11
"3610010",285,72,3
"3610011",171,73,3
"3610012",405,137,8
"3610013",374,213,7
"3610014",557,254,6
"3610015",731,164,10
"3610016",1131,127,13
"3610017",771,94,9
"3610018",829,119,9
"3610019",641,112,12
"3610020",546,80,8
"3610021",110,20,0
"3610022",549,64,5
"3610023",1177,145,20
"3610024",640,95,7
"3610025",676,124,10
"3610026",894,163,15
"3610027",892,130,11
"3610028",1449,182,12
"3610029",454,64,7
"3610030",432,64,9
"3610031",1062,155,13
"3610032",891,99,11
"3610033",612,91,5
"3610034",627,88,9
"3730001",167,19,1
"3730002",220,26,4
"3730003",603,172,8
"3730004",596,132,7
"3730005",1024,277,12
"3730006",1891,364,37
"3730007",248,91,6
"3730008",314,130,3
"3730009",281,73,2
"3730010",654,292,13
"3730011",139,43,3
"3730012",72,51,4
"3730013",197,14,2
"3730014",324,52,2
"3730015",436,58,8
"3730016",1701,294,30
"3730017",514,82,6
"3730018",94,167,5
"3730019",1362,606,29
"3730020",1354,598,49
"3730021",476,130,8
"4030001",916,98,9
"4030002",751,84,6
"4030003",152,74,4
"4030004",135,7,0
"4030005",482,45,3
"4030006",772,119,4
"4030007",43,48,0
"4030008",144,17,1
"4050001",430,221,3
"4050002",110,84,1
"4050003",88,40,2
"4050004",154,60,1
"4050005",168,23,0
