CNTYVTD,SeligerR_18G_State Sen 31,WestbrookL_18G_State Sen 31
"1910201",39,4
"1910202",185,16
"1910301",60,2
"1910302",136,8
"1910401",150,15
"1910402",85,13
"1950001",342,23
"1950002",25,5
"1950003",151,10
"1950004",314,15
"1950005",275,11
"1950006",345,23
"1950007",30,0
"1950009",61,5
"2050101",158,12
"2050102",93,7
"2050201",134,8
"2050202",286,10
"2050301",427,29
"2050401",347,26
"2110101",240,21
"2110201",251,20
"2110202",19,0
"2110301",368,19
"2110302",28,1
"2110303",68,2
"2110401",202,8
"2110402",75,5
"2270011",257,69
"2270012",103,29
"2270013",85,23
"2270014",35,10
"2270016",22,6
"2270024",194,22
"2270025",535,59
"2270026",317,27
"2270032",44,3
"2270033",554,88
"2270034",503,67
"2270035",132,22
"2270037",0,0
"2270042",239,28
"2270045",259,38
"2270046",283,43
"2270103",38,11
"2270104",19,1
"2270105",0,0
"227012A",24,6
"2270205",576,58
"2270207",459,35
"2270208",78,3
"2270209",0,0
"2270304",196,24
"2270404",202,28
"2270405",83,7
"2270408",24,0
"2270409",256,12
"227207C",302,18
"2330011",912,59
"2330014",1027,77
"2330021",1666,102
"2330023",150,17
"2330031",795,33
"2330033",681,62
"2330041",38,5
"2330042",644,88
"2950106",135,5
"2950202",79,4
"2950207A",188,7
"2950207B",1,0
"2950303",232,7
"2950308",81,6
"2950404",191,17
"2950409",56,3
"3010001",15,2
"3010002",5,2
"3010003",16,3
"3010004",5,1
"3170001",293,33
"3170002",217,33
"3170003",320,18
"3170004",266,20
"317003A",130,2
"317004A",108,0
"3290101A",312,26
"3290101B",9,1
"3290102",1186,261
"3290103",1019,176
"3290104",193,57
"3290105",497,94
"3290106",1111,224
"3290107",1288,183
"3290108",142,28
"3290109",173,58
"3290110",1670,129
"3290201",1021,88
"3290202",2484,192
"3290203",312,39
"3290204",1510,135
"3290205",608,80
"3290206",982,119
"3290207",1409,150
"3290208",286,62
"3290210",661,129
"3290211",1117,194
"3290212",662,125
"3290302",949,122
"3290303",53,22
"3290304",190,72
"3290305",123,105
"3290306",246,160
"3290307",438,99
"3290308",672,305
"3290309",64,14
"3290310",125,31
"3290401",474,35
"3290402",169,19
"3290403",1717,187
"3290404",1311,174
"3290405",1201,191
"3290406",901,102
"3290407",1194,176
"3290408",1132,103
"3290409",852,122
"3290410",699,54
"3290411",2196,183
"329108A",162,16
"329109A",0,0
"329307A",83,29
"329309A",13,0
"329402A",403,49
"3410101",814,98
"3410201",772,65
"3410202",823,58
"3410203",35,2
"3410301",420,67
"3410401",432,39
"3410402",37,16
"3570001",303,23
"3570002",445,22
"3570003",860,49
"3570004",583,36
"3590101",111,10
"3590103",100,2
"3590202",89,4
"3590203",112,3
"3590303",150,8
"3590403",85,4
"3590404",104,3
"3690101",539,49
"3690201",171,39
"3690202",122,4
"3690203",44,1
"3690301",428,41
"3690302",128,5
"3690303",29,2
"3690401",159,6
"3690402",89,34
"3750121",1024,154
"3750122",845,209
"3750123",1427,330
"3750124",1078,175
"3750125",1356,330
"3750126",784,242
"3750221",279,127
"3750222",295,76
"3750223",324,165
"3750224",662,207
"3750225",309,137
"3750321",1353,115
"3750322",103,8
"3750323",1898,220
"3750324",2261,264
"3750325",1032,222
"3750326",1085,159
"3750327",463,74
"3750421",185,143
"3750422",525,331
"3750424",238,127
"3750425",292,133
"3750426",129,49
"3750427",106,44
"3810110",2428,276
"3810111",1498,358
"3810112",1050,313
"3810114",1130,259
"3810123",652,163
"3810208",2863,428
"3810220",942,131
"3810222",2256,278
"3810227",2731,290
"3810228",2615,344
"3810230",1661,189
"3810305",1299,177
"3810306",1877,303
"3810307",1892,254
"3810309",1647,189
"3810324",2731,344
"3810325",2062,198
"3810415",1909,326
"3810418",2333,368
"3810421",1371,261
"3810426",1491,178
"3810429",1844,346
"3930001",115,3
"3930002",112,6
"3930003",78,8
"39304-1",63,1
"39304-2",64,3
"4210101",38,4
"4210102",100,18
"4210201",74,5
"4210202",56,5
"4210301",65,9
